,tweets
0,How to Train Your Dragon 2 Wins the Golden Globe for Best Animated Feature Film: The Golden Globe Awards were presented on Sunday nig...
1,How to Train Your Dragon 2 Wins the Golden Globe for Best Animated Feature Film: The Golden Globe Awards were presented on Sunday nig...
2,How to Train Your Dragon 2 Wins the Golden Globe for Best Animated Feature Film: The Golden Globe Awards were presented on Sunday nig...
3,How to Train Your Dragon 2 Wins the Golden Globe for Best Animated Feature Film: The Golden Globe Awards were presented on Sunday nig...
4,How to Train Your Dragon 2 Wins the Golden Globe for Best Animated Feature Film: The Golden Globe Awards were presented on Sunday nig...
5,How to Train Your Dragon 2 Wins the Golden Globe for Best Animated Feature Film: The Golden Globe Awards were presented on Sunday nig...
6,How to Train Your Dragon 2 Wins the Golden Globe for Best Animated Feature Film: The Golden Globe Awards were presented on Sunday nig...
7,How to Train Your Dragon 2 Wins the Golden Globe for Best Animated Feature Film: The Golden Globe Awards were presented on Sunday nig...
8,How to Train Your Dragon 2 Wins the Golden Globe for Best Animated Feature Film: The Golden Globe Awards were presented on Sunday nig...
9,How to Train Your Dragon 2 Wins the Golden Globe for Best Animated Feature Film: The Golden Globe Awards were presented on Sunday nig...
10,Salma Hayek and Kevin Heart presenting best Animated Film #GoldenGlobes http://t.co/MHpXFijLLe
11,Salma Hayek looking gorgeous presenting the award for Best Animated Film at The Golden Globes!
12,"Salma's on stage in her grandmother's cobija, presenting for Best Animated Film. #GoldenGlobes"
13,#GoldenGlobes presents #howtotrainyourdragon 2 as winner for animated picture film.
14,Selma Hayek looking stunning at the #GoldenGlobes presenting Best Animated Film. Shout out to nominee @BookofLifeMovie.
15,#SalmaHayek looking stunning at the #GoldenGlobes presenting Best Animated Film. Shout out to nominee @BookofLifeMovie.
16,How to Train Your Dragon 2 Wins the Golden Globe for Best Animated Feature Film: The Golden Globe Awards were presented on Sunday nig...
17,How to Train Your Dragon 2 Wins the Golden Globe for Best Animated Feature Film: The Golden Globe Awards were presented on Sunday nig...
18,How to Train Your Dragon 2 Wins the Golden Globe for Best Animated Feature Film: The Golden Globe Awards were presented on Sunday nig...
19,How to Train Your Dragon 2 Wins the Golden Globe for Best Animated Feature Film: The Golden Globe Awards were presented on Sunday nig...
20,How to Train Your Dragon 2 Wins the Golden Globe for Best Animated Feature Film: The Golden Globe Awards were presented on Sunday nig...
