,tweets
0,!!!!!!! “@MTVNews: Quentin Tarantino wins Best Director - Motion Picture for #DjangoUnchained! http://t.co/xf9dDMUt #GoldenGlobes”
1,"Ben Affleck wins #goldenglobes for best director, motion picture, for Argo"
2,"#Winner: Ben Affleck, Argo (Director, Motion Picture) #goldenglobes"
3,"RT @MSNtv: Best Director for a Motion Picture goes to Ben Affleck for ""Argo."" #GoldenGlobes"
4,"The winner for Best Director - Motion Picture is...Ben Affleck, Argo http://t.co/bfWoCRvV"
5,RT @TVGuide: Best director for motion picture goes to Ben Affleck for Argo #GoldenGlobes
6,RT @TVGuide: Best director for motion picture goes to Ben Affleck for Argo #GoldenGlobes
7,"#GoldenGlobes Best Director for Motion Picture Winner - Ben Affleck ""Argo"""
8,RT @TVGuide: Best director for motion picture goes to Ben Affleck for Argo #GoldenGlobes
9,thank.goodness. RT @TVGuide Best director for motion picture goes to Ben Affleck for Argo #GoldenGlobes
10,And the #GoldenGlobe for Best Director of a Motion Picture goes to Ben Affleck for #Argo! #GoldenGlobes
11,RT @TVGuide: Best director for motion picture goes to Ben Affleck for Argo #GoldenGlobes
12,RT @TVGuide: Best director for motion picture goes to Ben Affleck for Argo #GoldenGlobes
13,RT @TODAY_ent: Best director of a motion picture goes to @BenAffleck for #Argo http://t.co/R0gJ5ZTy #GoldenGlobes
14,Ben Affleck wins Best Director - Motion Picture for Argo. #GoldenGlobes
15,RT @MTVNews: Best Director - Motion Picture goes to Ben Affleck for #Argo! YES. http://t.co/Z36SYljF #GoldenGlobes
16,"“@CityNews: Ben Affleck wins Best Director - Motion Picture for ""Argo"" #GoldenGlobes” Excellent Job #GreatMovie"
17,RT @Fandango: Best Director - Motion Picture goes to Ben Affleck for #ARGO! #goldenglobes
18,RT @TVGuide: Best director for motion picture goes to Ben Affleck for Argo #GoldenGlobes
19,RT @TVGuide: Best director for motion picture goes to Ben Affleck for Argo #GoldenGlobes
20,RT @MTVNews: Best Director - Motion Picture goes to Ben Affleck for #Argo! YES. http://t.co/Z36SYljF #GoldenGlobes
21,"""@MTVNews: Best Director - Motion Picture goes to Ben Affleck for #Argo! YES. http://t.co/a79WMbtW #GoldenGlobes"""
22,“@MTVNews: Best Director - Motion Picture goes to Ben Affleck for #Argo! YES. http://t.co/n08GU48H #GoldenGlobes” great movie
23,"RT @NYDNgossip: BOOM. RT @NYDNentertain: Ben Affleck wins for Best Director, Motion Picture. Take that, Academy! #goldenglobes"
24,RT @TWC: Best Director for motion picture goes to... BEN AFFLECK for #Argo! Well deserved! #GoldenGlobes
25,RT @MTVNews: Best Director - Motion Picture goes to Ben Affleck for #Argo! YES. http://t.co/Z36SYljF #GoldenGlobes
26,RT @MTVNews: Best Director - Motion Picture goes to Ben Affleck for #Argo! YES. http://t.co/Z36SYljF #GoldenGlobes
27,"“@CNNshowbiz: Best director motion picture #GoldenGlobe awarded to Ben Affleck for ""Argo"" #GoldenGlobes”//That's how you do Oscar snub"
28,"""@BBCNewsUS: #BenAffleck wins #GoldenGlobes for Best Director - Motion Picture for #Argo http://t.co/CaXJkXl8"" totes deserves it! Great film"
29,RT @TVGuide: Best director for motion picture goes to Ben Affleck for Argo #GoldenGlobes
30,見にいかんかったやつや。DVD出たら見る。 RT @BBCNewsUS:  #BenAffleck wins  #GoldenGlobes for Best Director - Motion Picture for  #Argo http://t.co/ym3Jpjbb
31,RT @BBCNewsUS: #BenAffleck wins #GoldenGlobes for Best Director - Motion Picture for #Argo http://t.co/JOqecs4A
32,RT @moviesndtv: #GoldenGlobes 2013: Ben Affleck  wins Best Director - Motion Picture- for Argo http://t.co/AAjqBvK9
33,"Well deserved! RT @CityNews: Ben Affleck wins Best Director - Motion Picture for ""Argo"" #GoldenGlobes"
34,＼(^o^)／ RT @BBCNewsUS: #BenAffleck wins #GoldenGlobes for Best Director - Motion Picture for #Argo http://t.co/2YxzLMZ7
35,RT @BBCNewsUS: #BenAffleck wins #GoldenGlobes for Best Director - Motion Picture for #Argo http://t.co/JOqecs4A
36,Best motion picture goes to #LesMiserable Such a beautiful movie! Good job to the actors and director! 👏 On to win the #Oscars #GoldenGlobes
37,RT @TVGuide: Best director for motion picture goes to Ben Affleck for Argo #GoldenGlobes
38,RT @BBCNewsUS: #BenAffleck wins #GoldenGlobes for Best Director - Motion Picture for #Argo http://t.co/JOqecs4A
39,RT @MTVNews: Best Director - Motion Picture goes to Ben Affleck for #Argo! YES. http://t.co/IV7jCuP4 #GoldenGlobes
40,RT @nbc6: Standing ovation: The #GoldenGlobe for Director of a Motion Picture Goes to Ben Affleck – “Argo” #GoldenGlobes #zeebox http://t.co/OnRthgs8
41,#ARGO wins Best motion picture and Best director at #GoldenGlobes! Perfect preview to the Academy Awards! Ben Affleck _/\_
42,"Ben Affleck, wins best director &amp; motion picture - drama for Argo, beats veteran directors at the #GoldenGlobes I have to see his movie yet."
43,"ARGO Go Ben!!!! #Argo wins Best Motion Picture Drama &amp; Best Director
#GoldenGlobes @BenAffleck"
44,RT @Shashank_Wilson: #GoldenGlobes 2013: Ben Affleck wins Best Director - Motion Picture- for Argo http://t.co/vCExWTji
45,RT @BBCNewsUS: #BenAffleck wins #GoldenGlobes for Best Director - Motion Picture for #Argo http://t.co/JOqecs4A
46,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
47,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
48,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
49,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
50,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
51,RT @BBCNewsUS: #BenAffleck wins #GoldenGlobes for Best Director - Motion Picture for #Argo http://t.co/JOqecs4A
52,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
53,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
54,Congrats to Ben Afflick. Fellow bostonian ! Won best director and won best motion picture tonight .good shit #goldenglobes
55,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
56,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
57,RT @moviesndtv: #GoldenGlobes 2013: Ben Affleck  wins Best Director - Motion Picture- for Argo http://t.co/AAjqBvK9
58,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
59,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
60,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
61,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
62,"RT @IMDb : Winner, Best Director - Motion Picture: Ben Affleck for #Argo http://t.co/OjkDGXhs #GoldenGlobes"
63,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
64,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
65,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
66,"#GoldenGlobes Argo won Best Motion Picture and Ben Affleck also won Best Director, Motion Picture for Argo! ARgo clearly deserved it!"
67,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
68,"BEN AFFLECK

GOLDEN GLOBES 2013

BEST DIRECTOR MOTION PICTURE

#MARAVIWOW #MARAVIWOW #MARAVIWOW #MARAVIWOW http://t.co/O53jwbqL"
69,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
70,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
71,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
72,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
73,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
74,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
75,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
76,RT @wbpictures: #Argo - #GoldenGlobes winner for Best Motion Picture - Drama! Huge congrats to director @BenAffleck and the entire cast and crew!
77,Waking up to a very good news that Ben Affleck won best director and Argo won best motion picture (drama) at the Golden Globes!!!!!! :'')
