,tweets
1,"Ben Affleck wins #goldenglobes for best director, motion picture, for Argo"
2,"#Winner: Ben Affleck, Argo (Director, Motion Picture) #goldenglobes"
4,"The winner for Best Director - Motion Picture is...Ben Affleck, Argo http://t.co/bfWoCRvV"
7,"#GoldenGlobes Best Director for Motion Picture Winner - Ben Affleck ""Argo"""
10,And the #GoldenGlobe for Best Director of a Motion Picture goes to Ben Affleck for #Argo! #GoldenGlobes
13,RT @TODAY_ent: Best director of a motion picture goes to @BenAffleck for #Argo http://t.co/R0gJ5ZTy #GoldenGlobes
14,Ben Affleck wins Best Director - Motion Picture for Argo. #GoldenGlobes
16,"“@CityNews: Ben Affleck wins Best Director - Motion Picture for ""Argo"" #GoldenGlobes” Excellent Job #GreatMovie"
17,RT @Fandango: Best Director - Motion Picture goes to Ben Affleck for #ARGO! #goldenglobes
23,"RT @NYDNgossip: BOOM. RT @NYDNentertain: Ben Affleck wins for Best Director, Motion Picture. Take that, Academy! #goldenglobes"
24,RT @TWC: Best Director for motion picture goes to... BEN AFFLECK for #Argo! Well deserved! #GoldenGlobes
27,"“@CNNshowbiz: Best director motion picture #GoldenGlobe awarded to Ben Affleck for ""Argo"" #GoldenGlobes”//That's how you do Oscar snub"
28,"""@BBCNewsUS: #BenAffleck wins #GoldenGlobes for Best Director - Motion Picture for #Argo http://t.co/CaXJkXl8"" totes deserves it! Great film"
30,見にいかんかったやつや。DVD出たら見る。 RT @BBCNewsUS:  #BenAffleck wins  #GoldenGlobes for Best Director - Motion Picture for  #Argo http://t.co/ym3Jpjbb
31,RT @BBCNewsUS: #BenAffleck wins #GoldenGlobes for Best Director - Motion Picture for #Argo http://t.co/JOqecs4A
33,"Well deserved! RT @CityNews: Ben Affleck wins Best Director - Motion Picture for ""Argo"" #GoldenGlobes"
34,＼(^o^)／ RT @BBCNewsUS: #BenAffleck wins #GoldenGlobes for Best Director - Motion Picture for #Argo http://t.co/2YxzLMZ7
35,RT @BBCNewsUS: #BenAffleck wins #GoldenGlobes for Best Director - Motion Picture for #Argo http://t.co/JOqecs4A
38,RT @BBCNewsUS: #BenAffleck wins #GoldenGlobes for Best Director - Motion Picture for #Argo http://t.co/JOqecs4A
40,RT @nbc6: Standing ovation: The #GoldenGlobe for Director of a Motion Picture Goes to Ben Affleck – “Argo” #GoldenGlobes #zeebox http://t.co/OnRthgs8
41,#ARGO wins Best motion picture and Best director at #GoldenGlobes! Perfect preview to the Academy Awards! Ben Affleck _/\_
44,RT @Shashank_Wilson: #GoldenGlobes 2013: Ben Affleck wins Best Director - Motion Picture- for Argo http://t.co/vCExWTji
45,RT @BBCNewsUS: #BenAffleck wins #GoldenGlobes for Best Director - Motion Picture for #Argo http://t.co/JOqecs4A
51,RT @BBCNewsUS: #BenAffleck wins #GoldenGlobes for Best Director - Motion Picture for #Argo http://t.co/JOqecs4A
54,Congrats to Ben Afflick. Fellow bostonian ! Won best director and won best motion picture tonight .good shit #goldenglobes
62,"RT @IMDb : Winner, Best Director - Motion Picture: Ben Affleck for #Argo http://t.co/OjkDGXhs #GoldenGlobes"
66,"#GoldenGlobes Argo won Best Motion Picture and Ben Affleck also won Best Director, Motion Picture for Argo! ARgo clearly deserved it!"
68,"BEN AFFLECK

GOLDEN GLOBES 2013

BEST DIRECTOR MOTION PICTURE

#MARAVIWOW #MARAVIWOW #MARAVIWOW #MARAVIWOW http://t.co/O53jwbqL"
