,tweets
0,"Yep, AMOUR wins Best Foreign Language Film #GoldenGlobes"
1,Best foreign language film goes to Amour! #GoldenGlobes
2,"RT @OnTheRedCarpet: ""Amour"" wins Best Foreign Language Film at the #GoldenGlobes:  http://t.co/sGlIprkL"
3,Best Foreign Language Film goes to Amour (Austria). #GoldenGlobes
4,RT @Variety: WINNER: “Amour” wins best foreign language film #goldenglobes
5,"Michael Haneke's ""Amour"" wins best foreign language #film #GoldenGlobes"
6,RT @Variety: WINNER: “Amour” wins best foreign language film #goldenglobes
7,Best Foreign Language Film goes to 'Amour' http://t.co/qV1NU79p #GoldenGlobes
8,#GoldenGlobes Best Foreign Language Film goes to Amour!
9,#GoldenGlobes Best Foreign Language Film goes to Amour!
10,RT @Variety: WINNER: “Amour” wins best foreign language film #goldenglobes
12,RT @Variety: WINNER: “Amour” wins best foreign language film #goldenglobes
13,RT @Variety: WINNER: “Amour” wins best foreign language film #goldenglobes
14,RT @AP: 'Amour' wins Golden Globe for best foreign language film for Austria: http://t.co/u6dTs3Y6 #GoldenGlobes -RJJ
15,RT @AP: 'Amour' wins Golden Globe for best foreign language film for Austria: http://t.co/u6dTs3Y6 #GoldenGlobes -RJJ
16,RT @AP: 'Amour' wins Golden Globe for best foreign language film for Austria: http://t.co/u6dTs3Y6 #GoldenGlobes -RJJ
17,"RT @ABCNewsEnt: Best foreign language film goes to ""Amour"" at the #GoldenGlobes http://t.co/VCUv6LqO"
18,"RT @THR: Austria's ""Amour"" wins the #GoldenGlobe for Best Foreign Language Film. http://t.co/bEbOJaJ5"
19,RT @AP: 'Amour' wins Golden Globe for best foreign language film for Austria: http://t.co/u6dTs3Y6 #GoldenGlobes -RJJ
20,RT @AP: 'Amour' wins Golden Globe for best foreign language film for Austria: http://t.co/u6dTs3Y6 #GoldenGlobes -RJJ
21,"Golden Globes 2013: 'Amour' wins best foreign language film: ""Amour"" won the Golden Globe for best foreign langu... http://t.co/jvi0cXpF"
22,"Golden Globes 2013: 'Amour' wins best foreign language film: ""Amour"" won the Golden Globe for best foreign langu... http://t.co/ZGhOvj3V"
23,"Golden Globes 2013: 'Amour' wins best foreign language film: ""Amour"" won the Golden Globe for best foreign langu... http://t.co/KAejgwbp"
24,Golden Globes 2013: 'Amour' wins best foreign language film http://t.co/utNHYYUb
25,Golden Globes 2013: 'Amour' wins best foreign language film http://t.co/cwEVmBpL #hollywood
26,Golden Globes 2013: 'Amour' wins best foreign language film http://t.co/ojO32oOa
27,Golden Globes 2013: 'Amour' wins best foreign language film http://t.co/dAxtyxEB
28,Golden Globes 2013: 'Amour' wins best foreign language film http://t.co/Enpaus6L
29,"RT @Zap2it: The award goes to ""Amour,"" which also just had the feat of double #Oscar noms - Best Foreign Language Film &amp; Best Picture. #GoldenGlobes"
