,tweets
0,Dustin Hoffman is presenting Best Motion Picture Comedy or Musical #GoldenGlobes
1,Dustin Hoffman is presenting Best Motion Picture Comedy or Musical #GoldenGlobes
2,Dustin Hoffman is presenting Best Motion Picture Comedy or Musical #GoldenGlobes
3,Dustin Hoffman is presenting Best Motion Picture Comedy or Musical #GoldenGlobes
4,President Clinton getting a standing ovation and presenting Lincoln as a best motion picture nominee. Now THAT'S #MERICA #GoldenGlobes
5,Robert Pattinson alert! Presenting Best Screenplay Motion Picture with Amanda Seyfried right now #GoldenGlobes
6,RT @OKMagazine: Robert Pattinson alert! Presenting Best Screenplay Motion Picture with Amanda Seyfried right now #GoldenGlobes
9,Dustin Hoffman is presenting Best Motion Picture Comedy or Musical #GoldenGlobes
24,RT @OKMagazine: Robert Pattinson alert! Presenting Best Screenplay Motion Picture with Amanda Seyfried right now #GoldenGlobes
25,Dustin Hoffman is presenting Best Motion Picture Comedy or Musical #GoldenGlobes
26,Dustin Hoffman is presenting Best Motion Picture Comedy or Musical #GoldenGlobes
27,Dustin Hoffman is presenting Best Motion Picture Comedy or Musical #GoldenGlobes
28,Dustin Hoffman is presenting Best Motion Picture Comedy or Musical #GoldenGlobes
31,Dustin Hoffman is presenting Best Motion Picture Comedy or Musical #GoldenGlobes
