,tweets
4,I truly hope Birdman wins tonight for best motion picture comedy or musical. #GoldenGlobes
15,"Winner of #GoldenGlobe for Best Motion Picture, Musical Or Comedy: AMY ADAMS, Big Eyes
http://t.co/j6H6D61sGQ"
18,Best acress in a Motion Picture comedy or Musical goes to Amy Adams for Big Eyes #GoldenGlobes
952,Golden Globes 2015: Winners list in full: Best Motion Picture - Musical or Comedy http://t.co/ZagOyPWXXs
953,Golden Globes 2015: Winners list in full: Best Motion Picture - Musical or Comedy http://t.co/Wi3JUb2K7s
963,RT @World_News_N1: Golden Globes 2015: Winners list in full: Best Motion Picture - Musical or Comedy http://t.co/ZagOyPWXXs
1864,"WINNER: Motion picture (comedy/musical)- ""Birdman"". #GoldenGlobes"
1865,"Major Award time. Best Motion Picture, Musical or Comedy goes to... THE GRAND BUDAPEST HOTEL #GoldenGlobes"
1866,"Winner of #GoldenGlobes for Best Motion Picture, Musical Or Comedy: The Grand Budapest Hotel
http://t.co/j6H6D61sGQ"
1869,"WINNER: THE GRAND BUDAPEST HOTEL -- Best Motion Picture, Comedy or Musical #GoldenGlobes"
1872,"Best Motion Picture, Comedy or Musical goes to... #TheGrandBudapestHotel! #GoldenGlobes"
1873,Award for Best Motion Picture (Comedy or Musical) goes to #TheGrandBudapestHotel. #GoldenGlobes
1874,The Grand Budapest Hotel won the #GoldenGlobe for best motion picture/comedy/musical.
1875,"Best motion picture, comedy or Musical goes to: The Grand Budapest Hotel. #GoldenGlobes"
1876,Best Motion Picture – Comedy or Musical goes to The Grand Budapest Hotel #GoldenGlobes
1877,Best Motion Picture – Comedy Or Musical: WINNER: The Grand Budapest Hotel! #GoldenGlobes Great film!
1878,WINNER Best Motion Picture Comedy or Musical: THE GRAND BUDAPEST HOTEL #GoldenGlobes
1879,"The #goldenglobe for Best Motion Picture, Musical or Comedy goes to 'The Grand Budapest Hotel' http://t.co/mOt0741Q2a"
1880,#GrandBudapestHotel wins best motion picture (comedy or musical)! #GoldenGlobes
1881,#GoldenGlobes Best Motion Picture - Comedy or Musical goes to The Grand Budapest Hotel
1883,#GoldenGlobes Award for Best Motion Picture (Comedy or Musical) goes to 'The Grand Budapest Hotel'
1884,"The #goldenglobe for Best Motion Picture, Comedy or Musical, goes to...""The Grand Budapest Hotel"" #GoldenGlobes"
1885,the Golden Globe for best comedy or musical motion picture goes to... The Grand Budapest Hotel!!
1886,"""The Grand Budapest Hotel"" wins best motion picture comedy or musical #GoldenGlobes"
1887,Best Motion Picture - Comedy or Musical goes to 'The Grand Budapest Hotel.' #GoldenGlobes
1888,"Best Motion Picture, Comedy or Musical goes to... THE GRAND BUDAPEST HOTEL #GoldenGlobes"
1889,"The #GoldenGlobe for Best Motion Picture, Comedy or Musical goes to...'The Grand Budapest Hotel!'"
1890,Best motion picture comedy or musical goes to The Grand Budapest Hotel #GoldenGlobes
1891,"Best Motion Picture, Comedy or Musical goes to: #TheGrandBudapestHotel!! #HD983 #TheJoeShow #GoldenGlobes"
1892,"Best Motion Picture, Comedy or Musical, goes to The Grand Budapest Hotel! #GoldenGlobes"
1893,"The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes"
1894,"Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
1895,"""the grand budapest hotel"" wins best comedy/musical motion picture #goldenglobes"
1896,Wes Anderson's The Grand Budapest Hotel wins for Best Motion Picture - Comedy or Musical #GoldenGlobes http://t.co/xcx0FqeSrq
1897,Best Motion Picture (Comedy or Musical) goes to The Grand Budapest Hotel #GoldenGlobes
1898,"The Grand Budapest Hotel wins Best Motion Picture, Comedy or Musical. Congrats to the cast and crew! #GoldenGlobes via @nbc"
1899,"Best Motion Picture, Comedy/Musical goes to the Grand Budapest Hotel! #GoldenGlobes"
1900,RDJ presents the Golden Globe for Best Motion Picture- Comedy or Musical and the winner is... (insert drum roll here) #GoldenGlobes
1901,"Whoa! Best motion picture, comedy or musical goes to The Grand Budapest Hotel #GoldenGlobes"
1902,The Grand Budapest Hotel wins best motion picture comedy or musical. #GoldenGlobes
1903,BEST MOTION PICTURE (COMEDY OR MUSICAL) GOES TO THE GRAND BUDAPEST HOTEL #GoldenGlobes
1904,"Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes via @HuffingtonPost"
1905,Best Motion Picture Comedy or Musical goes to The Grand Budapest Hotel #GoldenGlobes
1906,"Winner! Best motion picture, comedy or musical- The Grand Budapest Hotel! #GoldenGlobes"
1907,"Best Motion Picture, Comedy or Musical goes to The Grand Budapest Hotel #GoldenGlobes #TheGrandBudapestHotel"
1908,"The award for Best Motion Picture, Musical or Comedy goes to The Grand Budapest Hotel #GoldenGlobes"
1909,Best Motion Picture - Comedy or Musical goes to  The Grand Budapest Hotel #GoldenGlobes
1910,best motion picture comedy or musical goes to The Grand Budapest Hotel #GoldenGlobes
1912,"RDJ announces that the #GoldenGlobe for Best Motion Picture, Comedy or Musical goes to: #TheGrandBudapestHotel"
