,tweets
0,#Lincoln won best Motion Picture Drama #GoldenGlobes that's a given
1,Best Supporting Actress in a Motion Picture Drama goes to Anne Hathaway for Les Mis  #GoldenGlobes cc @katiecouric
2,"Best Actress, Motion Picture Drama goes to Jessica Chastain for ""Zero Dark Thirty."" #GoldenGlobes"
3,"Best Performance by an Actress in a Motion Picture, Drama goes to Jessica Chastain for ""Zero Dark Thirty."" #GoldenGlobes"
4,Jessica Chastain wins the #GoldenGlobe for Best Actress in a Motion Picture- Drama! Beyond well deserved. #GoldenGlobes
5,BEST ACTRESS MOTION PICTURE DRAMA GOLDEN GLOBE WINNER: JESSICA CHASTAIN #GoldenGlobes
6,Jessica Chastain wins Best Actress in Motion Picture-Drama #GoldenGlobes
7,#GoldenGlobes: Best Actress in a Motion Picture Drama goes to Jessica Chastain for Zero Dark Thirty. More @KNX1070
8,RT @TVGuide: Best actress in a motion picture drama goes to Jessica Chastain #GoldenGlobes
9,RT @TVGuide: Best actress in a motion picture drama goes to Jessica Chastain #GoldenGlobes
10,RT @TVGuide: Best actress in a motion picture drama goes to Jessica Chastain #GoldenGlobes
11,"RT @OnTheRedCarpet: Jessica Chastain of ""Zero Dark Thirty"" wins Best Actress in a Motion Picture - Drama at the #GoldenGlobes:  http://t.co/nqOsRQFl"
12,"RT @THR: Jessica Chastain wins the #GoldenGlobe for Best Actress in a Motion Picture, Drama for ""Zero Dark Thirty."" http://t.co/bEbOJaJ5"
13,Best Actress (Motion Picture - Drama) goes to Jessica Chastain for #ZeroDarkThirty! #GoldenGlobes
14,"RT @THR: Jessica Chastain wins the #GoldenGlobe for Best Actress in a Motion Picture, Drama for ""Zero Dark Thirty."" http://t.co/bEbOJaJ5"
15,"RT @THR: Jessica Chastain wins the #GoldenGlobe for Best Actress in a Motion Picture, Drama for ""Zero Dark Thirty."" http://t.co/bEbOJaJ5"
16,"RT @THR: Jessica Chastain wins the #GoldenGlobe for Best Actress in a Motion Picture, Drama for ""Zero Dark Thirty."" http://t.co/bEbOJaJ5"
17,"RT @THR: Jessica Chastain wins the #GoldenGlobe for Best Actress in a Motion Picture, Drama for ""Zero Dark Thirty."" http://t.co/bEbOJaJ5"
18,"RT @THR: Jessica Chastain wins the #GoldenGlobe for Best Actress in a Motion Picture, Drama for ""Zero Dark Thirty."" http://t.co/bEbOJaJ5"
19,"“@OnTheRedCarpet: Jessica Chastain of ""Zero Dark Thirty"" wins Best Actress in a Motion Picture - Drama at the #GoldenGlobes”"
20,Best actress for motion picture- drama- goes to breathless Jessica Chastain #goldenglobes
21,"Jessica Chastain wins Best Actress in a motion Picture, Drama. #GoldenGlobes"
22,RT @KNX1070: #GoldenGlobes: Best Actress in a Motion Picture Drama goes to Jessica Chastain for Zero Dark Thirty. More @KNX1070
23,Best actress in a motion picture drama goes to Jessica Chastain for @ZeroDarkThirty http://t.co/9xqOeVi9 #GoldenGlobes
24,"Jessica Chastain wins #GoldenGlobes for Best Actress in a Motion Picture, Drama for ""Zero Dark Thirty."""
25,RT @MTVNews: Best Performance by an Actress in a Motion Picture - Drama goes to Jessica Chastain who is in tears! http://t.co/Z36SYljF #GoldenGlobes
26,RT @HuffPostCeleb: Best Actress in a Motion Picture Drama goes to Jessica Chastain for Zero Dark Thirty #GoldenGlobes
27,RT @TODAY_ent: The award for best actress in a motion picture drama goes to Jessica Chastain for @ZeroDarkThirty http://t.co/BshI8XDL #GoldenGlobes
28,"RT @OnTheRedCarpet: Jessica Chastain of ""Zero Dark Thirty"" wins Best Actress in a Motion Picture - Drama at the #GoldenGlobes:  http://t.co/nqOsRQFl"
29,"RT @OnTheRedCarpet: Jessica Chastain of ""Zero Dark Thirty"" wins Best Actress in a Motion Picture - Drama at the #GoldenGlobes:  http://t.co/nqOsRQFl"
30,"Winners list: Best Actress in a Motion Picture, Drama: Jessica Chastain for Zero Dark Thirty #GoldenGlobes #Belarich"
31,RT @PageSix: Best actress for motion picture- drama- goes to breathless Jessica Chastain #goldenglobes
32,"RT @CineplexMovies: Best Actress, Motion Picture/Drama goes to Jessica Chastain for 'Zero Dark Thirty' as she edges closer to Oscar glory. #GoldenGlobes ^AM"
33,"Jessica Chastain wins best actress in a motion picture, drama, for 'Zero Dark Thirty' at the Golden Globes - live broadcast"
34,"RT @nbcsandiego: Leading actress in a motion picture, drama goes to Jessica Chastain – ""Zero Dark 30"" http://t.co/GsTsR9XX #GoldenGlobes"
35,Best actor in a motion picture drama goes to Daniel Day-Lewis #GoldenGlobes
36,RT @TODAY_ent: The award for best actress in a motion picture drama goes to Jessica Chastain for @ZeroDarkThirty http://t.co/BshI8XDL #GoldenGlobes
37,Daniel Day-Lewis wins best actor in a motion picture drama for Lincoln #goldenglobes
38,RT @GlobalGrind: #GoldenGlobes Best Actress in a Motion Picture for Drama goes to Jessica Chastain in Zero Dark Thirty! http://t.co/FJ1fznRO
39,Best Actor in A Motion Picture Drama goes to Daniel Day Lewis for Lincoln  #GoldenGlobes  Congrats!!!
40,Daniel Day-Lewis (Lincoln) wins Best Actor in a Motion Picture - Drama #GoldenGlobes
41,Daniel Day-Lewis wins Best Actor for Lincoln - Motion Picture Drama #GoldenGlobes
42,Best Actress in a Motion Picture Drama goes to Jessica Chastain for Zero Dark Thirty. #GoldenGlobes
43,"RT @nbc: Daniel Day-Lewis wins Best Actor in a Motion Picture, Drama, for his role in Lincoln. Congrats! #GoldenGlobes"
44,Best Actor in a Motion Picture Drama goes to Daniel Day-Lewis for Lincoln. #GoldenGlobes
45,Best Actor in a Motion Picture Drama goes to Daniel Day Lewis for Lincoln! #GoldenGlobes
46,"Daniel Day-Lewis has just won Best Performance by an Actor in a Motion Picture - Drama for ""Lincoln"" #GoldenGlobes"
47,"Best Actress Motion Picture Drama goes to Jessica Chastain, @ZeroDarkThirty, “Dream Come True"" #GoldenGlobes #zeebox http://t.co/OnRthgs8"
48,"Leading actor in a motion picture, drama goes to Daniel Day-Lewis – #Lincoln http://t.co/LxcchLK8 #GoldenGlobes"
49,RT @moviesndtv: #GoldenGlobes 2013: Jessica Chastain wins Best Actress in a Motion Picture – Drama http://t.co/5YZH053D
50,"RT @nbc: Daniel Day-Lewis wins Best Actor in a Motion Picture, Drama, for his role in Lincoln. Congrats! #GoldenGlobes"
51,"Jessica Chastain wins the Golden Globe for Best Actress in a Motion Picture, Drama for ""Zero Dark Thirty"" #GoldenGlobes"
52,"RT @nbc: Daniel Day-Lewis wins Best Actor in a Motion Picture, Drama, for his role in Lincoln. Congrats! #GoldenGlobes"
53,"RT @OnTheRedCarpet: Daniel Day-Lewis of ""Lincoln"" wins Best Performance by an Actor in a Motion Picture - Drama at the #GoldenGlobes:  http://t.co/WWlcxW1Z"
54,"Best Actress in Motion Picture Drama, and the winner is... Jessica Chastain! #GoldenGlobes"
55,"RT @FashionweekNYC: Jessica Chastain wins the Golden Globe for Best Actress in a Motion Picture, Drama for ""Zero Dark Thirty"" #GoldenGlobes"
56,RT @OKMagazine: Best Actor in a Motion Picture Drama goes to Daniel Day Lewis for Lincoln! #GoldenGlobes
57,"RT @xinmsn_en: And of course Best Motion Picture - Drama goes to ""Les Miserables"" ! #GoldenGlobes"
58,"RT @anglophenia: Best Actor, Motion Picture Drama goes to Daniel Day-Lewis for ""Lincoln."" #GoldenGlobes"
59,“@TVGuide: Best actor in a motion picture drama goes to Daniel Day-Lewis #GoldenGlobes” what a shocker
60,"RT @nbc: Daniel Day-Lewis wins Best Actor in a Motion Picture, Drama, for his role in Lincoln. Congrats! #GoldenGlobes"
61,"Best Actor in a Motion Picture, Drama goes to Daniel Day-Lewis for Lincoln! #GoldenGlobes"
62,Daniel Day-Lewis wins Best Actor in a Motion Picture (drama) for @LincolnMovie http://t.co/qV1NU79p #GoldenGlobes
63,"aaawww man.  I WANTED DENZEL to win Best Actor in a Motion Picture, Drama. #robbed #goldenglobes"
64,"“@THR: Daniel Day-Lewis wins the #GoldenGlobe for Best Actor in a Motion Picture, Drama for ""Lincoln."" http://t.co/Pnw65xdb”"
65,"RT @nbc: Daniel Day-Lewis wins Best Actor in a Motion Picture, Drama, for his role in Lincoln. Congrats! #GoldenGlobes"
66,"RT @THR: Daniel Day-Lewis wins the #GoldenGlobe for Best Actor in a Motion Picture, Drama for ""Lincoln."" http://t.co/bEbOJaJ5"
67,"RT @THR: Daniel Day-Lewis wins the #GoldenGlobe for Best Actor in a Motion Picture, Drama for ""Lincoln."" http://t.co/bEbOJaJ5"
68,"RT @THR: Daniel Day-Lewis wins the #GoldenGlobe for Best Actor in a Motion Picture, Drama for ""Lincoln."" http://t.co/bEbOJaJ5"
69,"RT @NewsGunner: Jessica Chastain wins best actress in a motion picture, drama, for 'Zero Dark Thirty' at the Golden Globes - live broadcast"
70,"RT @USATODAYlife: Jessica Chastain wins Best Actress in a Motion Picture, Drama,  for Zero Dark Thirty  #GoldenGlobes"
71,"RT @OnTheRedCarpet: Jessica Chastain of ""Zero Dark Thirty"" wins Best Actress in a Motion Picture - Drama at the #GoldenGlobes:  http://t.co/nqOsRQFl"
72,"RT @THR: Daniel Day-Lewis wins the #GoldenGlobe for Best Actor in a Motion Picture, Drama for ""Lincoln."" http://t.co/bEbOJaJ5"
73,"RT @THR: Daniel Day-Lewis wins the #GoldenGlobe for Best Actor in a Motion Picture, Drama for ""Lincoln."" http://t.co/bEbOJaJ5"
74,#Goldenglobes Best actress for a motion picture drama goes to Jessica Chastain for #ZeroDarkThirty
75,"RT @THR: Daniel Day-Lewis wins the #GoldenGlobe for Best Actor in a Motion Picture, Drama for ""Lincoln."" http://t.co/bEbOJaJ5"
76,"RT @THR: Daniel Day-Lewis wins the #GoldenGlobe for Best Actor in a Motion Picture, Drama for ""Lincoln."" http://t.co/bEbOJaJ5"
77,"RT @THR: Jessica Chastain wins the #GoldenGlobe for Best Actress in a Motion Picture, Drama for ""Zero Dark Thirty."" http://t.co/bEbOJaJ5"
78,"THR: Daniel Day-Lewis wins the #GoldenGlobe for Best Actor in a Motion Picture, Drama for ""Lincoln."" http://t.co/rNGi3vgg -- So deserved!!"
79,"RT @nbc: Daniel Day-Lewis wins Best Actor in a Motion Picture, Drama, for his role in Lincoln. Congrats! #GoldenGlobes"
80,RT @BBCNewsUS: Daniel Day-Lewis wins Best Actor Motion Picture - Drama for performance in #Lincoln at #GoldenGlobes http://t.co/TmbOZX8S
81,RT @TODAY_ent: The award for best actress in a motion picture drama goes to Jessica Chastain for @ZeroDarkThirty http://t.co/BshI8XDL #GoldenGlobes
82,RT @TVGuide: Best actor in a motion picture drama goes to Daniel Day-Lewis #GoldenGlobes
83,#GoldenGlobes: Daniel Day-Lewis wins Best Actor in a Motion Picture – Drama for Lincoln
84,"I wanted her to win, yay!! “@PageSix: Best actress for motion picture- drama- goes to breathless Jessica Chastain #goldenglobes”"
85,"RT @OnTheRedCarpet: Jessica Chastain of ""Zero Dark Thirty"" wins Best Actress in a Motion Picture - Drama at the #GoldenGlobes:  http://t.co/nqOsRQFl"
86,"Jessica Chastain wins Best Actress in a Motion Picture, Drama,  for Zero Dark Thirty  #GoldenGlobes"
87,RT @timesofindia: #GoldenGlobes: Daniel Day-Lewis wins Best Actor in a Motion Picture – Drama for Lincoln
88,"RT @THR: Daniel Day-Lewis wins the #GoldenGlobe for Best Actor in a Motion Picture, Drama for ""Lincoln."" http://t.co/bEbOJaJ5"
89,RT @STCommunities: Best actor in a motion picture drama goes to Daniel Day-Lewis for Lincoln #GoldenGlobes
90,"This ""@FashionweekNYC: Daniel Day Lewis wins the Golden Globe for Best Actor in a Motion Picture, Drama for ""Lincoln"" #GoldenGlobes"""
91,RT @moviesndtv: #GoldenGlobes 2013: Daniel Day-Lewis wins Best Actor in a Motion Picture – Drama for Lincoln http://t.co/YS9hsurg
92,Long Live Mr.President!!RT @HuffPostCeleb: Best Actor in a Motion Picture Drama goes to Daniel Day Lewis for #Lincoln #GoldenGlobes
93,Daniel Day Lewis wins the Best Actor in a Motion Picture for Drama! #GoldenGlobes
94,Best Motion Picture Drama winner....ARGO #GoldenGlobes
95,"The Golden Globe for Best Motion Picture Drama goes to  ""Argo"" #GoldenGlobes"
96,Best Motion Picture - Drama goes to Argo. Ben Affleck with a surprised look as he kisses wife Jennifer Garner @PhilstarNews #GoldenGlobes
97,"Damn! ""@BuzzFeed: Arog Wins Best Motion Picture Drama! #goldenglobes"""
98,Best Motion Picture Drama goes to #ARGO! I am so incredibly happy! This is my favorite movie of the last year of movies! #GoldenGlobes
99,"Congrats to the cast &amp; crew of ""Argo"" for winning Best Drama Motion Picture #GoldenGlobes"
100,"Motion Picture, Drama goes to #Argo http://t.co/VAyt0n45 #GoldenGlobes"
101,Argo wins Best Motion Picture (Drama) #GoldenGlobes via @goldenglobes
102,"Okay Daniel Day-Lewis wins Best Actor Motion Picture Drama ""Lincoln"". @goldenglobes  #goldenglobes"
103,Wow. Argo wins best Motion Picture-Drama. I'm a fan of Ben Affleck's works but I did not see that coming. #goldenglobes
104,"RT @nbc: Congratulations to the cast and crew of Argo for their Best Motion Picture, Drama win! #GoldenGlobes"
105,Best Motion Picture Drama goes to ARGO! #GoldenGlobes
106,"RT @THR: ""Argo"" wins the #GoldenGlobe for Best Motion Picture, Drama. http://t.co/bEbOJaJ5"
107,"RT @THR: ""Argo"" wins the #GoldenGlobe for Best Motion Picture, Drama. http://t.co/bEbOJaJ5"
108,"RT @THR: ""Argo"" wins the #GoldenGlobe for Best Motion Picture, Drama. http://t.co/bEbOJaJ5"
109,"RT @THR: ""Argo"" wins the #GoldenGlobe for Best Motion Picture, Drama. http://t.co/bEbOJaJ5"
110,RT @LedgerMatt: Argo wins Best Motion Picture - Drama at the #GoldenGlobes.
111,"RT @MTVNews: Yeah, Argo! The film wins Best Motion Picture - Drama. http://t.co/Z36SYljF #GoldenGlobes"
112,RT @TVGuide: Best motion picture drama goes to Argo #GoldenGlobes
113,"RT @THR: ""Argo"" wins the #GoldenGlobe for Best Motion Picture, Drama. http://t.co/bEbOJaJ5"
114,"WOW! “@THR: ""Argo"" wins the #GoldenGlobe for Best Motion Picture, Drama. http://t.co/ktZmXShR”"
115,"RT @THR: ""Argo"" wins the #GoldenGlobe for Best Motion Picture, Drama. http://t.co/bEbOJaJ5"
116,RT @TVGuide: Best motion picture drama goes to Argo #GoldenGlobes
117,"RT @nbc: Congratulations to the cast and crew of Argo for their Best Motion Picture, Drama win! #GoldenGlobes"
118,"RT @TheWrap: Ben Affleck's ""Argo"" wins Best Drama Motion Picture #GoldenGlobes"
119,“@USATODAYlife: WINNER - Argo -  Best Motion Picture  - Drama #GoldenGlobes”.  GREAT MOVIE! Loved it.
120,"""Argo"" wins the Golden Globe for Best Motion Picture - Drama. @BenAffleck it's your night! #goldenglobes"
121,"RT @YahooMovies: We have a Pretty Woman sighting. #JuliaRoberts presenting Best Motion Picture, Drama. And the winner is... #Argo! #GoldenGlobes"
122,“@TVGuide: Best motion picture drama goes to Argo #GoldenGlobes” So Happy! Well deserved!!
123,RT @GlobalGrind: #GoldenGlobes: Best Motion Picture in Drama goes to Argo!!! http://t.co/FJ1fznRO
124,RT @TVGuide: Best motion picture drama goes to Argo #GoldenGlobes
125,RT @BuzzFeed: Affleck! Argo Wins Best Motion Picture Drama! #goldenglobes
126,Well deserved! “@BuzzFeed: Affleck! Argo Wins Best Motion Picture Drama! #goldenglobes”
127,"Argo wins the best Motion picture Drama! #goldenglobes , that is a surprise!"
128,RT @gmanews: Argo wins Best Motion Picture (Drama) #GoldenGlobes via @goldenglobes
129,Argo WINS for Best Motion Picture Drama! @BenAffleck #GoldenGlobes
130,Whoa! That was a surprise! Argo wins Best Motion Picture Drama! Great movie nonetheless #GoldenGlobes
131,RT @akstanwyck: #goldenglobes best motion picture drama goes to Argo. Wow. Very surprised. Affleck is getting his own back!
132,RT @BuzzFeed: Affleck! Argo Wins Best Motion Picture Drama! #goldenglobes
133,RT @moviesndtv: #GoldenGlobes 2013: Jessica Chastain wins Best Actress in a Motion Picture – Drama http://t.co/5YZH053D
134,Best Motion Picture - Drama - goes to Argo #benaffleck #goldenglobes #canadianhistory #argo #victorgarber
135,RT @BuzzFeed: Affleck! Argo Wins Best Motion Picture Drama! #goldenglobes
136,"RT @MTVNews: Yeah, Argo! The film wins Best Motion Picture - Drama. http://t.co/Z36SYljF #GoldenGlobes"
137,"RT @nbc: Congratulations to the cast and crew of Argo for their Best Motion Picture, Drama win! #GoldenGlobes"
138,RT @LA_mag: Argo wins Best Motion Picture - Drama. Kind of an upset. #goldenglobes
139,RT @TVGuide: Best motion picture drama goes to Argo #GoldenGlobes
140,"RT @YahooMovies: We have a Pretty Woman sighting. #JuliaRoberts presenting Best Motion Picture, Drama. And the winner is... #Argo! #GoldenGlobes"
141,RT @BuzzFeed: Affleck! Argo Wins Best Motion Picture Drama! #goldenglobes
142,"RT @CNNshowbiz: Best motion picture drama goes to ""Argo."" #GoldenGlobes"
143,Argo won Best Motion Picture - Drama. #GoldenGlobes please wrap it up it's 6AM over here.
144,"Wow! What a surprise, Argo wins Best Motion Picture Drama #goldenglobes Congratulations! :)"
145,Argo wins Best Motion Picture Drama #GoldenGlobes #Wow
146,"RT @CNNshowbiz: Best motion picture drama goes to ""Argo."" #GoldenGlobes"
147,Best motion picture drama goes to Argo #GoldenGlobes
148,"RT @OnTheRedCarpet: Jessica Chastain of ""Zero Dark Thirty"" wins Best Actress in a Motion Picture - Drama at the #GoldenGlobes:  http://t.co/nqOsRQFl"
149,RT @BuzzFeed: Affleck! Argo Wins Best Motion Picture Drama! #goldenglobes
150,Daniel Day Lewis wins Best Actor in a Motion Picture in the Drama category for Lincoln. Brilliant. Humble and gracious speech. #GoldenGlobes
151,Argo wins the Golden Globe for Best Motion Picture - Drama! Oscar nom revenge for Ben Affleck? #GoldenGlobes
152,"RT @MTVNews: Yeah, Argo! The film wins Best Motion Picture - Drama. http://t.co/Z36SYljF #GoldenGlobes"
153,#GoldenGlobes Drama Motion picture goes to ARGO!!
154,RT @CinemarkUSA: Best motion picture drama goes to.... Argo! #GoldenGlobes Do you agree?
155,RT @CinemarkUSA: Best motion picture drama goes to.... Argo! #GoldenGlobes Do you agree?
156,Congrats to #GoldenGlobes Motion Picture Drama winner #Argo. We #GGCheers the GREY GOOSE Le Citron Mint Montage to you http://t.co/9CGc8sSD
157,"And the Oscars goes to ... Lincoln! RT @THR: ""Argo"" wins the #GoldenGlobe for Best Motion Picture, Drama http://t.co/Ba65q2wu #globesprime"
158,"RT @THR: ""Argo"" wins the #GoldenGlobe for Best Motion Picture, Drama. http://t.co/bEbOJaJ5"
