,tweets
0,#Lincoln won best Motion Picture Drama #GoldenGlobes that's a given
57,"RT @xinmsn_en: And of course Best Motion Picture - Drama goes to ""Les Miserables"" ! #GoldenGlobes"
94,Best Motion Picture Drama winner....ARGO #GoldenGlobes
95,"The Golden Globe for Best Motion Picture Drama goes to  ""Argo"" #GoldenGlobes"
96,Best Motion Picture - Drama goes to Argo. Ben Affleck with a surprised look as he kisses wife Jennifer Garner @PhilstarNews #GoldenGlobes
97,"Damn! ""@BuzzFeed: Arog Wins Best Motion Picture Drama! #goldenglobes"""
98,Best Motion Picture Drama goes to #ARGO! I am so incredibly happy! This is my favorite movie of the last year of movies! #GoldenGlobes
99,"Congrats to the cast &amp; crew of ""Argo"" for winning Best Drama Motion Picture #GoldenGlobes"
100,"Motion Picture, Drama goes to #Argo http://t.co/VAyt0n45 #GoldenGlobes"
101,Argo wins Best Motion Picture (Drama) #GoldenGlobes via @goldenglobes
103,Wow. Argo wins best Motion Picture-Drama. I'm a fan of Ben Affleck's works but I did not see that coming. #goldenglobes
104,"RT @nbc: Congratulations to the cast and crew of Argo for their Best Motion Picture, Drama win! #GoldenGlobes"
105,Best Motion Picture Drama goes to ARGO! #GoldenGlobes
106,"RT @THR: ""Argo"" wins the #GoldenGlobe for Best Motion Picture, Drama. http://t.co/bEbOJaJ5"
107,"RT @THR: ""Argo"" wins the #GoldenGlobe for Best Motion Picture, Drama. http://t.co/bEbOJaJ5"
108,"RT @THR: ""Argo"" wins the #GoldenGlobe for Best Motion Picture, Drama. http://t.co/bEbOJaJ5"
109,"RT @THR: ""Argo"" wins the #GoldenGlobe for Best Motion Picture, Drama. http://t.co/bEbOJaJ5"
110,RT @LedgerMatt: Argo wins Best Motion Picture - Drama at the #GoldenGlobes.
113,"RT @THR: ""Argo"" wins the #GoldenGlobe for Best Motion Picture, Drama. http://t.co/bEbOJaJ5"
114,"WOW! “@THR: ""Argo"" wins the #GoldenGlobe for Best Motion Picture, Drama. http://t.co/ktZmXShR”"
115,"RT @THR: ""Argo"" wins the #GoldenGlobe for Best Motion Picture, Drama. http://t.co/bEbOJaJ5"
118,"RT @nbc: Congratulations to the cast and crew of Argo for their Best Motion Picture, Drama win! #GoldenGlobes"
119,"RT @TheWrap: Ben Affleck's ""Argo"" wins Best Drama Motion Picture #GoldenGlobes"
120,“@USATODAYlife: WINNER - Argo -  Best Motion Picture  - Drama #GoldenGlobes”.  GREAT MOVIE! Loved it.
121,"""Argo"" wins the Golden Globe for Best Motion Picture - Drama. @BenAffleck it's your night! #goldenglobes"
122,"RT @YahooMovies: We have a Pretty Woman sighting. #JuliaRoberts presenting Best Motion Picture, Drama. And the winner is... #Argo! #GoldenGlobes"
124,RT @GlobalGrind: #GoldenGlobes: Best Motion Picture in Drama goes to Argo!!! http://t.co/FJ1fznRO
126,RT @BuzzFeed: Affleck! Argo Wins Best Motion Picture Drama! #goldenglobes
127,Well deserved! “@BuzzFeed: Affleck! Argo Wins Best Motion Picture Drama! #goldenglobes”
128,"Argo wins the best Motion picture Drama! #goldenglobes , that is a surprise!"
129,RT @gmanews: Argo wins Best Motion Picture (Drama) #GoldenGlobes via @goldenglobes
130,Argo WINS for Best Motion Picture Drama! @BenAffleck #GoldenGlobes
131,Whoa! That was a surprise! Argo wins Best Motion Picture Drama! Great movie nonetheless #GoldenGlobes
132,RT @akstanwyck: #goldenglobes best motion picture drama goes to Argo. Wow. Very surprised. Affleck is getting his own back!
133,RT @BuzzFeed: Affleck! Argo Wins Best Motion Picture Drama! #goldenglobes
135,Best Motion Picture - Drama - goes to Argo #benaffleck #goldenglobes #canadianhistory #argo #victorgarber
136,RT @BuzzFeed: Affleck! Argo Wins Best Motion Picture Drama! #goldenglobes
138,"RT @nbc: Congratulations to the cast and crew of Argo for their Best Motion Picture, Drama win! #GoldenGlobes"
139,RT @LA_mag: Argo wins Best Motion Picture - Drama. Kind of an upset. #goldenglobes
141,"RT @YahooMovies: We have a Pretty Woman sighting. #JuliaRoberts presenting Best Motion Picture, Drama. And the winner is... #Argo! #GoldenGlobes"
142,RT @BuzzFeed: Affleck! Argo Wins Best Motion Picture Drama! #goldenglobes
143,"RT @CNNshowbiz: Best motion picture drama goes to ""Argo."" #GoldenGlobes"
144,Argo won Best Motion Picture - Drama. #GoldenGlobes please wrap it up it's 6AM over here.
145,"Wow! What a surprise, Argo wins Best Motion Picture Drama #goldenglobes Congratulations! :)"
146,Argo wins Best Motion Picture Drama #GoldenGlobes #Wow
147,"RT @CNNshowbiz: Best motion picture drama goes to ""Argo."" #GoldenGlobes"
148,Best motion picture drama goes to Argo #GoldenGlobes
150,RT @BuzzFeed: Affleck! Argo Wins Best Motion Picture Drama! #goldenglobes
152,Argo wins the Golden Globe for Best Motion Picture - Drama! Oscar nom revenge for Ben Affleck? #GoldenGlobes
154,#GoldenGlobes Drama Motion picture goes to ARGO!!
155,RT @CinemarkUSA: Best motion picture drama goes to.... Argo! #GoldenGlobes Do you agree?
156,RT @CinemarkUSA: Best motion picture drama goes to.... Argo! #GoldenGlobes Do you agree?
