,tweets
0,And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
1,RT @Barta_NTDaily: 9th award: Best Actor in a Mini-Series or Motion Picture Made for Television goes to KEVINNNN COSTNER!! My hero. #GoldenGlobes
2,RT @nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
3,Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television #GoldenGlobes http://t.co/k4IFnLc4
4,RT @nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
5,"""@nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes"""
6,And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
7,RT @Barta_NTDaily: 9th award: Best Actor in a Mini-Series or Motion Picture Made for Television goes to KEVINNNN COSTNER!! My hero. #GoldenGlobes
8,RT @nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
9,Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television #GoldenGlobes http://t.co/k4IFnLc4
10,RT @nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
11,"""@nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes"""
12,And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
13,RT @Barta_NTDaily: 9th award: Best Actor in a Mini-Series or Motion Picture Made for Television goes to KEVINNNN COSTNER!! My hero. #GoldenGlobes
14,RT @nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
15,Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television #GoldenGlobes http://t.co/k4IFnLc4
16,RT @nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
17,"""@nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes"""
38,And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
39,RT @Barta_NTDaily: 9th award: Best Actor in a Mini-Series or Motion Picture Made for Television goes to KEVINNNN COSTNER!! My hero. #GoldenGlobes
40,RT @nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
41,Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television #GoldenGlobes http://t.co/k4IFnLc4
45,RT @nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
56,"""@nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes"""
59,And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
60,RT @Barta_NTDaily: 9th award: Best Actor in a Mini-Series or Motion Picture Made for Television goes to KEVINNNN COSTNER!! My hero. #GoldenGlobes
61,RT @nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
62,Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television #GoldenGlobes http://t.co/k4IFnLc4
63,RT @nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
64,"""@nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes"""
65,And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
66,RT @Barta_NTDaily: 9th award: Best Actor in a Mini-Series or Motion Picture Made for Television goes to KEVINNNN COSTNER!! My hero. #GoldenGlobes
67,RT @nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
68,Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television #GoldenGlobes http://t.co/k4IFnLc4
69,RT @nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
70,"""@nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes"""
