,tweets
0,"72nd Golden Globe Awards : Winners

Golden Globe for BEST PERFORMANCE BY AN ACTOR IN A MOTION PICTURE – COMEDY OR... http://t.co/5e9dU5a3eH"
1,Best actor in a motion picture comedy or musical goes to Michael Keaton for his performance in Birdman. #GoldenGlobes #LatinBlahCine
2,"“@HuffingtonPost: Best Actor in a Motion Picture, Musical or Comedy goes to Michael Keaton in Birdman #GoldenGlobes”-Loved his performance!"
3,Best actor in a motion picture comedy or musical goes to Michael Keaton for his performance in Birdman. #GoldenGlobes #LatinBlahCine
4,"“@HuffingtonPost: Best Actor in a Motion Picture, Musical or Comedy goes to Michael Keaton in Birdman #GoldenGlobes”-Loved his performance!"
5,"Best Actor – Motion Picture Musical or Comedy Award goes to # 
#GoldenGlobes #Awardseason"
6,"Best Actor, Motion Picture Musical or Comedy Award goes to #JeffreyTambor For #Transparent #GoldenGlobes #Awardseason"
7,"WINNER: Actor in a motion picture comedy/musical- Michael Keaton, ""Birdman"". #GoldenGlobes"
8,.@MichaelKeaton wins best actor in a motion picture comedy or musical #GoldenGlobes
9,"Best actor in a motion picture, comedy or musical goes to Michael Keaton, ""Birdman"" #GoldenGlobes"
10,WINNER Best Actor Motion Picture Musical or Comedy: MICHAEL KEATON (Birdman) #GoldenGlobes
11,Best actor in a Motion Picture Comedy or Musical goes to Michael Keaton for Birdman #GoldenGlobes
12,"Best Actor in a Motion Picture, Comedy or Musical goes to Michael Keaton for ""Birdman"" #GoldenGlobes #GoldenGlobeAwards2015"
13,"Winner of #GoldenGlobes for Best Actor In A Motion Picture, Musical Or Comedy: Michael Keaton – Birdman http://t.co/j6H6D61sGQ"
14,"The #GoldenGlobe for Best Actor in a Motion Picture, Comedy or Musical goes to...Michael Keaton in 'Birdman'"
15,#GoldenGlobes Best Actor in a Motion Picture - Comedy or Musical goes to Michael Keaton for #Birdman
16,"The award for Best Actor in a Motion Picture, Comedy or Musical goes to...Michael Keaton #GoldenGlobes"
17,"Best Actor in a Motion Picture, Comedy or Musical goes to Michael Keaton for #Birdman #GoldenGlobes"
18,Michael Keaton wins Best Actor - Motion Picture - Comedy or Musical for Birdman #GoldenGlobes http://t.co/ajFF1HuHei
19,"Best Actor in a Motion Picture, Comedy or Musical, goes to Michael Keaton for #BirdmanMovie! #GoldenGlobes"
20,"Best Actor in a Motion Picture, Comedy or Musical goes to Michael Keaton, Birdman! #GoldenGlobes"
21,"The #goldenglobe for Best Actor in a Motion Picture, Musical or Comedy goes to Michael Keaton for 'Birdman' http://t.co/mOt0741Q2a"
22,"And @MichaelKeaton wins the #GoldenGlobe for Best Actor in a Motion Picture, Comedy or Musical for his role in #Birdman!"
23,"And @MichaelKeaton wins the #GoldenGlobe for Best Actor in a Motion Picture, Comedy or Musical for his role in #Birdman! via @nbc"
24,Best Actor in a Motion Picture - Comedy or Musical goes to Michael Keaton for 'Birdman.' #GoldenGlobes
25,"The Award for Best Actor in a Motion Picture, Musical or Comedy goes to Michael Keaton for Birdman  #GoldenGlobes"
26,"#GOLDENGLOBES AWARD winner for Lead Actor in a Motion Picture - Comedy or Musical: Michael Keaton, Birdman"
27,"#GoldenGlobes BEST ACTOR, MOTION PICTURE COMEDY OR MUSICAL Goes To Michael Keaton http://t.co/f9BAH1THQt"
28,Best actor in a comedy or musical motion picture goes to Michael Keaton for Birdman #GoldenGlobes
29,"Best Actor, Motion Picture Musical or Comedy Award goes to #MichaelKeaton For #Birdman
#GoldenGlobes #Awardseason"
30,The award for Best Actor in a Motion Picture (Comedy or Musical) goes to Michael Keaton for “Birdman” #GoldenGlobes
31,"RT @nbc: And @MichaelKeaton wins the #GoldenGlobe for Best Actor in a Motion Picture, Comedy or Musical for his role in #Birdman!"
32,"Michael Keaton #Birdman wins Best Actor in a Motion Picture, Musical or Comedy #GoldenGlobes"
33,"michael keaton wins best actor in a comedy/musical motion picture for ""birdman"" #goldenglobes"
34,"Best actor--motion picture, comedy or musical goes to ... Michael Keaton #GoldenGlobes"
35,"The award for Best Actor in a Motion Picture, Musical or Comedy goes to Michael Keaton for #BirdmanMovie #GoldenGlobes"
36,#MichaelKeaton wins best actor in a motion picture (musical or comedy) for #Birdman! #GoldenGlobes
