,tweets
0,"Daniel Day-Lewis has just won Best Performance by an Actor in a Motion Picture - Drama for ""Lincoln"" #GoldenGlobes"
1,"RT @OnTheRedCarpet: Daniel Day-Lewis of ""Lincoln"" wins Best Performance by an Actor in a Motion Picture - Drama at the #GoldenGlobes:  http://t.co/WWlcxW1Z"
2,RT @BBCNewsUS: Daniel Day-Lewis wins Best Actor Motion Picture - Drama for performance in #Lincoln at #GoldenGlobes http://t.co/TmbOZX8S
3,RT @BBCNewsUS: Daniel Day-Lewis wins Best Actor Motion Picture - Drama for performance in #Lincoln at #GoldenGlobes http://t.co/TmbOZX8S
4,"""@BBCNewsUS: Daniel Day-Lewis wins Best Actor Motion Picture - Drama for performance in #Lincoln at #GoldenGlobes http://t.co/OcSWXRY8"""
5,RT @BBCNewsUS: Daniel Day-Lewis wins Best Actor Motion Picture - Drama for performance in #Lincoln at #GoldenGlobes http://t.co/TmbOZX8S
6,RT @BBCNewsUS: Daniel Day-Lewis wins Best Actor Motion Picture - Drama for performance in #Lincoln at #GoldenGlobes http://t.co/TmbOZX8S
7,RT @BBCNewsUS: Daniel Day-Lewis wins Best Actor Motion Picture - Drama for performance in #Lincoln at #GoldenGlobes http://t.co/TmbOZX8S
8,RT @BBCNewsUS: Daniel Day-Lewis wins Best Actor Motion Picture - Drama for performance in #Lincoln at #GoldenGlobes http://t.co/TmbOZX8S
9,RT @BBCNewsUS: Daniel Day-Lewis wins Best Actor Motion Picture - Drama for performance in #Lincoln at #GoldenGlobes http://t.co/TmbOZX8S
10,RT @BBCNewsUS: Daniel Day-Lewis wins Best Actor Motion Picture - Drama for performance in #Lincoln at #GoldenGlobes http://t.co/TmbOZX8S
11,RT @BBCNewsUS: Daniel Day-Lewis wins Best Actor Motion Picture - Drama for performance in #Lincoln at #GoldenGlobes http://t.co/TmbOZX8S
12,RT @BBCNewsUS: Daniel Day-Lewis wins Best Actor Motion Picture - Drama for performance in #Lincoln at #GoldenGlobes http://t.co/TmbOZX8S
13,RT @BBCNewsUS: Daniel Day-Lewis wins Best Actor Motion Picture - Drama for performance in #Lincoln at #GoldenGlobes http://t.co/TmbOZX8S
