,tweets
0,Best Actor motion picture - drama goes to Eddie Redmayne for his performance in The Theory of Everything #GoldenGlobes
1,"Eddie Redmayne wins the #GoldenGlobes Award for best actor in a motion picture, drama for his performance in ""The Theory of Everything"""
2,Eddie Redmayne wins best actor in a motion picture - drama for his performance in The Theory of Everything. #GoldenGlobes
3,"RT @CBSThisMorning: Eddie Redmayne wins the #GoldenGlobes Award for best actor in a motion picture, drama for his performance in ""The Theor…"
4,"RT @CBSThisMorning: Eddie Redmayne wins the #GoldenGlobes Award for best actor in a motion picture, drama for his performance in ""The Theor…"
5,"RT @CBSThisMorning: Eddie Redmayne wins the #GoldenGlobes Award for best actor in a motion picture, drama for his performance in ""The Theor…"
6,"RT @CBSThisMorning: Eddie Redmayne wins the #GoldenGlobes Award for best actor in a motion picture, drama for his performance in ""The Theor…"
7,"72nd Golden Globe Awards : Winners

Golden Globe for BEST PERFORMANCE BY AN ACTOR IN A MOTION PICTURE – DRAMA :... http://t.co/scpUWVBGlK"
8,Eddie Redmayne wins Best Actor in a Motion Picture - Drama for his amazing performance as Stephen Hawking. #GG2015 http://t.co/h0a8uP3icP
9,RT @MOVIECLIPS: Eddie Redmayne wins Best Actor in a Motion Picture - Drama for his amazing performance as Stephen Hawking. #GG2015 http://t…
10,"RT @CBSThisMorning: Eddie Redmayne wins the #GoldenGlobes Award for best actor in a motion picture, drama for his performance in ""The Theor…"
11,"RT @CBSThisMorning: Eddie Redmayne wins the #GoldenGlobes Award for best actor in a motion picture, drama for his performance in ""The Theor…"
12,RT @MOVIECLIPS: Eddie Redmayne wins Best Actor in a Motion Picture - Drama for his amazing performance as Stephen Hawking. #GG2015 http://t…
13,"RT @CBSThisMorning: Eddie Redmayne wins the #GoldenGlobes Award for best actor in a motion picture, drama for his performance in ""The Theor…"
14,"RT @CBSThisMorning: Eddie Redmayne wins the #GoldenGlobes Award for best actor in a motion picture, drama for his performance in ""The Theor…"
15,RT @MOVIECLIPS: Eddie Redmayne wins Best Actor in a Motion Picture - Drama for his amazing performance as Stephen Hawking. #GG2015 http://t…
16,Eddie Redmayne Wins The Golden Globe Award For Best Actor In A Motion Picture Drama!: His performance was beyo... http://t.co/FzlaAqL1b5
17,"Eddie Redmayne Wins The Golden Globe Award For Best Actor In A Motion Picture Drama!: His performance was beyond phenomenal!
Eddie Re..."
18,Eddie Redmayne Wins The Golden Globe Award For Best Actor In A Motion Picture Drama!: His performance was beyo... http://t.co/oyTOmKHzf2
19,Eddie Redmayne Wins The Golden Globe Award For Best Actor In A Motion Picture Drama!: His performance was beyo... http://t.co/zhr76tw1mA
20,Eddie Redmayne Wins The Golden Globe Award For Best Actor In A Motion Picture Drama!: His performance was beyo... http://t.co/hwGTobitRu
21,Eddie Redmayne Wins The Golden Globe Award For Best Actor In A Motion Picture Drama!: His performance was beyo... http://t.co/7tBwQ5CYwt
22,Eddie Redmayne Wins The Golden Globe Award For Best Actor In A Motion Picture Drama!: His performance was beyo... http://t.co/XQP12m6jnD
23,Eddie Redmayne Wins The Golden Globe Award For Best Actor In A Motion Picture Drama!: His performance was beyo... http://t.co/MjSJu5UA55
24,Eddie Redmayne Wins The Golden Globe Award For Best Actor In A Motion Picture Drama!: His performance was beyo... http://t.co/wMFmc96SZU
25,Eddie Redmayne Wins The Golden Globe Award For Best Actor In A Motion Picture Drama!: His performance was beyo... http://t.co/z9zJUplr3q
26,Eddie Redmayne Wins The Golden Globe Award For Best Actor In A Motion Picture Drama!: His performance was beyo... http://t.co/NnoS9J7Xig
27,Eddie Redmayne Wins The Golden Globe Award For Best Actor In A Motion Picture Drama!: His performance was beyo... http://t.co/GF2gb88NzS
28,Eddie Redmayne Wins The Golden Globe Award For Best Actor In A Motion Picture Drama!: His performance was beyo... http://t.co/CPjabYQdXw
29,RT @MOVIECLIPS: Eddie Redmayne wins Best Actor in a Motion Picture - Drama for his amazing performance as Stephen Hawking. #GG2015 http://t…
30,Eddie Redmayne Wins The Golden Globe Award For Best Actor In A Motion Picture Drama!: His performance was beyond… http://t.co/yZzm31JXXP
31,Eddie Redmayne Wins The Golden Globe Award For Best Actor In A Motion Picture Drama!: His performance was beyo... http://t.co/fv8pWRCjjQ
32,"Eddie Redmayne Wins The Golden Globe Award For Best Actor In A Motion Picture Drama!: His performance was beyond phenomenal!
Eddie Re..."
33,Eddie Redmayne wins #GoldenGlobes for best performance by an actor in a (drama) motion picture for The Theory Of Everything
34,RT @MOVIECLIPS: Eddie Redmayne wins Best Actor in a Motion Picture - Drama for his amazing performance as Stephen Hawking. #GG2015 http://t…
35,I'm so glad Eddie Redmayne won the Golden Globe for Best Performance by an Actor in a Motion Picture - Drama. Truly a great actor! #goals
36,Golden Globes Winners: The Complete List: BEST PERFORMANCE BY AN ACTOR IN A MOTION PICTURE – DRAMA Eddie Redma... http://t.co/9SCvIss7H6
