,tweets
0,J. K. Simmons wins the first award of the night for his performance in Whiplash for Best Supporting Actor - Motion Picture. #GoldenGlobes
1,J.K. Simmons wins the first award - Best Supporting Actor in a motion picture - for his performance in WHIPLASH! #GoldenGlobes
2,J.K. Simmons wins Best Supporting Actor in a Motion Picture for his tremendous performance in Whiplash #GoldenGlobes http://t.co/wtHGVFEnMF
3,RT @MovieFinatics: J.K. Simmons wins Best Supporting Actor in a Motion Picture for his tremendous performance in Whiplash #GoldenGlobes htt…
4,RT @MovieFinatics: J.K. Simmons wins Best Supporting Actor in a Motion Picture for his tremendous performance in Whiplash #GoldenGlobes htt…
5,“@THR: J.K. Simmons wins Best Supporting Actor in a Motion Picture for #Whiplash #GoldenGlobes http://t.co/oEHWI08Gzk” amazing performance!
6,J.K. Simmons wins the award for Best Supporting Actor in a Motion Picture for his role in #Whiplash! #GoldenGlobes
7,RT @nbc: J.K. Simmons wins the award for Best Supporting Actor in a Motion Picture for his role in #Whiplash! #GoldenGlobes
8,RT @nbc: J.K. Simmons wins the award for Best Supporting Actor in a Motion Picture for his role in #Whiplash! #GoldenGlobes
9,RT @nbc: J.K. Simmons wins the award for Best Supporting Actor in a Motion Picture for his role in #Whiplash! #GoldenGlobes
10,RT @nbc: J.K. Simmons wins the award for Best Supporting Actor in a Motion Picture for his role in #Whiplash! #GoldenGlobes
11,RT @nbc: J.K. Simmons wins the award for Best Supporting Actor in a Motion Picture for his role in #Whiplash! #GoldenGlobes
12,RT @nbc: J.K. Simmons wins the award for Best Supporting Actor in a Motion Picture for his role in #Whiplash! #GoldenGlobes
13,RT @nbc: J.K. Simmons wins the award for Best Supporting Actor in a Motion Picture for his role in #Whiplash! #GoldenGlobes
14,RT @nbc: J.K. Simmons wins the award for Best Supporting Actor in a Motion Picture for his role in #Whiplash! #GoldenGlobes
15,RT @nbc: J.K. Simmons wins the award for Best Supporting Actor in a Motion Picture for his role in #Whiplash! #GoldenGlobes
16,#GoldenGlobes: JK Simmons wins Best Actor in a Supporting Role - Motion Picture for Whiplash
17,RT @nbc: J.K. Simmons wins the award for Best Supporting Actor in a Motion Picture for his role in #Whiplash! #GoldenGlobes
18,RT @nbc: J.K. Simmons wins the award for Best Supporting Actor in a Motion Picture for his role in #Whiplash! #GoldenGlobes
19,RT @nbc: J.K. Simmons wins the award for Best Supporting Actor in a Motion Picture for his role in #Whiplash! #GoldenGlobes
20,RT @nbc: J.K. Simmons wins the award for Best Supporting Actor in a Motion Picture for his role in #Whiplash! #GoldenGlobes
21,RT @nbc: J.K. Simmons wins the award for Best Supporting Actor in a Motion Picture for his role in #Whiplash! #GoldenGlobes
