,tweets
189,"RT @socialitelife: Best Supporting Actor in Series, Mini-Series, or Motion Picture Made for Television goes to MATT BOMER FOR THE NORMAL HE…"
190,"RT @socialitelife: Best Supporting Actor in Series, Mini-Series, or Motion Picture Made for Television goes to MATT BOMER FOR THE NORMAL HE…"
191,"RT @socialitelife: Best Supporting Actor in Series, Mini-Series, or Motion Picture Made for Television goes to MATT BOMER FOR THE NORMAL HE…"
192,"Matt Bomer wins Best Supporting Actor in Series, Mini-Series or Motion Picture Made for TV for “The Normal Heart”! #GoldenGlobes"
193,"RT @socialitelife: Best Supporting Actor in Series, Mini-Series, or Motion Picture Made for Television goes to MATT BOMER FOR THE NORMAL HE…"
194,"RT @socialitelife: Best Supporting Actor in Series, Mini-Series, or Motion Picture Made for Television goes to MATT BOMER FOR THE NORMAL HE…"
195,"RT @socialitelife: Best Supporting Actor in Series, Mini-Series, or Motion Picture Made for Television goes to MATT BOMER FOR THE NORMAL HE…"
196,"RT @socialitelife: Best Supporting Actor in Series, Mini-Series, or Motion Picture Made for Television goes to MATT BOMER FOR THE NORMAL HE…"
197,"RT @socialitelife: Best Supporting Actor in Series, Mini-Series, or Motion Picture Made for Television goes to MATT BOMER FOR THE NORMAL HE…"
198,"RT @socialitelife: Best Supporting Actor in Series, Mini-Series, or Motion Picture Made for Television goes to MATT BOMER FOR THE NORMAL HE…"
199,"RT @socialitelife: Best Supporting Actor in Series, Mini-Series, or Motion Picture Made for Television goes to MATT BOMER FOR THE NORMAL HE…"
200,"RT @socialitelife: Best Supporting Actor in Series, Mini-Series, or Motion Picture Made for Television goes to MATT BOMER FOR THE NORMAL HE…"
201,"RT @socialitelife: Best Supporting Actor in Series, Mini-Series, or Motion Picture Made for Television goes to MATT BOMER FOR THE NORMAL HE…"
202,"RT @socialitelife: Best Supporting Actor in Series, Mini-Series, or Motion Picture Made for Television goes to MATT BOMER FOR THE NORMAL HE…"
203,"RT @socialitelife: Best Supporting Actor in Series, Mini-Series, or Motion Picture Made for Television goes to MATT BOMER FOR THE NORMAL HE…"
204,"RT @socialitelife: Best Supporting Actor in Series, Mini-Series, or Motion Picture Made for Television goes to MATT BOMER FOR THE NORMAL HE…"
205,"RT @socialitelife: Best Supporting Actor in Series, Mini-Series, or Motion Picture Made for Television goes to MATT BOMER FOR THE NORMAL HE…"
