,tweets
0,"Best Performance in a Television Series – Musical or Comedy of an Actor goes to Jeffrey Tambor for ""Transparent."" #GoldenGlobes"
1,Best Performance by an Actor in a TV Series - Musical or Comedy: Jeffrey Tambor for 'Transparent' #GoldenGlobes #Winner
2,"Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for his performance in #Transparent! #GoldenGlobes"
3,"RT @Backstage: Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for his performance in #Transparent! #GoldenGlobes"
4,"Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for his performance in #Transparent! #GoldenGlobes"
5,RT @movienthusiast: Best Performance by an Actor in a TV Series - Musical or Comedy: Jeffrey Tambor for 'Transparent' #GoldenGlobes #Winner
6,"RT @Backstage: Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for his performance in #Transparent! #GoldenGlobes"
7,"RT @Backstage: Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for his performance in #Transparent! #GoldenGlobes"
8,"RT @Backstage: Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for his performance in #Transparent! #GoldenGlobes"
9,"Best Performance in a Television Series – Musical or Comedy of an Actor goes to Jeffrey Tambor for ""Transparent."" #GoldenGlobes"
10,Best Performance by an Actor in a TV Series - Musical or Comedy: Jeffrey Tambor for 'Transparent' #GoldenGlobes #Winner
11,"Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for his performance in #Transparent! #GoldenGlobes"
12,"RT @Backstage: Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for his performance in #Transparent! #GoldenGlobes"
13,"Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for his performance in #Transparent! #GoldenGlobes"
14,RT @movienthusiast: Best Performance by an Actor in a TV Series - Musical or Comedy: Jeffrey Tambor for 'Transparent' #GoldenGlobes #Winner
15,"RT @Backstage: Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for his performance in #Transparent! #GoldenGlobes"
16,"RT @Backstage: Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for his performance in #Transparent! #GoldenGlobes"
17,"RT @Backstage: Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for his performance in #Transparent! #GoldenGlobes"
18,"Best Performance in a Television Series – Musical or Comedy of an Actor goes to Jeffrey Tambor for ""Transparent."" #GoldenGlobes"
19,Best Performance by an Actor in a TV Series - Musical or Comedy: Jeffrey Tambor for 'Transparent' #GoldenGlobes #Winner
20,"Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for his performance in #Transparent! #GoldenGlobes"
21,"RT @Backstage: Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for his performance in #Transparent! #GoldenGlobes"
22,"Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for his performance in #Transparent! #GoldenGlobes"
23,RT @movienthusiast: Best Performance by an Actor in a TV Series - Musical or Comedy: Jeffrey Tambor for 'Transparent' #GoldenGlobes #Winner
24,"RT @Backstage: Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for his performance in #Transparent! #GoldenGlobes"
25,"RT @Backstage: Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for his performance in #Transparent! #GoldenGlobes"
26,"RT @Backstage: Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for his performance in #Transparent! #GoldenGlobes"
27,Transparent wins the award for Best Television Series Musical or Comedy! Congratulations everyone! #GoldenGlobes #actor #actorslife
28,"Best Actor in a TV Series, Musical or Comedy Award goes to #
#GoldenGlobes #Awardseason"
29,"Supporting actor tv series, comedy, musical - Matt Bomer - ow yeah, happy dance, so so happy for him, great actor #GoldenGlobe"
30,"Matt Bomer won for Normal Heart- Supporting actor- TV series, comedy, or musical #goldenglobes"
31,"RT @gavtmyers: Matt Bomer won for Normal Heart- Supporting actor- TV series, comedy, or musical #goldenglobes"
32,"Best actor in a TV series, comedy or musical goes to Jeffrey Tambor, ""Transparent"" #GoldenGlobes"
33,"Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.co/xQJDN8dn2k"
34,the Golden Globe for best actor in a comedy or musical TV series goes to... Jeffrey Tambor for Transparent
35,Best actor in a comedy or musical TV Series goes to Jeffrey Tambor for Transparent #GoldenGlobes
36,"Best Actor, Television Series – Comedy Or Musical: WINNER: Jeffrey Tambor!! #GoldenGlobes WOW!! Congrats!"
37,#GoldenGlobes Best Actor in a TV Series - Comedy or Musical goes to Jeffrey Tambor in Transparent
38,"#GoldenGlobes winner for best actor in a comedy or musical in a TV series is Jeffrey Tambor, ""Transparent."""
39,"Best Actor in a TV series, comedy or musical goes to Jeffrey Tambor for #Transparent!!

#GoldenGlobes"
40,"Best Actor in a TV series, comedy or musical goes to Jeffrey Tambor for #Transparent!!

#GoldenGlobes"
41,Best Actor in TV Series-Comedy or Musical goes to Jeffrey Tambor for Transparent! #GoldenGlobes
42,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
43,".@JeffreyTambor wins Best Actor in a Television Series, Comedy or Musical for his role on @Transparent_tv. Congrats! #GoldenGlobes"
44,"Best Actor in a TV Series, Comedy or Musical goes to Jeffrey Tambor for #Transparent #GoldenGlobes"
45,"RT @TVLine: #Transparent's Jeffrey Tambor wins for Best Actor, Comedy or Musical Series http://t.co/hcSwdg2ysL #GoldenGlobes"
46,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
47,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
48,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
49,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
50,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
51,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
52,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
53,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
54,"The Golden Globe for Best Actor in a TV Series, Musical or Comedy goes to Jeffrey Tambor for Transparent. #GoldenGlobes"
55,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
56,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
57,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
58,"#GoldenGlobes BEST ACTOR, TV SERIES COMEDY OR MUSICAL Goes To Jeffrey Tambor http://t.co/f9BAH1THQt"
59,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
60,"Best Performance in a Television Series – Musical or Comedy of an Actor goes to Jeffrey Tambor for ""Transparent."" #GoldenGlobes"
61,"RT @nbc: .@JeffreyTambor wins Best Actor in a Television Series, Comedy or Musical for his role on @Transparent_tv. Congrats! #GoldenGlobes"
62,"The @goldenglobes for Best Actor in a TV Series, Musical or Comedy goes to @jeffreytambor - @transparent_tv! #GoldenGlobes"
63,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
64,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
65,"RT @TVLine: #Transparent's Jeffrey Tambor wins for Best Actor, Comedy or Musical Series http://t.co/hcSwdg2ysL #GoldenGlobes"
66,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
67,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
68,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
69,"Best actor--tv series, comedy or musical goes to... Jeffrey Tambor #GoldenGlobes"
70,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
71,"RT @Variety: Jeffrey Tambor wins best actor in TV series, comedy or musical for #Transparent #GoldenGlobes http://t.co/sUDJ0uo1Ts http://t.…"
72,"RT @nbc: .@JeffreyTambor wins Best Actor in a Television Series, Comedy or Musical for his role on @Transparent_tv. Congrats! #GoldenGlobes"
