,tweets
0,"The ever so cool DON CHEADLE won #GoldenGlobes for Best Performance by an Actor in a Television Series – Musical or Comedy
for HOUSE OF LIES"
1,"#GoldenGlobes Best Performance by an Actor in a Television Series - Musical or Comedy
: WINNER Don Cheadle for ""House of Lies"""
2,"The ever so cool DON CHEADLE won #GoldenGlobes for Best Performance by an Actor in a Television Series – Musical or Comedy
for HOUSE OF LIES"
3,"#GoldenGlobes Best Performance by an Actor in a Television Series - Musical or Comedy
: WINNER Don Cheadle for ""House of Lies"""
4,"The ever so cool DON CHEADLE won #GoldenGlobes for Best Performance by an Actor in a Television Series – Musical or Comedy
for HOUSE OF LIES"
5,"#GoldenGlobes Best Performance by an Actor in a Television Series - Musical or Comedy
: WINNER Don Cheadle for ""House of Lies"""
6,Best Actor in a TV Series Comedy or Musical goes to... #GoldenGlobes
7,Best Actor in a TV Series - Comedy or Musical goes to Don Cheadle for House of Lies! #GoldenGlobes
8,Best Actor for TV series comedy or musical goes to Don Cheadle for House of Lies #GoldenGlobes
9,Don Cheadle wins Best Actor in TV series/Comedy or Musical #GoldenGlobes
10,RT @washingtonpost: Don Cheadle wins best actor in a comedy or musical TV series for #HouseofLies http://t.co/qXAruum6 #GoldenGlobes
11,"RT @nbc: .@IamDonCheadle wins Best Actor in a Television Series, Comedy or Musical for his role on House of Lies. Congrats! #GoldenGlobes"
12,"The ever so cool DON CHEADLE won #GoldenGlobes for Best Performance by an Actor in a Television Series – Musical or Comedy
for HOUSE OF LIES"
13,"RT @nbc: .@IamDonCheadle wins Best Actor in a Television Series, Comedy or Musical for his role on House of Lies. Congrats! #GoldenGlobes"
14,"YES!!“@nbc: @IamDonCheadle wins Best Actor in a Television Series, Comedy or Musical for his role on House of Lies. Congrats! #GoldenGlobes”"
15,Best Actor in a Television Series in a Comedy or Musical goes to Don Cheadle for House of Lies. Jim Parsons was robbed #GoldenGlobes
16,RT @washingtonpost Don Cheadle wins best actor in a comedy or musical TV series for #HouseofLies http://t.co/Tsjb0OW6 #GoldenGlobes
17,"#GoldenGlobes Best Performance by an Actor in a Television Series - Musical or Comedy
: WINNER Don Cheadle for ""House of Lies"""
18,Don Cheadle (House Of Lies)Beat Actor Tv  Series comedy or musical. #winner #GoldenGlobes #GoldenGlobes
19,RT @washingtonpost: Don Cheadle wins best actor in a comedy or musical TV series for #HouseofLies http://t.co/qXAruum6 #GoldenGlobes
20,RT @GlobalGrind: #GoldenGlobes Don Cheadle wins best actor in a comedy or musical TV series for #HouseofLies http://t.co/FJ1fznRO
21,RT @GlobalGrind: #GoldenGlobes Don Cheadle wins best actor in a comedy or musical TV series for #HouseofLies http://t.co/FJ1fznRO
22,RT @washingtonpost Don Cheadle wins best actor in a comedy or musical TV series for #HouseofLies http://t.co/jwkVf4Ah #GoldenGlobes
23,Don Cheadle wins best actor in a comedy or musical TV series for #HouseofLies #GoldenGlobes
24,RT @GlobalGrind: #GoldenGlobes Don Cheadle wins best actor in a comedy or musical TV series for #HouseofLies http://t.co/FJ1fznRO
25,RT @washingtonpost: Don Cheadle wins best actor in a comedy or musical TV series for #HouseofLies http://t.co/qXAruum6 #GoldenGlobes
26,RT @washingtonpost: Don Cheadle wins best actor in a comedy or musical TV series for #HouseofLies http://t.co/qXAruum6 #GoldenGlobes
27,RT @washingtonpost: Don Cheadle wins best actor in a comedy or musical TV series for #HouseofLies http://t.co/qXAruum6 #GoldenGlobes
28,"RT @USATODAYlife: Don Cheadle wins Best Actor in a Television Series, Comedy or Musical for his role on House of Lies.  #GoldenGlobes"
29,@learninlife Don Cheadle wins best actor in a comedy or musical TV series for #HouseofLies http://t.co/nemfLMJi #GoldenGlobes
30,"RT @CNNshowbiz: Best actor TV series - comedy or musical goes to Don Cheadle for ""House of Lies"" #GoldenGlobes"
31,"RT @StephanieElam: Yay! RT @nbc: @IamDonCheadle wins Best Actor in a Television Series, Comedy or Musical 4 his role on House of Lies. Congrats! #GoldenGlobes"
32,"“@CNNshowbiz: Best actor TV series - comedy or musical goes to Don Cheadle for ""House of Lies"" #GoldenGlobes” Awesome show"
33,"RT @CNNshowbiz: Best actor TV series - comedy or musical goes to Don Cheadle for ""House of Lies"" #GoldenGlobes"
34,"RT @CNNshowbiz: Best actor TV series - comedy or musical goes to Don Cheadle for ""House of Lies"" #GoldenGlobes"
35,"RT @CNNshowbiz: Best actor TV series - comedy or musical goes to Don Cheadle for ""House of Lies"" #GoldenGlobes"
36,"RT @CNNshowbiz: Best actor TV series - comedy or musical goes to Don Cheadle for ""House of Lies"" #GoldenGlobes"
37,RT @washingtonpost: Don Cheadle wins best actor in a comedy or musical TV series for #HouseofLies http://t.co/qXAruum6 #GoldenGlobes
38,"RT @CNNshowbiz: Best actor TV series - comedy or musical goes to Don Cheadle for ""House of Lies"" #GoldenGlobes"
39,"RT @CNNshowbiz: Best actor TV series - comedy or musical goes to Don Cheadle for ""House of Lies"" #GoldenGlobes"
40,"RT @CNNshowbiz: Best actor TV series - comedy or musical goes to Don Cheadle for ""House of Lies"" #GoldenGlobes"
41,"RT @CNNshowbiz: Best actor TV series - comedy or musical goes to Don Cheadle for ""House of Lies"" #GoldenGlobes"
42,"RT @CNNshowbiz: Best actor TV series - comedy or musical goes to Don Cheadle for ""House of Lies"" #GoldenGlobes"
43,"RT @CNNshowbiz: Best actor TV series - comedy or musical goes to Don Cheadle for ""House of Lies"" #GoldenGlobes"
44,"RT @CNNshowbiz: Best actor TV series - comedy or musical goes to Don Cheadle for ""House of Lies"" #GoldenGlobes"
45,"RT @CNNshowbiz: Best actor TV series - comedy or musical goes to Don Cheadle for ""House of Lies"" #GoldenGlobes"
