,tweets
0,SILVER LININGS PLAYBOOK star JENNIFER LAWRENCE won #GoldenGlobes  for Best Performance by an Actress in a Motion Picture – Musical or Comedy
1,Best Performance by an Actress in a Motion Picture - Musical or Comedy -&gt;Winner: Jennifer Lawrence for Silver Linings Playbook #goldenglobes
2,"Winner,Best Performance by an Actress in a Supporting Role in a Motion Picture: Anne Hathaway for Les Misérables! Lovee her.^^
#GoldenGlobes"
3,"Anne Hathaway wins Best Supporting Actress in a Motion Picture for ""Les Miserables"". A stellar performance! #goldenglobes"
4,"Best Performance by an Actress in a Motion Picture, Drama goes to Jessica Chastain for ""Zero Dark Thirty."" #GoldenGlobes"
5,RT @MTVNews: Best Performance by an Actress in a Motion Picture - Drama goes to Jessica Chastain who is in tears! http://t.co/Z36SYljF #GoldenGlobes
6,"Claire Danes of ""Homeland"" wins Best Performance by an Actress In A Television Series - Drama at the #GoldenGlobes:  http://t.co/sGlIprkL"
7,"So happy for Julianne Moore, who just won the award for Best Performance by an Actress (Mini-Series/TV Movie) for #GameChange! #GoldenGlobes"
8,RT @nbc: .@_JulianneMoore wins Best Actress in a Miniseries or Motion Picture Made for Television for Game Change! #GoldenGlobes
9,RT @nbc: .@_JulianneMoore wins Best Actress in a Miniseries or Motion Picture Made for Television for Game Change! #GoldenGlobes
10,RT @nbc: .@_JulianneMoore wins Best Actress in a Miniseries or Motion Picture Made for Television for Game Change! #GoldenGlobes
11,RT @nbc: .@_JulianneMoore wins Best Actress in a Miniseries or Motion Picture Made for Television for Game Change! #GoldenGlobes
12,"Winner, Best Supporting Actress in a Series, Mini-Series or Motion Picture Made for TV is Maggie Smith for ""Downton Abbey"" #GoldenGlobes"
13,"HBO's ""Game Change"" wins Best Mini-Series Or Motion Picture Made for Television at the #GoldenGlobes"
14,RT @Barta_NTDaily: 9th award: Best Actor in a Mini-Series or Motion Picture Made for Television goes to KEVINNNN COSTNER!! My hero. #GoldenGlobes
