,tweets
0,"The Golden Globe for Best Supporting Actress in Series, Mini-Series or Motion Picture Made for TV goes to #DowntonAbbey's Joanne Froggatt!"
1,"#GoldenGlobes #WINNER: Best Supporting Actress in a Series, Mini-Series, or Motion Picture Made for TV &gt; #JoanneFroggatt, #DowntonAbbey"
2,Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlobes
3,RT @GuardianUS: Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlo…
4,RT @GuardianUS: Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlo…
5,"The Golden Globe for Best Supporting Actress in Series, Mini-Series or Motion Picture Made for TV goes to #DowntonAbbey's Joanne Froggatt!"
13,"#GoldenGlobes #WINNER: Best Supporting Actress in a Series, Mini-Series, or Motion Picture Made for TV &gt; #JoanneFroggatt, #DowntonAbbey"
16,Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlobes
20,RT @GuardianUS: Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlo…
21,RT @GuardianUS: Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlo…
23,"The Golden Globe for Best Supporting Actress in Series, Mini-Series or Motion Picture Made for TV goes to #DowntonAbbey's Joanne Froggatt!"
24,"#GoldenGlobes #WINNER: Best Supporting Actress in a Series, Mini-Series, or Motion Picture Made for TV &gt; #JoanneFroggatt, #DowntonAbbey"
25,Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlobes
26,RT @GuardianUS: Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlo…
27,RT @GuardianUS: Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlo…
