,tweets
0,Golden Globe Awards 2015 Winners: Best Performance by an Actress in a Motion Picture - Musical/Comedy - Amy Adams... http://t.co/848cLfVN9r
1,"Best Performance by an Actress in a Motion Picture-Comedy/Musical - Amy Adams, Big eyes. She also won last year for Hustle. #GoldenGlobes"
2,"72nd Golden Globe Awards : Winners

BEST PERFORMANCE BY AN ACTRESS IN A MOTION PICTURE – COMEDY OR
MUSICAL : Amy... http://t.co/u497aIhIZr"
3,Congratulations! 2015 Golden Globes Winner: Best Performance by an Actress in a Motion Picture - Musical/Comedy -... http://t.co/u5pEEDLmJ5
4,"Amy Adams wins Best Performance by an Actress in a Motion Picture Comedy or Musical! #GoldenGlobes2015

(Photo... http://t.co/pFRGZf2bWY"
5,Golden Globe Awards 2015 Winners: Best Performance by an Actress in a Motion Picture - Musical/Comedy - Amy Adams... http://t.co/848cLfVN9r
6,"Best Performance by an Actress in a Motion Picture-Comedy/Musical - Amy Adams, Big eyes. She also won last year for Hustle. #GoldenGlobes"
7,"72nd Golden Globe Awards : Winners

BEST PERFORMANCE BY AN ACTRESS IN A MOTION PICTURE – COMEDY OR
MUSICAL : Amy... http://t.co/u497aIhIZr"
8,Congratulations! 2015 Golden Globes Winner: Best Performance by an Actress in a Motion Picture - Musical/Comedy -... http://t.co/u5pEEDLmJ5
9,"Amy Adams wins Best Performance by an Actress in a Motion Picture Comedy or Musical! #GoldenGlobes2015

(Photo... http://t.co/pFRGZf2bWY"
10,"#GoldenGlobes i hope amy Amy Adams wins Best Actress In A Motion Picture, Musical or Comedy. Gd Luck &lt;3"
11,"Best Actress – Motion Picture Musical or Comedy Award goes to #
#GoldenGlobes #Awardseason"
12,"If Q. Wallis wins tonight, she'll be the 2nd black actress in @goldenglobes history to win ""Best Actress Motion Picture, Comedy or Musical"""
13,"Best actress in a motion picture, comedy/musical goes to Amy Adams, ""Big Eyes"" #GoldenGlobes"
14,"Best Actress in a Motion Picture, Comedy or Musical goes to Amy Adams! #GoldenGlobes"
15,"WINNER: Amy Adams, BIG EYES -- Best Actress, Motion Picture (Comedy or Musical) #GoldenGlobes"
16,"Best Actress in a Motion Picture, musical or comedy, up now #GoldenGlobes  Amy Adams wins for Big Eyes #9news"
17,Ricky Gervais presents the award for Best Actress in a Motion Picture- Comedy or Musical. The award goes to... #Goldenglobes
18,"#BestActress in Motion Picture Comedy or Musical 
Goes To
#AmyAdams for #BigEyes

#GoldenGlobes2015"
19,Amy Adams wins best actress in a motion picture (comedy / musical) for Big Eyes #GoldenGlobes @SBSNews
20,"Best Actress for a Motion Picture - Comedy or Musical goes to Amy Adams, ""Big Eyes"" #GoldenGlobes"
21,"Best Actress, Motion Picture – Comedy Or Musical: WINNER: Amy Adams for Big Eyes! #GoldenGlobes"
22,Best Actress in a Motion Picture/MUsical Comedy #GoldenGlobes goes to AMY ADAMS.
23,"Amy Adams wins the Golden Globe for Best Actress in a Motion Picture Comedy/Musical for her role in ""Big Eyes"" #GoldenGlobes"
24,"RT @screencrushnews: WINNER: Amy Adams, BIG EYES -- Best Actress, Motion Picture (Comedy or Musical) #GoldenGlobes"
25,WINNER Best Actress Motion Picture Musical or Comedy: AMY ADAMS (Big Eyes) #GoldenGlobes
26,"Winner of Best Actress In A Motion Picture, Musical or Comedy: Amy Adams (#BigEyes) #GoldenGlobes"
27,"The #GoldenGlobe for Best Actress In A Motion Picture, Musical or Comedy goes to Amy Adams for Big Eyes! WOOT GO Amy!"
28,"amy adams wins best actress in a comedy or musical motion picture for ""big eyes"" #goldenglobes"
29,"Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats!"
30,The award for Best Actress in a Motion Picture (Comedy or Musical) goes to Amy Adams for “Big Eyes” #GoldenGlobes
31,Best Actress in a Motion Picture Comedy or Musical goes to Amy Adams for 'Big Eyes.' #GoldenGlobes
32,"#Winner Best Actress in a Motion Picture, Musical or Comedy: Amy Adams, ""Big Eyes"" #GoldenGlobes"
33,"Best actress--motion picture, comedy or musical goes to.... Amy Adams #GoldenGlobes"
34,"The best actress in a motion picture comedy or musical prize goes to Amy Adams for ""Big Eyes"" #Golden Globes"
35,"Actress Motion Picture (Comedy or Musical) - Amy Adams for ""Big Eyes."" I saw it, she was excellent! #GoldenGlobes"
36,"The #GoldenGlobe for Best Actress in a Motion Picture, Comedy or Musical goes to...Amy Adams in 'Big Eyes!'"
37,"Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats! via @nbc"
38,"#GOLDENGLOBES AWARD winner for Best Lead Actress in a Motion Picture- Comedy or Musical: Amy Adams, Big Eyes"
39,Best Actress in a Motion Picture Comedy/Musical Winner is... Amy Adams for Big Eyes! #GoldenGlobes #BitchFlicks
40,"Amy Adams (#BigEyes) wins Best Actress in a Motion Picture, Comedy or Musical! #GoldenGlobes"
41,#AmyAdams wins Best Actress in a Motion Picture Musical or Comedy for #BigEyes #GoldenGlobes http://t.co/WIeuOSpTFK
42,"Best Actress in a motion picture, comedy or musical goes to Amy Adams Big Eyes - Congrats Amy - Love her! #GoldenGlobes"
43,The winner of Best Actress in a Motion Picture - Comedy or Musical is none other than Amy Adams - Big Eyes! #GoldenGlobes
44,"Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
45,"Best Actress Motion Picture, Comedy or Musical goes to Amy Adams for Big Eyes! #GoldenGlobes"
46,The #GoldenGlobe for Best Actress in a Motion Picture comedy or musical goes to: Amy Adams for #BigEyes
47,RT @NYDNEntertain: The award for Best Actress in a Motion Picture (Comedy or Musical) goes to Amy Adams for “Big Eyes” #GoldenGlobes
48,Amy Adams wins Best Actress in a Motion Picture (Comedy or Musical) #GoldenGlobes
49,Amy Adams wins Best Actress in a Motion Picture Comedy or Musical for Big Eyes #GoldenGlobes
50,"RT @nbc: Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats!"
51,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
52,"Best Actress for Motion Picture (Comedy or Musical) GOES to Amy Adams for ""Big Eyes"" #GoldenGlobes"
53,Best Actress in a Motion Picture Comedy or Musical Winner - Amy Adams for Big Eyes #GoldenGlobes
54,Best Actress in a Motion Picture Musical or Comedy goes to Amy Adams for #BigEyes! #GoldenGlobes
55,"Best Actress In A Motion Picture, Musical or Comedy goes to Amy Adams for #BigEyesMovie #GoldenGlobes"
56,"Best Actress In A Motion Picture, Musical or Comedy goes to Amy Adams in Big Eyes #GoldenGlobes"
57,"RT @MattSoleyn: Winner of Best Actress In A Motion Picture, Musical or Comedy: Amy Adams (#BigEyes) #GoldenGlobes"
58,Best actress in a motion picture comedy or musical goes to Amy Adams #GoldenGlobes
59,"Best Actress In A Motion Picture, Musical or Comedy goes to Amy Adams in Big Eyes #GoldenGlobes via @HuffingtonPost"
60,WINNER - @goldenglobes: Best Actress in a Motion Picture - Comedy or Musical - Amy Adams - Big Eyes
61,"Amy Adams wins Best Actress in a Motion Picture, Comedy or Musical for #BigEyes #GoldenGlobes http://t.co/8SEmt4wlLx"
62,"Amy Adams wins for Best Actress in a Motion Picture, Comedy or Musical. #GoldenGlobes"
63,"The #GoldenGlobe Best Actress In A Motion Picture, Musical or Comedy goes to:  Amy Adams (Big Eyes)  Congrats!  #GoldenGlobes"
64,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
65,#GoldenGlobes Best Actress in a Motion Picture - Comedy or Musical goes to Amy Adams for #BigEyes
66,"Congrats to Amy Adams! #GoldenGlobe Winner for Best Actress In A Motion Picture, Musical or Comedy! #BigEyesMovie http://t.co/0Et8bF5Mlv"
67,"#GoldenGlobes for best actress in a motion picture,  comedy,  or musical goes to Amy Adams for #bigeyes"
68,"RT @geeksofdoom: Best Actress, Motion Picture – Comedy Or Musical: WINNER: Amy Adams for Big Eyes! #GoldenGlobes"
69,Best Actress in a Motion picture - Comedy or Musical goes to Amy Adams - she is truly phenomenal!!! #GoldenGlobes
70,Best Actress Motion Picture Comedy/Musical goes to... Amy Adams! #GoldenGlobes
71,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
72,"RT @nbc: Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats!"
73,"RT @nbc: Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats!"
74,"RT @nbc: Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats!"
75,Best actress in a Motion Picture - Comedy or Musical goes to Amy Adams for 'Big Eyes.' #GoldenGlobes
76,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
77,"RT @THR: Amy Adams wins Best Actress in a Motion Picture, Comedy or Musical for #BigEyes #GoldenGlobes http://t.co/8SEmt4wlLx"
78,"RT @THR: Amy Adams wins Best Actress in a Motion Picture, Comedy or Musical for #BigEyes #GoldenGlobes http://t.co/8SEmt4wlLx"
79,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
80,"RT @cfccreates: Best Actress for a Motion Picture - Comedy or Musical goes to Amy Adams, ""Big Eyes"" #GoldenGlobes"
81,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
82,"RT @nbc: Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats!"
83,"RT eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
84,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
85,"RT @nbc: Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats!"
86,"RT @THR: Amy Adams wins Best Actress in a Motion Picture, Comedy or Musical for #BigEyes #GoldenGlobes http://t.co/8SEmt4wlLx"
87,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
88,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
89,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
90,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
91,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
92,"RT @THR: Amy Adams wins Best Actress in a Motion Picture, Comedy or Musical for #BigEyes #GoldenGlobes http://t.co/8SEmt4wlLx"
93,"RT @nbc: Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats!"
94,"RT @THR: Amy Adams wins Best Actress in a Motion Picture, Comedy or Musical for #BigEyes #GoldenGlobes http://t.co/8SEmt4wlLx"
95,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
96,"The first back to back winner in 29 years! Best Actress in a Motion Picture (Comedy or Musical): Amy Adams for ""Big Eyes"" #GoldenGlobes"
97,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
98,"RT @eonline: Best Actress in a Motion Picture, Musical or Comedy goes to Amy Adams, Big Eyes. #GoldenGlobes"
99,"RT @nbc: Amy Adams wins the Best Actress in a Motion Picture, Comedy or Musical #GoldenGlobe for the film #BigEyes. Congrats!"
