,tweets
0,SILVER LININGS PLAYBOOK star JENNIFER LAWRENCE won #GoldenGlobes  for Best Performance by an Actress in a Motion Picture – Musical or Comedy
1,Best Performance by an Actress in a Motion Picture - Musical or Comedy -&gt;Winner: Jennifer Lawrence for Silver Linings Playbook #goldenglobes
2,SILVER LININGS PLAYBOOK star JENNIFER LAWRENCE won #GoldenGlobes  for Best Performance by an Actress in a Motion Picture – Musical or Comedy
3,Best Performance by an Actress in a Motion Picture - Musical or Comedy -&gt;Winner: Jennifer Lawrence for Silver Linings Playbook #goldenglobes
4,RT @BBCNewsUS: #JenniferLawrence wins Best Actress Motion Picture - Comedy or Musical at #GoldenGlobes for Silver Linings Playbook http://t.co/YvCP3FbR
5,Jennifer Lawrence wins Best Actress Motion Picture Comedy or Musical for Silver Linings Playbook. #GoldenGlobes
6,RT @BBCNewsUS: #JenniferLawrence wins Best Actress Motion Picture - Comedy or Musical at #GoldenGlobes for Silver Linings Playbook http://t.co/YvCP3FbR
7,RT @BBCNewsUS: #JenniferLawrence wins Best Actress Motion Picture - Comedy or Musical at #GoldenGlobes for Silver Linings Playbook http://t.co/YvCP3FbR
8,Jennifer Lawrence wins Best Actress: Motion Picture - Comedy or Musical for #TheSilverLiningsPlaybook! #GoldenGlobes
9,"Best #Actress in a Motion Picture, #Comedy or #Musical;: #JenniferLawrence, ""#SilverLinings Playbook,"" &amp; amusingly raw speech. #GoldenGlobes"
10,"RT @ABC: Jennifer Lawrence wins best actress, motion picture comedy or musical, for ""Silver Lining Playbook"" http://t.co/r51EfFPg #GoldenGlobes"
11,SILVER LININGS PLAYBOOK star JENNIFER LAWRENCE won #GoldenGlobes  for Best Performance by an Actress in a Motion Picture – Musical or Comedy
12,"Jennifer Lawrence wins Best Actress, Motion Picture Comedy or Musical for Silver Linings Playbook #GoldenGlobes"
13,RT @660News: Jennifer Lawrence wins Best Actress Motion Picture Comedy or Musical for Silver Linings Playbook. #GoldenGlobes
14,RT @CinemarkUSA: Best actress motion picture comedy or musical goes to: Jennifer Lawrence! @Silver_Linings ! #GoldenGlobes
15,RT @660News: Jennifer Lawrence wins Best Actress Motion Picture Comedy or Musical for Silver Linings Playbook. #GoldenGlobes
16,"RT @ABC: Jennifer Lawrence wins best actress, motion picture comedy or musical, for ""Silver Lining Playbook"" http://t.co/r51EfFPg #GoldenGlobes"
17,RT @PageToPremiere: Best actress in a Motion Picture (Comedy or Musical) goes to Jennifer Lawrence for #SilverLinings. Congrats Jen! Amazing! #GoldenGlobes
18,"RT @ABC: Jennifer Lawrence wins best actress, motion picture comedy or musical, for ""Silver Lining Playbook"" http://t.co/r51EfFPg #GoldenGlobes"
19,Best Actress in a Motion Picture Musical/Comedy goes to Jennifer Lawrence. #GoldenGlobes
20,RT @TODAY_ent: Best actress in a motion picture comedy or musical goes to Jennifer Lawrence for #SilverLiningsPlaybook http://t.co/sKR3pN9e #GoldenGlobes
21,RT @CinemarkUSA: Best actress motion picture comedy or musical goes to: Jennifer Lawrence! @Silver_Linings ! #GoldenGlobes
22,"RT @ABC: Jennifer Lawrence wins best actress, motion picture comedy or musical, for ""Silver Lining Playbook"" http://t.co/r51EfFPg #GoldenGlobes"
23,"RT @KNXDavid: #GoldenGlobes Jennifer Lawrence wins for best actress in a motion picture comedy or musical, Silver Linings Playbook.  @KNX1070"
24,RT @TODAY_ent: Best actress in a motion picture comedy or musical goes to Jennifer Lawrence for #SilverLiningsPlaybook http://t.co/sKR3pN9e #GoldenGlobes
25,RT @TODAY_ent: Best actress in a motion picture comedy or musical goes to Jennifer Lawrence for #SilverLiningsPlaybook http://t.co/sKR3pN9e #GoldenGlobes
26,"Yes! Well deserved RT @ABC: Jennifer Lawrence wins best actress, motion picture comedy or musical, for Silver Lining Playbook #GoldenGlobes"
27,RT @TODAY_ent: Best actress in a motion picture comedy or musical goes to Jennifer Lawrence for #SilverLiningsPlaybook http://t.co/sKR3pN9e #GoldenGlobes
28,RT @TODAY_ent: Best actress in a motion picture comedy or musical goes to Jennifer Lawrence for #SilverLiningsPlaybook http://t.co/sKR3pN9e #GoldenGlobes
29,Best Performance by an Actress in a Motion Picture - Musical or Comedy -&gt;Winner: Jennifer Lawrence for Silver Linings Playbook #goldenglobes
30,"RT @ABC: Jennifer Lawrence wins best actress, motion picture comedy or musical, for ""Silver Lining Playbook"" http://t.co/r51EfFPg #GoldenGlobes"
31,"Golden Globes: Jennifer Lawrence Wins Best Actress in a Motion Picture, Musical or Comedy http://t.co/dhoqKs5F"
32,RT @BBCNewsUS: #JenniferLawrence wins Best Actress Motion Picture - Comedy or Musical at #GoldenGlobes for Silver Linings Playbook http://t.co/YvCP3FbR
33,RT @BBCNewsUS: #JenniferLawrence wins Best Actress Motion Picture - Comedy or Musical at #GoldenGlobes for Silver Linings Playbook http://t.co/YvCP3FbR
34,RT @BBCNewsUS: #JenniferLawrence wins Best Actress Motion Picture - Comedy or Musical at #GoldenGlobes for Silver Linings Playbook http://t.co/YvCP3FbR
35,"RT @ABC: Jennifer Lawrence wins best actress, motion picture comedy or musical, for ""Silver Lining Playbook"" http://t.co/r51EfFPg #GoldenGlobes"
36,RT @BBCNewsUS: #JenniferLawrence wins Best Actress Motion Picture - Comedy or Musical at #GoldenGlobes for Silver Linings Playbook http://t.co/YvCP3FbR
37,RT @BBCNewsUS: #JenniferLawrence wins Best Actress Motion Picture - Comedy or Musical at #GoldenGlobes for Silver Linings Playbook http://t.co/YvCP3FbR
38,RT @BBCNewsUS: #JenniferLawrence wins Best Actress Motion Picture - Comedy or Musical at #GoldenGlobes for Silver Linings Playbook http://t.co/YvCP3FbR
39,RT @BBCNewsUS: #JenniferLawrence wins Best Actress Motion Picture - Comedy or Musical at #GoldenGlobes for Silver Linings Playbook http://t.co/YvCP3FbR
40,"RT @STCommunities: Jennifer Lawrence wins Best Actress, Motion Picture Comedy or Musical for Silver Linings Playbook #GoldenGlobes"
41,RT @BBCNewsUS: #JenniferLawrence wins Best Actress Motion Picture - Comedy or Musical at #GoldenGlobes for Silver Linings Playbook http://t.co/YvCP3FbR
42,I liked a @YouTube video http://t.co/mQYU3SiN Jennifer Lawrence wins Best Actress-Motion Picture-Comedy or Musical at Golden Globes
