,tweets
0,"Best Performance by an Actress in a Motion Picture, Drama goes to Jessica Chastain for ""Zero Dark Thirty."" #GoldenGlobes"
1,RT @MTVNews: Best Performance by an Actress in a Motion Picture - Drama goes to Jessica Chastain who is in tears! http://t.co/Z36SYljF #GoldenGlobes
2,SILVER LININGS PLAYBOOK star JENNIFER LAWRENCE won #GoldenGlobes  for Best Performance by an Actress in a Motion Picture – Musical or Comedy
3,Best Performance by an Actress in a Motion Picture - Musical or Comedy -&gt;Winner: Jennifer Lawrence for Silver Linings Playbook #goldenglobes
4,"Winner,Best Performance by an Actress in a Supporting Role in a Motion Picture: Anne Hathaway for Les Misérables! Lovee her.^^
#GoldenGlobes"
5,"Anne Hathaway wins Best Supporting Actress in a Motion Picture for ""Les Miserables"". A stellar performance! #goldenglobes"
6,"Best Performance by an Actress in a Motion Picture, Drama goes to Jessica Chastain for ""Zero Dark Thirty."" #GoldenGlobes"
7,RT @MTVNews: Best Performance by an Actress in a Motion Picture - Drama goes to Jessica Chastain who is in tears! http://t.co/Z36SYljF #GoldenGlobes
8,"Claire Danes of ""Homeland"" wins Best Performance by an Actress In A Television Series - Drama at the #GoldenGlobes:  http://t.co/sGlIprkL"
9,"RT @MSNtv: Best Performance by an Actress in a TV Series, Drama goes to Claire Danes for ""Homeland."" #GoldenGlobes"
10,"Best Performance by an Actress in a Motion Picture, Drama goes to Jessica Chastain for ""Zero Dark Thirty."" #GoldenGlobes"
11,RT @MTVNews: Best Performance by an Actress in a Motion Picture - Drama goes to Jessica Chastain who is in tears! http://t.co/Z36SYljF #GoldenGlobes
12,"RT @QuentonRichards: Jessica Chastain wins Best Actress in a Drama, hands down. Her performance in Zero Dark Thirty was flawless. #GoldenGlobes"
13,"Best Performance by an Actress in a Motion Picture, Drama goes to Jessica Chastain for ""Zero Dark Thirty."" #GoldenGlobes"
14,RT @MTVNews: Best Performance by an Actress in a Motion Picture - Drama goes to Jessica Chastain who is in tears! http://t.co/Z36SYljF #GoldenGlobes
15,"Daniel Day-Lewis has just won Best Performance by an Actor in a Motion Picture - Drama for ""Lincoln"" #GoldenGlobes"
