,tweets
0,"Really hope Rosamund Pike wins the Best Actress in a Drama Motion Picture #GoldenGlobe tonight, her performance in Gone Girl is brilliant 👊"
1,"Julianne Moore wins Best Actress, Motion Picture Drama for her performance in Still Alice. #GoldenGlobes... http://t.co/I6rJZyxsST"
2,"RT @MovieFinatics: Julianne Moore wins Best Actress, Motion Picture Drama for her performance in Still Alice. #GoldenGlobes... http://t.co/…"
3,"Best Performance by an Actress in a Motion Picture - Drama: Julianne Moore for 'Still Alice'  #GoldenGlobes"" #Winner"
4,Golden Globe Awards 2015 Winners: Best Performance by an Actress in a Motion Picture - Drama: Julianne Moore por... http://t.co/cAC5W6V0BL
5,"72nd Golden Globe Awards : Winners

Golden Globe for BEST PERFORMANCE BY AN ACTRESS IN A MOTION PICTURE – DRAMA :... http://t.co/GYSV7RoQvB"
6,"""@movienthusiast: Best Performance by an Actress in a Motion Picture - Drama: Julianne Moore for 'Still Alice' #GoldenGlobes"" #Winner"" YASSS"
7,Congratulations! 2015 Golden Globes Winner: Best Performance by an Actress in a Motion Picture - Drama: Julianne... http://t.co/uHX0zUnGnd
8,"RT @movienthusiast: Best Performance by an Actress in a Motion Picture - Drama: Julianne Moore for 'Still Alice'  #GoldenGlobes"" #Winner"
9,"Really hope Rosamund Pike wins the Best Actress in a Drama Motion Picture #GoldenGlobe tonight, her performance in Gone Girl is brilliant 👊"
13,Patricia Arquette wins Best supporting actress - motion picture for her performance in @BoyhoodMovie #GoldenGlobes
15,Yay! Great performance. “@HuffingtonPost: Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood #GoldenGlobes”
16,Golden Globe Awards 2015 Winners: Best Performance by an Actress in a Supporting Role in a Motion Picture:... http://t.co/zg8LR8J3dh
17,"72nd Golden Globe Awards : Winners

BEST PERFORMANCE BY AN ACTRESS IN A SUPPORTING ROLE IN A
MOTION PICTURE :... http://t.co/ilMOKukpoP"
19,"Julianne Moore wins Best Actress, Motion Picture Drama for her performance in Still Alice. #GoldenGlobes... http://t.co/I6rJZyxsST"
20,"RT @MovieFinatics: Julianne Moore wins Best Actress, Motion Picture Drama for her performance in Still Alice. #GoldenGlobes... http://t.co/…"
21,"Julianne Moore wins Best Actress in a Motion Picture for her performance in ""Still Alice"" Congrats! Can I say Oscar? #loveher #goldenglobes"
22,"Best Performance by an Actress in a Motion Picture - Drama: Julianne Moore for 'Still Alice'  #GoldenGlobes"" #Winner"
23,Golden Globe Awards 2015 Winners: Best Performance by an Actress in a Motion Picture - Drama: Julianne Moore por... http://t.co/cAC5W6V0BL
24,"72nd Golden Globe Awards : Winners

Golden Globe for BEST PERFORMANCE BY AN ACTRESS IN A MOTION PICTURE – DRAMA :... http://t.co/GYSV7RoQvB"
25,"""@movienthusiast: Best Performance by an Actress in a Motion Picture - Drama: Julianne Moore for 'Still Alice' #GoldenGlobes"" #Winner"" YASSS"
26,Congratulations! 2015 Golden Globes Winner: Best Performance by an Actress in a Motion Picture - Drama: Julianne... http://t.co/uHX0zUnGnd
27,"RT @movienthusiast: Best Performance by an Actress in a Motion Picture - Drama: Julianne Moore for 'Still Alice'  #GoldenGlobes"" #Winner"
28,Who you think should be the winner for Golden Globe Best Performance by Actress in Motion Picture?: https://t.co/KsYCzv9E6Q
29,"Best Actress – Motion Picture Drama Award goes to #
#GoldenGlobes #Awardseason"
30,"Really hope Rosamund Pike wins the Best Actress in a Drama Motion Picture #GoldenGlobe tonight, her performance in Gone Girl is brilliant 👊"
31,"Best Actress In A Movie, Motion Picture Drama @goldenglobes goes to Amy Adams for #BigEyes! 

#BigEyesMovie #GoldenGIobes"
35,Patricia Arquette wins for best supporting actress in a motion picture drama! #GoldenGlobes
36,PATRICIA ARQUETTE wins Best Supporting Actress Motion Picture Drama for BOYHOOD #GoldenGlobeAwards2015 #GoldenGlobes #Boyhood
37,RT @thelowdownunder: PATRICIA ARQUETTE wins Best Supporting Actress Motion Picture Drama for BOYHOOD #GoldenGlobeAwards2015 #GoldenGlobes #…
38,Best Actress – Motion Picture Drama Award goes to # #GoldenGlobes #Awardseason
40,"WINNER: Actress in a motion picture (drama)- Julianne Moore, ""Still Alice"". #GoldenGlobes"
41,"Best Actress in a Motion Picture, Drama, goes to Julianne More for Still Alice. #GoldenGlobes"
