,tweets
0,Golden Globe Awards 2015 Winners: Best Performance by an Actress in a Supporting Role in a Motion Picture:... http://t.co/zg8LR8J3dh
1,"72nd Golden Globe Awards : Winners

BEST PERFORMANCE BY AN ACTRESS IN A SUPPORTING ROLE IN A
MOTION PICTURE :... http://t.co/ilMOKukpoP"
2,Patricia Arquette wins Best supporting actress - motion picture for her performance in @BoyhoodMovie #GoldenGlobes
3,Yay! Great performance. “@HuffingtonPost: Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood #GoldenGlobes”
4,Golden Globe Awards 2015 Winners: Best Performance by an Actress in a Supporting Role in a Motion Picture:... http://t.co/zg8LR8J3dh
5,"72nd Golden Globe Awards : Winners

BEST PERFORMANCE BY AN ACTRESS IN A SUPPORTING ROLE IN A
MOTION PICTURE :... http://t.co/ilMOKukpoP"
6,"Patricia Arquette wins Best Supporting Actress in a Motion Picture for her role in ""Boyhood."" #GoldenGlobes"
7,Patricia Arquette wins Best Supporting Actress in a Motion Picture got her role in Boyhood #GoldenGlobes
8,Best Actress in a supporting role in a motion picture goes to Patricia Arquette! #GoldenGlobes
9,Patricia Arquette wins Best Supporting Actress in a Motion Picture for her role in Boyhood #GoldenGlobes
10,Patricia Arquette wins for Best Supporting Actress in a Motion Picture for her role in Boyhood. #GoldenGlobes
11,RT @joblocom: Best Actress in a supporting role in a motion picture goes to Patricia Arquette! #GoldenGlobes
12,A 12year role - Patricia Arquette is awarded with Best Supporting Actress in a Motion Picture. @BoyhoodMovie in stores now #GoldenGlobes
13,Golden Globe Awards 2015 Winners: Best Performance by an Actress in a Supporting Role in a Motion Picture:... http://t.co/zg8LR8J3dh
14,RT @joblocom: Best Actress in a supporting role in a motion picture goes to Patricia Arquette! #GoldenGlobes
15,"RT @inside: Patricia Arquette wins Best Supporting Actress in a Motion Picture for her role in ""Boyhood."" #GoldenGlobes"
16,"72nd Golden Globe Awards : Winners

BEST PERFORMANCE BY AN ACTRESS IN A SUPPORTING ROLE IN A
MOTION PICTURE :... http://t.co/ilMOKukpoP"
17,RT @hmvcanada: A 12year role - Patricia Arquette is awarded with Best Supporting Actress in a Motion Picture. @BoyhoodMovie in stores now #…
18,"RT @inside: Patricia Arquette wins Best Supporting Actress in a Motion Picture for her role in ""Boyhood."" #GoldenGlobes"
19,"RT @inside: Patricia Arquette wins Best Supporting Actress in a Motion Picture for her role in ""Boyhood."" #GoldenGlobes"
20,"Really hope Rosamund Pike wins the Best Actress in a Drama Motion Picture #GoldenGlobe tonight, her performance in Gone Girl is brilliant 👊"
21,Golden Globe Awards 2015 Winners: Best Performance by an Actress in a Motion Picture - Musical/Comedy - Amy Adams... http://t.co/848cLfVN9r
22,"Best Performance by an Actress in a Motion Picture-Comedy/Musical - Amy Adams, Big eyes. She also won last year for Hustle. #GoldenGlobes"
23,"72nd Golden Globe Awards : Winners

BEST PERFORMANCE BY AN ACTRESS IN A MOTION PICTURE – COMEDY OR
MUSICAL : Amy... http://t.co/u497aIhIZr"
24,Patricia Arquette wins Best supporting actress - motion picture for her performance in @BoyhoodMovie #GoldenGlobes
25,Congratulations! 2015 Golden Globes Winner: Best Performance by an Actress in a Motion Picture - Musical/Comedy -... http://t.co/u5pEEDLmJ5
26,Yay! Great performance. “@HuffingtonPost: Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood #GoldenGlobes”
27,Golden Globe Awards 2015 Winners: Best Performance by an Actress in a Supporting Role in a Motion Picture:... http://t.co/zg8LR8J3dh
28,"72nd Golden Globe Awards : Winners

BEST PERFORMANCE BY AN ACTRESS IN A SUPPORTING ROLE IN A
MOTION PICTURE :... http://t.co/ilMOKukpoP"
29,"Amy Adams wins Best Performance by an Actress in a Motion Picture Comedy or Musical! #GoldenGlobes2015

(Photo... http://t.co/pFRGZf2bWY"
30,"Julianne Moore wins Best Actress, Motion Picture Drama for her performance in Still Alice. #GoldenGlobes... http://t.co/I6rJZyxsST"
31,"RT @MovieFinatics: Julianne Moore wins Best Actress, Motion Picture Drama for her performance in Still Alice. #GoldenGlobes... http://t.co/…"
32,"Julianne Moore wins Best Actress in a Motion Picture for her performance in ""Still Alice"" Congrats! Can I say Oscar? #loveher #goldenglobes"
33,"Best Performance by an Actress in a Motion Picture - Drama: Julianne Moore for 'Still Alice'  #GoldenGlobes"" #Winner"
34,Golden Globe Awards 2015 Winners: Best Performance by an Actress in a Motion Picture - Drama: Julianne Moore por... http://t.co/cAC5W6V0BL
35,"72nd Golden Globe Awards : Winners

Golden Globe for BEST PERFORMANCE BY AN ACTRESS IN A MOTION PICTURE – DRAMA :... http://t.co/GYSV7RoQvB"
36,"""@movienthusiast: Best Performance by an Actress in a Motion Picture - Drama: Julianne Moore for 'Still Alice' #GoldenGlobes"" #Winner"" YASSS"
37,Congratulations! 2015 Golden Globes Winner: Best Performance by an Actress in a Motion Picture - Drama: Julianne... http://t.co/uHX0zUnGnd
38,"RT @movienthusiast: Best Performance by an Actress in a Motion Picture - Drama: Julianne Moore for 'Still Alice'  #GoldenGlobes"" #Winner"
39,Who you think should be the winner for Golden Globe Best Performance by Actress in Motion Picture?: https://t.co/KsYCzv9E6Q
40,"Amy Adams wins the Golden Globe for Best Actress in a Motion Picture Comedy/Musical for her role in ""Big Eyes"" #GoldenGlobes"
41,and the Best Actress in a Motion Picture Comedy or Musical goes to Amy Adams for her role in Big Eyes #GoldenGlobes
42,Amy Adams wins Best Actress in a Motion Picture Comedy or Musical for her role in Big Eyes - #GoldenGlobes http://t.co/CFCXrOWuGW
43,RT @WPXI: and the Best Actress in a Motion Picture Comedy or Musical goes to Amy Adams for her role in Big Eyes #GoldenGlobes
44,"""@WPXI: and the Best Actress in a Motion Picture Comedy or Musical goes to Amy Adams for her role in Big Eyes #GoldenGlobes"" Well deserved!"
45,RT @WPXI: and the Best Actress in a Motion Picture Comedy or Musical goes to Amy Adams for her role in Big Eyes #GoldenGlobes
46,Amy Adams wins the #GoldenGlobe for Best Actress in a Motion Picture for her role in Big Eyes. Well done! http://t.co/ZLnMSe0bzY
47,RT @LiveinLimbo: Amy Adams wins the #GoldenGlobe for Best Actress in a Motion Picture for her role in Big Eyes. Well done! http://t.co/ZLnM…
48,RT @LiveinLimbo: Amy Adams wins the #GoldenGlobe for Best Actress in a Motion Picture for her role in Big Eyes. Well done! http://t.co/ZLnM…
49,RT @LiveinLimbo: Amy Adams wins the #GoldenGlobe for Best Actress in a Motion Picture for her role in Big Eyes. Well done! http://t.co/ZLnM…
50,RT @LiveinLimbo: Amy Adams wins the #GoldenGlobe for Best Actress in a Motion Picture for her role in Big Eyes. Well done! http://t.co/ZLnM…
51,RT @LiveinLimbo: Amy Adams wins the #GoldenGlobe for Best Actress in a Motion Picture for her role in Big Eyes. Well done! http://t.co/ZLnM…
52,RT @LiveinLimbo: Amy Adams wins the #GoldenGlobe for Best Actress in a Motion Picture for her role in Big Eyes. Well done! http://t.co/ZLnM…
53,RT @LiveinLimbo: Amy Adams wins the #GoldenGlobe for Best Actress in a Motion Picture for her role in Big Eyes. Well done! http://t.co/ZLnM…
54,RT @LiveinLimbo: Amy Adams wins the #GoldenGlobe for Best Actress in a Motion Picture for her role in Big Eyes. Well done! http://t.co/ZLnM…
55,"Patricia Arquette wins Best Supporting Actress in a Motion Picture for her role in ""Boyhood."" #GoldenGlobes"
56,Patricia Arquette wins Best Supporting Actress in a Motion Picture got her role in Boyhood #GoldenGlobes
57,Best Actress in a supporting role in a motion picture goes to Patricia Arquette! #GoldenGlobes
58,Patricia Arquette wins Best Supporting Actress in a Motion Picture for her role in Boyhood #GoldenGlobes
59,Patricia Arquette wins for Best Supporting Actress in a Motion Picture for her role in Boyhood. #GoldenGlobes
60,RT @joblocom: Best Actress in a supporting role in a motion picture goes to Patricia Arquette! #GoldenGlobes
61,A 12year role - Patricia Arquette is awarded with Best Supporting Actress in a Motion Picture. @BoyhoodMovie in stores now #GoldenGlobes
62,Golden Globe Awards 2015 Winners: Best Performance by an Actress in a Supporting Role in a Motion Picture:... http://t.co/zg8LR8J3dh
63,RT @joblocom: Best Actress in a supporting role in a motion picture goes to Patricia Arquette! #GoldenGlobes
64,"RT @inside: Patricia Arquette wins Best Supporting Actress in a Motion Picture for her role in ""Boyhood."" #GoldenGlobes"
65,"72nd Golden Globe Awards : Winners

BEST PERFORMANCE BY AN ACTRESS IN A SUPPORTING ROLE IN A
MOTION PICTURE :... http://t.co/ilMOKukpoP"
66,RT @hmvcanada: A 12year role - Patricia Arquette is awarded with Best Supporting Actress in a Motion Picture. @BoyhoodMovie in stores now #…
67,"RT @inside: Patricia Arquette wins Best Supporting Actress in a Motion Picture for her role in ""Boyhood."" #GoldenGlobes"
68,#GoldenGlobes2015: Maggie Gyllenhaal wins Best Actress in a TV Miniseries or Motion Picture for her role in 'An Honorable Woman'!
69,"RT @inside: Patricia Arquette wins Best Supporting Actress in a Motion Picture for her role in ""Boyhood."" #GoldenGlobes"
70,"Julianne Moore has won best actress in a motion picture, drama, for her role in Still Alice, at the Golden Globes."
71,Best Actress in a Motion Picture - Drama - goes to Julianne Moore (@_juliannemoore) for her role in Still Alice. #GoldenGlobes
72,Julianne Moore wins best actress in a motion picture drama for her role in #StillAlice. #GoldenGlobes
73,Julianne Moore wins Best Actress in a Motion Picture (Drama) for her role in Still Alice. #GoldenGlobes
74,RT @voxdotcom: Julianne Moore wins Best Actress in a Motion Picture (Drama) for her role in Still Alice. #GoldenGlobes
75,Julianne Moore wins Best Actress in a Motion Picture (Drama) for her role in Still Alice. #GoldenGlobes via @voxdotcom
76,Congrats to Julianne Moore for her role in Still Alice. She wins Actress for motion picture comedy/drama #GoldenGlobes
77,RT @voxdotcom: Julianne Moore wins Best Actress in a Motion Picture (Drama) for her role in Still Alice. #GoldenGlobes
78,RT @voxdotcom: Julianne Moore wins Best Actress in a Motion Picture (Drama) for her role in Still Alice. #GoldenGlobes
79,RT @voxdotcom: Julianne Moore wins Best Actress in a Motion Picture (Drama) for her role in Still Alice. #GoldenGlobes
80,RT @voxdotcom: Julianne Moore wins Best Actress in a Motion Picture (Drama) for her role in Still Alice. #GoldenGlobes
81,RT @voxdotcom: Julianne Moore wins Best Actress in a Motion Picture (Drama) for her role in Still Alice. #GoldenGlobes
82,RT @voxdotcom: Julianne Moore wins Best Actress in a Motion Picture (Drama) for her role in Still Alice. #GoldenGlobes
83,Julianne Moore won best actress in a motion picture drama.  Here is a list of her top roles http://t.co/uMf0T2ojYj #GoldenGlobes2015
84,RT @voxdotcom: Julianne Moore wins Best Actress in a Motion Picture (Drama) for her role in Still Alice. #GoldenGlobes
85,Julianne Moore wins the Best Actress in a Motion Picture - Drama #GoldenGlobe  for her role in 'Still Alice' | EPA http://t.co/swjjnHQOHz
86,RT @voxdotcom: Julianne Moore wins Best Actress in a Motion Picture (Drama) for her role in Still Alice. #GoldenGlobes
