,tweets
0,"Winner,Best Performance by an Actress in a Supporting Role in a Motion Picture: Anne Hathaway for Les Misérables! Lovee her.^^
#GoldenGlobes"
1,"Winner,Best Performance by an Actress in a Supporting Role in a Motion Picture: Anne Hathaway for Les Misérables! Lovee her.^^
#GoldenGlobes"
2,"Anne Hathaway wins Best Supporting Actress in a Motion Picture for ""Les Miserables"". A stellar performance! #goldenglobes"
3,Best Supporting Actress in a Motion Picture went to Anne Hathaway for her role in Les Miserables #GoldenGlobes
4,RT @680News: Best Supporting Actress in a Motion Picture went to Anne Hathaway for her role in Les Miserables #GoldenGlobes
5,"Winner,Best Performance by an Actress in a Supporting Role in a Motion Picture: Anne Hathaway for Les Misérables! Lovee her.^^
#GoldenGlobes"
7,"- Anne Hathaway of ""Les Miserables"" wins Best Actress In A Supporting Role in a Motion Picture the #GoldenGlobes: http://t.co/EOHb6A2J"
10,"“@OnTheRedCarpet: Anne Hathaway of ""Les Miserables"" wins Best Actress In A Supporting Role in a Motion Picture the #GoldenGlobes”"
11,RT @680News: Best Supporting Actress in a Motion Picture went to Anne Hathaway for her role in Les Miserables #GoldenGlobes
14,"Winner,Best Performance by an Actress in a Supporting Role in a Motion Picture: Anne Hathaway for Les Misérables! Lovee her.^^
#GoldenGlobes"
15,"Anne Hathaway wins Best Supporting Actress in a Motion Picture for ""Les Miserables"". A stellar performance! #goldenglobes"
18,Best Supporting Actress in a Motion Picture went to Anne Hathaway for her role in Les Miserables #GoldenGlobes
19,RT @680News: Best Supporting Actress in a Motion Picture went to Anne Hathaway for her role in Les Miserables #GoldenGlobes
20,"Winner,Best Performance by an Actress in a Supporting Role in a Motion Picture: Anne Hathaway for Les Misérables! Lovee her.^^
#GoldenGlobes"
22,"- Anne Hathaway of ""Les Miserables"" wins Best Actress In A Supporting Role in a Motion Picture the #GoldenGlobes: http://t.co/EOHb6A2J"
25,"“@OnTheRedCarpet: Anne Hathaway of ""Les Miserables"" wins Best Actress In A Supporting Role in a Motion Picture the #GoldenGlobes”"
26,RT @680News: Best Supporting Actress in a Motion Picture went to Anne Hathaway for her role in Les Miserables #GoldenGlobes
28,Supporting Actress in a Motion Picture goes to Anne Hathaway in #LesMiserables. #GoldenGlobes
29,Best Supporting Actress in a Motion Picture winner is ANNE HATHAWAY #GoldenGlobes
30,Best Supporting Actress in a Motion Picture goes to Anne Hathaway #GoldenGlobes
31,"Best Supporting Actress in a Motion Picture goes to Anne Hathaway for ""Les Miserables."" #GoldenGlobes"
33,Best supporting actress in motion picture goes to... Anne Hathaway!!!!!!!!!! FUCK YES #GoldenGlobes
34,Best Supporting Actress in a Motion Picture goes to Anne Hathaway for Les Misèrables! #OscarWatch #GoldenGlobes
35,Best Supporting Actress in a Motion Picture went to Anne Hathaway for her role in Les Miserables #GoldenGlobes
36,Hooray for Anne Hathaway. Winner of best supporting actress in a motion picture. She's awesome #GoldenGlobes
37,RT @680News: Best Supporting Actress in a Motion Picture went to Anne Hathaway for her role in Les Miserables #GoldenGlobes
38,RT @StarryMag: Best Supporting Actress In A Motion Picture goes to Anne Hathaway for #LesMis! #GoldenGlobes #GoldenGlobes2013
40,"RT @akstanwyck: Best supporting actress motion picture goes to anne Hathaway, no surprise. #goldenglobes"
41,RT @B_byJane: #GoldenGlobes Best Supporting Actress Motion Picture  goes to Anne Hathaway!
42,"RT @playbill: Anne Hathaway wins the Golden Globe for Best Supporting Actress in a Motion Picture for ""Les Miz"" #GoldenGlobes"
43,"No surprise. “@celcafe: Best Supporting Actress in a Motion Picture goes to Anne Hathaway - ""Les Miserables"" #GoldenGlobes Do you agree?”"
44,Best Supporting Actress in a Motion Picture goes to Anne Hathaway for Les Miserables #GoldenGlobes
45,"RT @playbill: Anne Hathaway wins the Golden Globe for Best Supporting Actress in a Motion Picture for ""Les Miz"" #GoldenGlobes"
46,"Winner,Best Performance by an Actress in a Supporting Role in a Motion Picture: Anne Hathaway for Les Misérables! Lovee her.^^
#GoldenGlobes"
47,""" Best supporting actress in a motion picture goes to Anne Hathaway #GoldenGlobes"""
48,"RT @playbill: Anne Hathaway wins the Golden Globe for Best Supporting Actress in a Motion Picture for ""Les Miz"" #GoldenGlobes"
49,"RT @playbill: Anne Hathaway wins the Golden Globe for Best Supporting Actress in a Motion Picture for ""Les Miz"" #GoldenGlobes"
50,"RT @playbill: Anne Hathaway wins the Golden Globe for Best Supporting Actress in a Motion Picture for ""Les Miz"" #GoldenGlobes"
51,"RT @nbcsandiego: Supporting actress in a motion picture goes to Anne Hathaway – ""Les Miserables"" http http://t.co/tUVIGPJF  #GoldenGlobes"
52,"RT @playbill: Anne Hathaway wins the Golden Globe for Best Supporting Actress in a Motion Picture for ""Les Miz"" #GoldenGlobes"
53,"RT @playbill: Anne Hathaway wins the Golden Globe for Best Supporting Actress in a Motion Picture for ""Les Miz"" #GoldenGlobes"
54,:) RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
55,RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
56,RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
57,"RT @KNXDavid: #GoldenGlobes Anne Hathaway wins for best supporting actress, motion picture for Les Miserables.  I shall now wallow in my crush. @KNX1070"
58,RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
59,RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
60,RT @gmanews: Anne Hathaway wins Best Supporting Actress in a Motion Picture for  @LesMiserables. via @goldenglobes
61,"RT @playbill: Anne Hathaway wins the Golden Globe for Best Supporting Actress in a Motion Picture for ""Les Miz"" #GoldenGlobes"
62,RT @gmanews: Anne Hathaway wins Best Supporting Actress in a Motion Picture for  @LesMiserables. via @goldenglobes
63,RT @gmanews: Anne Hathaway wins Best Supporting Actress in a Motion Picture for  @LesMiserables. via @goldenglobes
64,Hurrah! @anglophenia: Supporting Actress in a Motion Picture goes to Anne Hathaway in #LesMiserables. #GoldenGlobes
65,RT @gmanews: Anne Hathaway wins Best Supporting Actress in a Motion Picture for  @LesMiserables. via @goldenglobes
67,RT @gmanews: Anne Hathaway wins Best Supporting Actress in a Motion Picture for  @LesMiserables. via @goldenglobes
68,"RT @playbill: Anne Hathaway wins the Golden Globe for Best Supporting Actress in a Motion Picture for ""Les Miz"" #GoldenGlobes"
69,"RT @playbill: Anne Hathaway wins the Golden Globe for Best Supporting Actress in a Motion Picture for ""Les Miz"" #GoldenGlobes"
70,RT @USATODAY: MT @USATODAYlife: And best supporting actress for motion picture goes to Anne Hathaway! Any surprises? #GoldenGlobes
71,RT @BBCNewsUS: Anne Hathaway wins #GoldenGlobes for Best Supporting Actress - Motion Picture for #LesMiserables http://t.co/o6nMZ6yp
72,Anne Hathaway wins Best Supporting Actress in a Motion Picture - Les Miserables. #GoldenGlobes
73,RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
74,RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
75,"Hurray!! “@playbill: Anne Hathaway wins the Golden Globe for Best Supporting Actress in a Motion Picture for ""Les Miz"" #GoldenGlobes”"
76,RT @KNX1070: Anne Hathaway wins Best Supporting Actress in a Motion Picture for Les Miserables at the #GoldenGlobes. More @KNX1070 @CBSLA
77,RT @gmanews: Anne Hathaway wins Best Supporting Actress in a Motion Picture for  @LesMiserables. via @goldenglobes
78,"- Anne Hathaway of ""Les Miserables"" wins Best Actress In A Supporting Role in a Motion Picture the #GoldenGlobes: http://t.co/EOHb6A2J"
80,RT @USATODAY: MT @USATODAYlife: And best supporting actress for motion picture goes to Anne Hathaway! Any surprises? #GoldenGlobes
81,RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
83,RT @gmanews: Anne Hathaway wins Best Supporting Actress in a Motion Picture for  @LesMiserables. via @goldenglobes
84,"Anne Hathaway wins Best Supporting Actress in a Motion Picture for ""Les Miserables"". A stellar performance! #goldenglobes"
85,RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
86,RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
88,RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
89,RT @AOL: Best supporting actress in a motion picture goes to Anne Hathaway for @LesMiserables. RT If you loved the movie! #GoldenGlobes
90,RT @Zap2it: Anne Hathaway wins Best Supporting Actress in a Motion Picture for Les Miserables! http://t.co/HVEjb0dL #GoldenGlobes
91,RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
92,Anne Hathaway wins Best Supporting Actress in a Motion Picture. #GoldenGlobes
93,Anne Hathaway wins Best Supporting Actress in a Motion Picture with Les Miserables #GoldenGlobes
94,RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
95,"RT @playbill: Anne Hathaway wins the Golden Globe for Best Supporting Actress in a Motion Picture for ""Les Miz"" #GoldenGlobes"
96,"RT @playbill: Anne Hathaway wins the Golden Globe for Best Supporting Actress in a Motion Picture for ""Les Miz"" #GoldenGlobes"
97,RT @Modern_Monroe22: Anne Hathaway wins for Supporting Actress in a Motion Picture (Les Miserables)!!!! 🏆 #GoldenGlobes
98,RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
99,RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
101,RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
102,RT @gmanews: Anne Hathaway wins Best Supporting Actress in a Motion Picture for  @LesMiserables. via @goldenglobes
103,"RT @playbill: Anne Hathaway wins the Golden Globe for Best Supporting Actress in a Motion Picture for ""Les Miz"" #GoldenGlobes"
105,"“@OnTheRedCarpet: Anne Hathaway of ""Les Miserables"" wins Best Actress In A Supporting Role in a Motion Picture the #GoldenGlobes”"
106,"RT @playbill: Anne Hathaway wins the Golden Globe for Best Supporting Actress in a Motion Picture for ""Les Miz"" #GoldenGlobes"
107,"Best supporting actress in a motion picture is awarded to Anne Hathaway for ""Les Miserables""....Hathaw Anne!.... #GoldenGlobes"
108,RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
109,RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
110,RT @EW: #GoldenGlobes Winner: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables
111,"RT @playbill: Anne Hathaway wins the Golden Globe for Best Supporting Actress in a Motion Picture for ""Les Miz"" #GoldenGlobes"
112,RT @anglophenia: Supporting Actress in a Motion Picture goes to Anne Hathaway in #LesMiserables. #GoldenGlobes
113,RT @bela412: Winners list: Best Supporting Actress in a Motion Picture - Anne Hathaway - Les Miserables #GoldenGlobes #Belarich
114,RT @680News: Best Supporting Actress in a Motion Picture went to Anne Hathaway for her role in Les Miserables #GoldenGlobes
115,RT @gmanews: Anne Hathaway wins Best Supporting Actress in a Motion Picture for  @LesMiserables. via @goldenglobes
116,RT @gmanews: Anne Hathaway wins Best Supporting Actress in a Motion Picture for  @LesMiserables. via @goldenglobes
117,RT @gmanews: Anne Hathaway wins Best Supporting Actress in a Motion Picture for  @LesMiserables. via @goldenglobes
