,tweets
0,Golden Globe Awards 2015 Winners: Best Performance by an Actress in a Supporting Role in a Motion Picture:... http://t.co/zg8LR8J3dh
1,"72nd Golden Globe Awards : Winners

BEST PERFORMANCE BY AN ACTRESS IN A SUPPORTING ROLE IN A
MOTION PICTURE :... http://t.co/ilMOKukpoP"
2,Patricia Arquette wins Best supporting actress - motion picture for her performance in @BoyhoodMovie #GoldenGlobes
3,Yay! Great performance. “@HuffingtonPost: Best Supporting Actress in a Motion Picture goes to Patricia Arquette for Boyhood #GoldenGlobes”
4,Golden Globe Awards 2015 Winners: Best Performance by an Actress in a Supporting Role in a Motion Picture:... http://t.co/zg8LR8J3dh
5,"72nd Golden Globe Awards : Winners

BEST PERFORMANCE BY AN ACTRESS IN A SUPPORTING ROLE IN A
MOTION PICTURE :... http://t.co/ilMOKukpoP"
6,#GoldenGlobes2015: Maggie Gyllenhaal wins Best Actress in a TV Miniseries or Motion Picture for her role in 'An Honorable Woman'!
7,#GoldenGlobes2015: Maggie Gyllenhaal wins Best Actress in a TV Miniseries or Motion Picture for her role in 'An Honorable Woman'!
8,"Patricia Arquette wins Best Supporting Actress in a Motion Picture for her role in ""Boyhood."" #GoldenGlobes"
9,Patricia Arquette wins Best Supporting Actress in a Motion Picture got her role in Boyhood #GoldenGlobes
10,Best Actress in a supporting role in a motion picture goes to Patricia Arquette! #GoldenGlobes
11,Patricia Arquette wins Best Supporting Actress in a Motion Picture for her role in Boyhood #GoldenGlobes
12,Patricia Arquette wins for Best Supporting Actress in a Motion Picture for her role in Boyhood. #GoldenGlobes
13,RT @joblocom: Best Actress in a supporting role in a motion picture goes to Patricia Arquette! #GoldenGlobes
14,A 12year role - Patricia Arquette is awarded with Best Supporting Actress in a Motion Picture. @BoyhoodMovie in stores now #GoldenGlobes
15,Golden Globe Awards 2015 Winners: Best Performance by an Actress in a Supporting Role in a Motion Picture:... http://t.co/zg8LR8J3dh
16,RT @joblocom: Best Actress in a supporting role in a motion picture goes to Patricia Arquette! #GoldenGlobes
17,"RT @inside: Patricia Arquette wins Best Supporting Actress in a Motion Picture for her role in ""Boyhood."" #GoldenGlobes"
18,"72nd Golden Globe Awards : Winners

BEST PERFORMANCE BY AN ACTRESS IN A SUPPORTING ROLE IN A
MOTION PICTURE :... http://t.co/ilMOKukpoP"
19,RT @hmvcanada: A 12year role - Patricia Arquette is awarded with Best Supporting Actress in a Motion Picture. @BoyhoodMovie in stores now #…
20,"RT @inside: Patricia Arquette wins Best Supporting Actress in a Motion Picture for her role in ""Boyhood."" #GoldenGlobes"
21,"RT @inside: Patricia Arquette wins Best Supporting Actress in a Motion Picture for her role in ""Boyhood."" #GoldenGlobes"
22,#GoldenGlobes2015: Maggie Gyllenhaal wins Best Actress in a TV Miniseries or Motion Picture for her role in 'An Honorable Woman'!
23,"The Golden Globe for Best Supporting Actress in Series, Mini-Series or Motion Picture Made for TV goes to #DowntonAbbey's Joanne Froggatt!"
24,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at Golden Globes - @latime..."
25,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
26,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
27,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
28,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
29,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
30,"ALERT: Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at Golden Globes - ..."
31,"#GoldenGlobes #WINNER: Best Supporting Actress in a Series, Mini-Series, or Motion Picture Made for TV &gt; #JoanneFroggatt, #DowntonAbbey"
32,The award for Best Actress in a TV Miniseries or Motion Picture goes to Maggie Gyllenhaal for “The Honorable Woman” #GoldenGlobe
33,RT @NYDNEntertain: The award for Best Actress in a TV Miniseries or Motion Picture goes to Maggie Gyllenhaal for “The Honorable Woman” #Gol…
34,Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlobes
35,#GoldenGlobes2015: Maggie Gyllenhaal wins Best Actress in a TV Miniseries or Motion Picture for her role in 'An Honorable Woman'!
36,"#GoldenGlobes2015: Maggie Gyllenhaal wins Best Actress in a TV Miniseries or Motion Picture, salutes women in industry."
37,"RT @capitalfm_my: #GoldenGlobes2015: Maggie Gyllenhaal wins Best Actress in a TV Miniseries or Motion Picture, salutes women in industry."
38,RT @GuardianUS: Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlo…
39,RT @GuardianUS: Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlo…
40,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at Golden Globes."
41,"The award for Best Supporting Actress in a Series, Miniseries or Motion Picture goes to
Joanne Froggatt for “Downton Abbey” #GoldenGlobes"
42,"RT @NYDNEntertain: The award for Best Supporting Actress in a Series, Miniseries or Motion Picture goes to
Joanne Froggatt for “Downton Abb…"
43,"The Golden Globe for Best Supporting Actress in Series, Mini-Series or Motion Picture Made for TV goes to #DowntonAbbey's Joanne Froggatt!"
44,"RT @NYDNEntertain: The award for Best Supporting Actress in a Series, Miniseries or Motion Picture goes to
Joanne Froggatt for “Downton Abb…"
45,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at Golden Globes - @latime..."
46,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
47,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
48,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
49,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
50,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
51,"ALERT: Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at Golden Globes - ..."
52,"#GoldenGlobes #WINNER: Best Supporting Actress in a Series, Mini-Series, or Motion Picture Made for TV &gt; #JoanneFroggatt, #DowntonAbbey"
53,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at Golden Globes."
54,"The Golden Globe for Best Supporting Actress in Series, Mini-Series or Motion Picture Made for TV goes to #DowntonAbbey's Joanne Froggatt!"
55,"#GoldenGlobes #WINNER: Best Supporting Actress in a Series, Mini-Series, or Motion Picture Made for TV &gt; #JoanneFroggatt, #DowntonAbbey"
56,Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlobes
57,RT @GuardianUS: Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlo…
58,RT @GuardianUS: Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlo…
59,"The award for Best Supporting Actress in a Series, Miniseries or Motion Picture goes to
Joanne Froggatt for “Downton Abbey” #GoldenGlobes"
60,"RT @NYDNEntertain: The award for Best Supporting Actress in a Series, Miniseries or Motion Picture goes to
Joanne Froggatt for “Downton Abb…"
61,"The Golden Globe for Best Supporting Actress in Series, Mini-Series or Motion Picture Made for TV goes to #DowntonAbbey's Joanne Froggatt!"
62,"RT @NYDNEntertain: The award for Best Supporting Actress in a Series, Miniseries or Motion Picture goes to
Joanne Froggatt for “Downton Abb…"
63,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at Golden Globes - @latime..."
64,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
65,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
66,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
67,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
68,"Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at #GoldenGlobes. (#UNFNEWS)"
69,"ALERT: Joanne Froggatt from 'Downton Abbey' wins best supporting actress in a TV series, miniseries or motion picture at Golden Globes - ..."
70,"#GoldenGlobes #WINNER: Best Supporting Actress in a Series, Mini-Series, or Motion Picture Made for TV &gt; #JoanneFroggatt, #DowntonAbbey"
71,The award for Best Actress in a TV Miniseries or Motion Picture goes to Maggie Gyllenhaal for “The Honorable Woman” #GoldenGlobe
72,RT @NYDNEntertain: The award for Best Actress in a TV Miniseries or Motion Picture goes to Maggie Gyllenhaal for “The Honorable Woman” #Gol…
73,Best Actress in a mini-series or motion picture goes to Maggie Gyllenhaal for The Honorable Woman #GoldenGlobes
74,RT @joblocom: Best Actress in a mini-series or motion picture goes to Maggie Gyllenhaal for The Honorable Woman #GoldenGlobes
75,Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlobes
76,#GoldenGlobes2015: Maggie Gyllenhaal wins Best Actress in a TV Miniseries or Motion Picture for her role in 'An Honorable Woman'!
77,"#GoldenGlobes2015: Maggie Gyllenhaal wins Best Actress in a TV Miniseries or Motion Picture, salutes women in industry."
78,"RT @capitalfm_my: #GoldenGlobes2015: Maggie Gyllenhaal wins Best Actress in a TV Miniseries or Motion Picture, salutes women in industry."
79,RT @GuardianUS: Maggie Gyllenhaal wins Best Actress in a Miniseries or Motion Picture Made for Television http://t.co/6PybDvcVxl #GoldenGlo…
80,".@MGyllenhaal won the #GoldenGlobe for best actress in a miniseries or motion picture for “An Honorable Woman"" http://t.co/ucUsWCPIJV"
81,".@MGyllenhaal won the #GoldenGlobe for best actress in a miniseries or motion picture for “An Honorable Woman"" http://t.co/CnKDinhlG9"
82,".@MGyllenhaal won the #GoldenGlobe for best actress in a miniseries or motion picture for “An Honorable Woman"" http://t.co/Iqci3xIGja"
