,tweets
16,"Winner, Best Supporting Actress in a Series, Mini-Series or Motion Picture Made for TV is Maggie Smith for ""Downton Abbey"" #GoldenGlobes"
22,"Winner, Best Supporting Actress in a Series, Mini-Series or Motion Picture Made for TV is Maggie Smith for ""Downton Abbey"" #GoldenGlobes"
23,"Winner, Best Supporting Actress in a Series, Mini-Series or Motion Picture Made for TV is Maggie Smith for ""Downton Abbey"" #GoldenGlobes"
29,"Winner, Best Supporting Actress in a Series, Mini-Series or Motion Picture Made for TV is Maggie Smith for ""Downton Abbey"" #GoldenGlobes"
35,"Winner, Best Supporting Actress in a Series, Mini-Series or Motion Picture Made for TV is Maggie Smith for ""Downton Abbey"" #GoldenGlobes"
45,"Winner, Best Supporting Actress in a Series, Mini-Series or Motion Picture Made for TV is Maggie Smith for ""Downton Abbey"" #GoldenGlobes"
51,"Winner, Best Supporting Actress in a Series, Mini-Series or Motion Picture Made for TV is Maggie Smith for ""Downton Abbey"" #GoldenGlobes"
57,"Winner, Best Supporting Actress in a Series, Mini-Series or Motion Picture Made for TV is Maggie Smith for ""Downton Abbey"" #GoldenGlobes"
58,"Winner, Best Supporting Actress in a Series, Mini-Series or Motion Picture Made for TV is Maggie Smith for ""Downton Abbey"" #GoldenGlobes"
59,"Winner, Best Supporting Actress in a Series, Mini-Series or Motion Picture Made for TV is Maggie Smith for ""Downton Abbey"" #GoldenGlobes"
