,tweets
0,Best Performance by an Actress in a TV Series - Musical or Comedy:  Gina Rodriguez for “Jane the Virgin” #GoldenGlobes #winner
1,Gina Rodriguez wins a #GoldenGlobe for Best Performance by an Actress in a TV Series - Musical or Comedy in Jane the Virgin.
2,GINA RODRIGUEZ wins Best Performance by an Actress in a Television Series – Comedy or Musical #GoldenGlobes #GoldenGlobeAwards2015
3,Jane the Virgin's Gina Rodriguez wins a #GoldenGlobe for Best Performance by an Actress in a TV Series - Musical or Comedy!
4,Winner: Best Performance by an Actress in a TV Series - Musical or Comedy:  Gina Rodriguez for “Jane the Virgin” #GoldenGlobes2015
5,RT @IHeardThatMovie: Winner: Best Performance by an Actress in a TV Series - Musical or Comedy:  Gina Rodriguez for “Jane the Virgin” #Gold…
6,Best Performance by an Actress in a TV Series - Musical or Comedy:  Gina Rodriguez for “Jane the Virgin” #GoldenGlobes #winner
7,Gina Rodriguez wins a #GoldenGlobe for Best Performance by an Actress in a TV Series - Musical or Comedy in Jane the Virgin.
8,GINA RODRIGUEZ wins Best Performance by an Actress in a Television Series – Comedy or Musical #GoldenGlobes #GoldenGlobeAwards2015
9,Jane the Virgin's Gina Rodriguez wins a #GoldenGlobe for Best Performance by an Actress in a TV Series - Musical or Comedy!
10,RT @PhilippineStar: Jane the Virgin's Gina Rodriguez wins a #GoldenGlobe for Best Performance by an Actress in a TV Series - Musical or Com…
11,Winner: Best Performance by an Actress in a TV Series - Musical or Comedy:  Gina Rodriguez for “Jane the Virgin” #GoldenGlobes2015
12,RT @IHeardThatMovie: Winner: Best Performance by an Actress in a TV Series - Musical or Comedy:  Gina Rodriguez for “Jane the Virgin” #Gold…
13,Best Performance by an Actress in a TV Series - Musical or Comedy:  Gina Rodriguez for “Jane the Virgin” #GoldenGlobes #winner
14,Gina Rodriguez wins a #GoldenGlobe for Best Performance by an Actress in a TV Series - Musical or Comedy in Jane the Virgin.
15,GINA RODRIGUEZ wins Best Performance by an Actress in a Television Series – Comedy or Musical #GoldenGlobes #GoldenGlobeAwards2015
16,Jane the Virgin's Gina Rodriguez wins a #GoldenGlobe for Best Performance by an Actress in a TV Series - Musical or Comedy!
17,Winner: Best Performance by an Actress in a TV Series - Musical or Comedy:  Gina Rodriguez for “Jane the Virgin” #GoldenGlobes2015
18,RT @IHeardThatMovie: Winner: Best Performance by an Actress in a TV Series - Musical or Comedy:  Gina Rodriguez for “Jane the Virgin” #Gold…
19,"Best actress in a TV series, musical or comedy goes to Gina Rodriguez, ""Jane the Virgin"" #GoldenGlobes"
20,"Best Actress, Television Series – Comedy Or Musical: WINNER: Gina Rodriguez !!! #GoldenGlobes"
21,"Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez for Jane the Virgin!!!!  #GoldenGlobes"
22,"Best Actress in a TV Series, Musical or Comedy goes to... GINA RODRIGUEZ! JANE THE VIRGIN! OH MY GOD #GoldenGlobes"
23,"Best Actress in a TV Series, Musical or Comedy goes to: Gina Rodriguez (Jane the Virgin) #GoldenGlobes"
24,"#GoldenGlobes BEST ACTRESS, TV SERIES COMEDY OR MUSICAL Goes To... http://t.co/f9BAH1THQt"
25,"WINNER: Gina Rodriguez, JANE THE VIRGIN -- Best Actress, TV Series (Musical or Comedy) #GoldenGlobes"
26,Winner Best Actress TV Series Musical or Comedy Gina Rodriguez #JaneTheVirgin #OnTVTonightAtTheGlobes #GoldenGlobes
27,WINNER Best Actress in a TV Series Musical or Comedy: GINA RODRIGUEZ (Jane the Virgin) #GoldenGlobes
28,"The #GoldenGlobe for Best Actress in a TV Series, Musical or Comedy goes to...Gina Rodriguez for 'Jane the Virgin!'"
29,"RT @GossipCop: #GoldenGlobes BEST ACTRESS, TV SERIES COMEDY OR MUSICAL Goes To... http://t.co/f9BAH1THQt"
30,"RT @geeksofdoom: Best Actress, Television Series – Comedy Or Musical: WINNER: Gina Rodriguez !!! #GoldenGlobes"
31,"Best Actress in a TV series, comedy or musical goes to.... Gina Rodriguez #GoldenGlobes"
32,"Gina Rodriguez wins the Golden Globes award for best actress, TV series comedy/musical"
33,"Gina Rodriguez in Jane The Virgin won her first Golden Globe for Best Actress in a TV Series, Musical or Comedy"
34,"Best actress in a TV series, musical or comedy goes to Gina Rodriguez for Jane the Virgin. Her first win at the #GoldenGlobes"
35,"RT @screencrushnews: WINNER: Gina Rodriguez, JANE THE VIRGIN -- Best Actress, TV Series (Musical or Comedy) #GoldenGlobes"
