,tweets
0,"“@OnTheRedCarpet: Lena Dunham of ""Girls"" wins Best Performance by an Actress in a TV Series - Musical or Comedy at the #GoldenGlobes”"
1,"“@OnTheRedCarpet: Lena Dunham of ""Girls"" wins Best Performance by an Actress in a TV Series - Musical or Comedy at the #GoldenGlobes”"
2,"“@OnTheRedCarpet: Lena Dunham of ""Girls"" wins Best Performance by an Actress in a TV Series - Musical or Comedy at the #GoldenGlobes”"
3,Lena Dunham wins best actress in a TV series (comedy or musical) for Girls #goldenglobes
4,Best Actress in a TV series comedy/musical goes to @girlsHBO #GoldenGlobes yay!
5,@LenaDunham wins the Golden Globe for Best Actress - TV Series Comedy or Musical for her role in @HBOGirls #GoldenGlobes
6,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
7,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
8,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
9,Give us a quotable! RT@washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/EEZ0hOnZ #GoldenGlobes
10,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
11,"“@OnTheRedCarpet: Lena Dunham of ""Girls"" wins Best Performance by an Actress in a TV Series - Musical or Comedy at the #GoldenGlobes”"
12,"Lena Dunham wins Best Actress in a TV Series, Comedy/Musical thanks to ""Girls."" #GoldenGlobes Hopefully @carriesnotscary feels better now."
13,Best TV Series Actress in a Comedy or Musical goes to Lena Dunham (@LenaDunham) for @GirlsHBO #GoldenGlobes
14,"Lena Dunham wins Best Actress for TV series,musical or comedy.Says the other nominees helped her thru Middle school &amp; Mono! #GoldenGlobes ;)"
15,RT @Newser: @lenadunham wins Best Actress in a Comedy TV series - comedy or musical for #Girls.  @girlsHBO #goldenglobes
16,Lena Dunham wins best actress in a TV series - comedy or musical for Girls. #goldenglobes..and wishes she wore flats #GoldenGlobes2013
17,RT @GlobalGrind: #GoldenGlobes Best TV Series Actress in Comedy or Musical goes to @LenaDunham for @GirlsHBO! http://t.co/FJ1fznRO
18,&amp;@JuddApatow  RT“@EW: You go girl! Best TV Series Actress - Comedy or Musical - Lena Dunham (@LenaDunham) - Girls (@GirlsHBO) #GoldenGlobes”
19,@aprilisms RT @gmanews: Lena Dunham wins Best TV Series Actress (Comedy or Musical) for Girls #GoldenGlobes | via @goldenglobes
20,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
21,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
22,"So happy for Julianne Moore, who just won the award for Best Performance by an Actress (Mini-Series/TV Movie) for #GameChange! #GoldenGlobes"
23,"RT @OnTheRedCarpet: Julianne Moore of ""Game Change"" wins Best Performance by an Actress in a TV series at the #GoldenGlobes: http://t.co/sGlIprkL"
24,"“@OnTheRedCarpet: Julianne Moore of ""Game Change"" wins Best Performance by an Actress in a TV series at the #GoldenGlobes”"
27,"“@OnTheRedCarpet: Lena Dunham of ""Girls"" wins Best Performance by an Actress in a TV Series - Musical or Comedy at the #GoldenGlobes”"
28,"“@OnTheRedCarpet: Lena Dunham of ""Girls"" wins Best Performance by an Actress in a TV Series - Musical or Comedy at the #GoldenGlobes”"
29,"“@OnTheRedCarpet: Lena Dunham of ""Girls"" wins Best Performance by an Actress in a TV Series - Musical or Comedy at the #GoldenGlobes”"
30,Lena Dunham wins best actress in a TV series (comedy or musical) for Girls #goldenglobes
31,Best Actress in a TV series comedy/musical goes to @girlsHBO #GoldenGlobes yay!
32,@LenaDunham wins the Golden Globe for Best Actress - TV Series Comedy or Musical for her role in @HBOGirls #GoldenGlobes
33,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
34,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
35,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
36,Give us a quotable! RT@washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/EEZ0hOnZ #GoldenGlobes
37,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
38,WOW here come the tears! Lena Dunham wins her first Globe for best actress is a TV comedy series. #GoldenGlobes
39,"“@OnTheRedCarpet: Lena Dunham of ""Girls"" wins Best Performance by an Actress in a TV Series - Musical or Comedy at the #GoldenGlobes”"
40,"Lena Dunham wins Best Actress in a TV Series, Comedy/Musical thanks to ""Girls."" #GoldenGlobes Hopefully @carriesnotscary feels better now."
41,Best TV Series Actress in a Comedy or Musical goes to Lena Dunham (@LenaDunham) for @GirlsHBO #GoldenGlobes
42,"Lena Dunham wins Best Actress for TV series,musical or comedy.Says the other nominees helped her thru Middle school &amp; Mono! #GoldenGlobes ;)"
43,RT @Newser: @lenadunham wins Best Actress in a Comedy TV series - comedy or musical for #Girls.  @girlsHBO #goldenglobes
44,Lena Dunham wins best actress in a TV series - comedy or musical for Girls. #goldenglobes..and wishes she wore flats #GoldenGlobes2013
45,RT @GlobalGrind: #GoldenGlobes Best TV Series Actress in Comedy or Musical goes to @LenaDunham for @GirlsHBO! http://t.co/FJ1fznRO
46,&amp;@JuddApatow  RT“@EW: You go girl! Best TV Series Actress - Comedy or Musical - Lena Dunham (@LenaDunham) - Girls (@GirlsHBO) #GoldenGlobes”
47,RT @PageSix: Best actress tv series comedy goes to teary Lena Dunham but Amy Poehler gets to go home with George Clooney #goldenglobes
48,Lena Dunham specifically thanks her fellow nominees! Kudos to the star of 'Girls' and winner best TV series actress - comedy #GoldenGlobes
50,RT @PageSix: Best actress tv series comedy goes to teary Lena Dunham but Amy Poehler gets to go home with George Clooney #goldenglobes
51,RT @PageSix: Best actress tv series comedy goes to teary Lena Dunham but Amy Poehler gets to go home with George Clooney #goldenglobes
52,@aprilisms RT @gmanews: Lena Dunham wins Best TV Series Actress (Comedy or Musical) for Girls #GoldenGlobes | via @goldenglobes
53,"RT @THR: .@LenaDunham wins the #GoldenGlobe for Best Actress in a TV Series, Comedy for ""Girls."" http://t.co/bEbOJaJ5"
54,RT @PageSix: Best actress tv series comedy goes to teary Lena Dunham but Amy Poehler gets to go home with George Clooney #goldenglobes
55,2013 Golden Globes Lena Dunham WINS Best Actress in a TV Series Comedy Series: http://t.co/gKUK1Dii
56,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
57,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
58,Lena Dunham wins best actress in a TV series (comedy or musical) for Girls #goldenglobes
59,Best Actress in a TV series comedy/musical goes to @girlsHBO #GoldenGlobes yay!
60,@LenaDunham wins the Golden Globe for Best Actress - TV Series Comedy or Musical for her role in @HBOGirls #GoldenGlobes
61,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
62,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
63,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
64,Give us a quotable! RT@washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/EEZ0hOnZ #GoldenGlobes
65,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
66,"“@OnTheRedCarpet: Lena Dunham of ""Girls"" wins Best Performance by an Actress in a TV Series - Musical or Comedy at the #GoldenGlobes”"
67,"Lena Dunham wins Best Actress in a TV Series, Comedy/Musical thanks to ""Girls."" #GoldenGlobes Hopefully @carriesnotscary feels better now."
68,Best TV Series Actress in a Comedy or Musical goes to Lena Dunham (@LenaDunham) for @GirlsHBO #GoldenGlobes
69,"Lena Dunham wins Best Actress for TV series,musical or comedy.Says the other nominees helped her thru Middle school &amp; Mono! #GoldenGlobes ;)"
70,RT @Newser: @lenadunham wins Best Actress in a Comedy TV series - comedy or musical for #Girls.  @girlsHBO #goldenglobes
71,Lena Dunham wins best actress in a TV series - comedy or musical for Girls. #goldenglobes..and wishes she wore flats #GoldenGlobes2013
72,RT @GlobalGrind: #GoldenGlobes Best TV Series Actress in Comedy or Musical goes to @LenaDunham for @GirlsHBO! http://t.co/FJ1fznRO
73,&amp;@JuddApatow  RT“@EW: You go girl! Best TV Series Actress - Comedy or Musical - Lena Dunham (@LenaDunham) - Girls (@GirlsHBO) #GoldenGlobes”
74,@aprilisms RT @gmanews: Lena Dunham wins Best TV Series Actress (Comedy or Musical) for Girls #GoldenGlobes | via @goldenglobes
75,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
76,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
77,Lena Dunham wins best actress in a TV series (comedy or musical) for Girls #goldenglobes
78,Best Actress in a TV series comedy/musical goes to @girlsHBO #GoldenGlobes yay!
79,@LenaDunham wins the Golden Globe for Best Actress - TV Series Comedy or Musical for her role in @HBOGirls #GoldenGlobes
80,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
81,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
82,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
83,Give us a quotable! RT@washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/EEZ0hOnZ #GoldenGlobes
84,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
85,"“@OnTheRedCarpet: Lena Dunham of ""Girls"" wins Best Performance by an Actress in a TV Series - Musical or Comedy at the #GoldenGlobes”"
86,"Lena Dunham wins Best Actress in a TV Series, Comedy/Musical thanks to ""Girls."" #GoldenGlobes Hopefully @carriesnotscary feels better now."
87,Best TV Series Actress in a Comedy or Musical goes to Lena Dunham (@LenaDunham) for @GirlsHBO #GoldenGlobes
88,RT @USATODAYlife: Best actress in a comedy or musical series goes to Lena Dunham for #Girls #GoldenGlobes
89,"Lena Dunham wins Best Actress for TV series,musical or comedy.Says the other nominees helped her thru Middle school &amp; Mono! #GoldenGlobes ;)"
90,RT @Newser: @lenadunham wins Best Actress in a Comedy TV series - comedy or musical for #Girls.  @girlsHBO #goldenglobes
91,Lena Dunham wins best actress in a TV series - comedy or musical for Girls. #goldenglobes..and wishes she wore flats #GoldenGlobes2013
92,RT @GlobalGrind: #GoldenGlobes Best TV Series Actress in Comedy or Musical goes to @LenaDunham for @GirlsHBO! http://t.co/FJ1fznRO
93,&amp;@JuddApatow  RT“@EW: You go girl! Best TV Series Actress - Comedy or Musical - Lena Dunham (@LenaDunham) - Girls (@GirlsHBO) #GoldenGlobes”
94,RT @USATODAYlife: Best actress in a comedy or musical series goes to Lena Dunham for #Girls #GoldenGlobes
95,@aprilisms RT @gmanews: Lena Dunham wins Best TV Series Actress (Comedy or Musical) for Girls #GoldenGlobes | via @goldenglobes
96,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
97,RT @washingtonpost: Lena Dunham wins best actress in a TV series - comedy or musical http://t.co/wDtM7VJj #GoldenGlobes #Girls
