,tweets
0,"Claire Danes of ""Homeland"" wins Best Performance by an Actress In A Television Series - Drama at the #GoldenGlobes:  http://t.co/sGlIprkL"
1,"RT @MSNtv: Best Performance by an Actress in a TV Series, Drama goes to Claire Danes for ""Homeland."" #GoldenGlobes"
2,"So happy for Julianne Moore, who just won the award for Best Performance by an Actress (Mini-Series/TV Movie) for #GameChange! #GoldenGlobes"
3,"RT @OnTheRedCarpet: Julianne Moore of ""Game Change"" wins Best Performance by an Actress in a TV series at the #GoldenGlobes: http://t.co/sGlIprkL"
4,"“@OnTheRedCarpet: Julianne Moore of ""Game Change"" wins Best Performance by an Actress in a TV series at the #GoldenGlobes”"
5,"Claire Danes of ""Homeland"" wins Best Performance by an Actress In A Television Series - Drama at the #GoldenGlobes:  http://t.co/sGlIprkL"
6,"RT @MSNtv: Best Performance by an Actress in a TV Series, Drama goes to Claire Danes for ""Homeland."" #GoldenGlobes"
8,"Claire Danes of ""Homeland"" wins Best Performance by an Actress In A Television Series - Drama at the #GoldenGlobes:  http://t.co/sGlIprkL"
9,"RT @MSNtv: Best Performance by an Actress in a TV Series, Drama goes to Claire Danes for ""Homeland."" #GoldenGlobes"
10,"Claire Danes of ""Homeland"" wins Best Performance by an Actress In A Television Series - Drama at the #GoldenGlobes:  http://t.co/sGlIprkL"
11,Best Actress in a #TV Series Drama Winner is... Claire Danes for #Homeland!!!! #GoldenGlobes #fem2
12,Claire Danes wins best actress in a TV series drama for Homeland #GoldenGlobes
13,"RT @MSNtv: Best Performance by an Actress in a TV Series, Drama goes to Claire Danes for ""Homeland."" #GoldenGlobes"
14,RT @washingtonpost: #Homeland's Claire Danes wins best actress in a TV series drama http://t.co/uwjCCgxt #GoldenGlobes
15,"Claire Danes wins the Golden Globe for Best Actress in a TV Series, Drama, for her role in Homeland #GoldenGlobes"
16,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
17,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
18,"No surprise here. RT @THR: Claire Danes wins the #GoldenGlobe for Best Actress in a TV Series, Drama for ""Homeland."" http://t.co/JfKUI8ce"
19,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
20,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
21,"RT @THR: Claire Danes wins the #GoldenGlobe for Best Actress in a TV Series, Drama for ""Homeland."" http://t.co/bEbOJaJ5"
22,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
23,"Claire Danes wins the #GoldenGlobe for Best Actress in a TV Series, Drama for ""Homeland."" http://t.co/fmbP4Tga"
24,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
25,YES!!!! Claire Danes wins for Best Actress in a TV Series- Drama!!! #welldeserved #Homeland #GoldenGlobes
26,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
27,Best Actress TV Series Drama goes to Claire Danes for Homeland. One of my fave shows! #goldenglobes
28,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
29,"Two years in a row w/ Damien Lewis ""@goldenglobes: Best Actress in a Television Series - Drama - Claire Danes - Homeland - #GoldenGlobes"""
30,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
31,RT @newscomauHQ: Claire Danes wins Best Actress - TV Series - Drama for Homeland #GoldenGlobes http://t.co/JBUlHmRZ
32,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
33,#Homeland's Claire Danes wins best actress in a TV series drama  #GoldenGlobes
34,#Homeland's Claire Danes wins best actress in a TV series drama http://t.co/UzyCKYHO #GoldenGlobes via @washingtonpost
35,RT @AOL: Claire Danes wins Best Actress in a TV Series - drama for @SHO_Homeland #GoldenGlobes
36,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
37,"RT @THR: Claire Danes wins the #GoldenGlobe for Best Actress in a TV Series, Drama for ""Homeland."" http://t.co/bEbOJaJ5"
38,"RT @THR: Claire Danes wins the #GoldenGlobe for Best Actress in a TV Series, Drama for ""Homeland."" http://t.co/bEbOJaJ5"
39,"Claire Danes wins for Best Actress in a TV Series, Drama for ""Homeland"" #GoldenGlobes"
40,"RT @FashionweekNYC: Claire Danes wins the Golden Globe for Best Actress in a TV Series/Drama for ""Homeland"" #GoldenGlobes"
41,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
42,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
43,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
44,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
45,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
46,"RT @ABC: Best actress in a TV series, drama, goes to Claire Danes for ""Homeland"" http://t.co/GgjUDP03 #GoldenGlobes http://t.co/cD8AkjD9"
47,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
48,"""@washingtonpost: #Homeland's Claire Danes wins best actress in a TV series drama http://t.co/PPm4iACb #GoldenGlobes""/ Of course!! @mkanen"
49,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
50,"Tough category. RT @USATODAYlife: Claire Danes wins  for Best Actress in a Television Series, Drama, for her role on Homeland #GoldenGlobes"
51,"RT @ABC: Best actress in a TV series, drama, goes to Claire Danes for ""Homeland"" http://t.co/GgjUDP03 #GoldenGlobes http://t.co/cD8AkjD9"
52,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
53,"RT @eonline: Best Actress in a TV Series, Drama: Claire Danes for Homeland #GoldenGlobes http://t.co/mTzTn5TI (She's now 4 for 4 on Globe nominations!)"
