,tweets
1,#GoldenGlobes Best Screenplay - Motion Picture nominations. Raised eyebrow time...
2,Best Screenplay - Motion Picture goes to... BIRDMAN #GoldenGlobes
3,"Best screenplay, motion picture @ GoldenGlobes goes to: #Birdman"
4,"Congrats to #BirdmanMovie Winner of the #GoldenGlobes Best Screenplay, Motion Picture"
5,"#GoldenGlobes BEST SCREENPLAY, MOTION PICTURE Goes To  http://t.co/f9BAH1THQt"
6,Oh Wiig &amp; Hader. Birdman wins for Best Screenplay - Motion Picture. #GoldenGlobes
7,Best Screenplay for motion picture goes to Birdman! #GoldenGlobes
8,The award for Best Screenplay for a Motion Picture goes to...Birdman #GoldenGlobes
9,Best screenplay for a motion picture goes to - Birdman! #goldenglobes
10,Best Screenplay (Motion Picture) goes to Birdman #GoldenGlobes
11,"RT @Zap2it: Congrats to #BirdmanMovie Winner of the #GoldenGlobes Best Screenplay, Motion Picture"
12,Best Screenplay – Motion Picture: WINNER: Birdman! #GoldenGlobes
13,Best Screenplay for a Motion Picture winner is... Birdman. #GoldenGlobes #BitchFlicks
14,Best screenplay for a motion pictures goes to #Birdman #GoldenGlobes
15,Best #screenplay for a motion picture goes to Birdman. #GoldenGlobes
16,"Birdman wins for Screenplay, Motion Picture #GoldenGlobes I so have to see that"
17,"RT @GossipCop: #GoldenGlobes BEST SCREENPLAY, MOTION PICTURE Goes To  http://t.co/f9BAH1THQt"
18,RT @CineplexMovies: Best Screenplay - Motion Picture goes to... BIRDMAN #GoldenGlobes
19,Best screenplay in a motion picture goes to Birdman #GoldenGlobes
20,"""Birdman"" won Best Screenplay in a Motion Picture #GoldenGlobes"
21,"#GoldenGlobes Best Screenplay, Motion Pictures goes to ""Birdman""
http:://ow.ly/H93UL"
22,Best screenplay--motion picture goes to... Birdman #GoldenGlobes
23,"Best Screenplay - Motion Picture goes to ""Birdman"" #GoldenGlobes"
24,Best Screenplay for Motion Picture: #BirdmanMovie!! #HD983 #TheJoeShow #GoldenGlobes
25,The trio of talent for Birdman wins Best Screenplay - motion picture! #GoldenGlobes
26,"RT @Zap2it: Congrats to #BirdmanMovie Winner of the #GoldenGlobes Best Screenplay, Motion Picture"
27,CRAP! Birdman wins for best screenplay -Motion Picture. I've heard that's pretty good too. #GoldenGlobes
28,"Alejandro G. Inarritu wins the #goldenglobe for Best Screenplay, Motion Picture for 'Birdman'  http://t.co/mOt0741Q2a"
29,#Birdman wins Best Motion Picture Screenplay. #GoldenGlobes http://t.co/WIeuOSpTFK
30,RT @latimesent: Best screenplay--motion picture goes to... Birdman #GoldenGlobes
31,The Golden Globe for the Best Screenplay - Motion Picture on the #GoldenGlobesonVh1 goes to #BirdmanMovie
32,Best Screenplay - Motion Picture goes to Birdman #GoldenGlobes
33,"#GoldenGlobes BEST SCREENPLAY, MOTION PICTURE Goes To ""Birdman"" http://t.co/f9BAH1THQt"
34,The winner of the #GoldenGlobe for Best Screenplay of a Motion Picture goes to: #Birdman
35,LIVE #GoldenGlobes #Birdman wins Best Screenplay - Motion Picture  http://t.co/oil5QDWYSB
36,"Birdman wins Best Screenplay, Motion Picture #GoldenGlobes"
37,"The Golden Globe for Best Screenplay - Motion Picture goes to Birdman.
#GoldenGlobes"
38,RT @geeksofdoom: Best Screenplay – Motion Picture: WINNER: Birdman! #GoldenGlobes
39,"Birdman wins Best Screenplay, Motion Picture! #GoldenGlobes"
40,RT @CineplexMovies: Best Screenplay - Motion Picture goes to... BIRDMAN #GoldenGlobes
41,RT @joblocom: Best screenplay for a motion pictures goes to #Birdman #GoldenGlobes
42,Uh. Wow. #Surprised RT @CineplexMovies: Best Screenplay - Motion Picture goes to... BIRDMAN #GoldenGlobes
43,"RT @Zap2it: Congrats to #BirdmanMovie Winner of the #GoldenGlobes Best Screenplay, Motion Picture"
44,The award for Best Screenplay (Motion Picture) goes to “Birdman” #GoldenGlobes
45,"RT @Zap2it: Congrats to #BirdmanMovie Winner of the #GoldenGlobes Best Screenplay, Motion Picture"
46,"RT @KHOU: #GoldenGlobes Best Screenplay, Motion Pictures goes to ""Birdman""
http:://ow.ly/H93UL"
47,RT @HuffingtonPost: Best Screenplay - Motion Picture goes to Birdman #GoldenGlobes
48,"RT @YahooMovies: Birdman wins Best Screenplay, Motion Picture! #GoldenGlobes"
49,"RT @YahooMovies: Birdman wins Best Screenplay, Motion Picture! #GoldenGlobes"
50,RT @HuffingtonPost: Best Screenplay - Motion Picture goes to Birdman #GoldenGlobes
51,RT @NYDNEntertain: The award for Best Screenplay (Motion Picture) goes to “Birdman” #GoldenGlobes
52,"Best screenplay for a motion picture goes to ""Birdman"" #GoldenGlobes"
53,RT @HuffingtonPost: Best Screenplay - Motion Picture goes to Birdman #GoldenGlobes
54,RT @HuffingtonPost: Best Screenplay - Motion Picture goes to Birdman #GoldenGlobes
