,tweets
0,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
1,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
2,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
3,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
5,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
7,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
9,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
10,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
11,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
13,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
16,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
18,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
20,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
21,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
22,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
24,Jay Leno and Jimmy Fallon presenting best TV series comedy or musical #GoldenGlobes
