,tweets
0,Best TV Series (Musical/Comedy): Orange Is The New Black (hopefully) #GoldenGlobes #goldenglobespredictions
1,"Best TV Series, Musical or Comedy - Either Orange is the New Black or Silicon Valley. I'm going with OitNB. #GoldenGlobes"
2,"Best actress in a TV series, musical or comedy goes to Gina Rodriguez, ""Jane the Virgin"" #GoldenGlobes"
3,"Best Actress, Television Series – Comedy Or Musical: WINNER: Gina Rodriguez !!! #GoldenGlobes"
4,"Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez for Jane the Virgin!!!!  #GoldenGlobes"
5,"Best Actress in a TV Series, Musical or Comedy goes to... GINA RODRIGUEZ! JANE THE VIRGIN! OH MY GOD #GoldenGlobes"
6,"Best Actress in a TV Series, Musical or Comedy goes to: Gina Rodriguez (Jane the Virgin) #GoldenGlobes"
7,"#GoldenGlobes BEST ACTRESS, TV SERIES COMEDY OR MUSICAL Goes To... http://t.co/f9BAH1THQt"
8,"WINNER: Gina Rodriguez, JANE THE VIRGIN -- Best Actress, TV Series (Musical or Comedy) #GoldenGlobes"
9,Winner Best Actress TV Series Musical or Comedy Gina Rodriguez #JaneTheVirgin #OnTVTonightAtTheGlobes #GoldenGlobes
10,WINNER Best Actress in a TV Series Musical or Comedy: GINA RODRIGUEZ (Jane the Virgin) #GoldenGlobes
11,"The #GoldenGlobe for Best Actress in a TV Series, Musical or Comedy goes to...Gina Rodriguez for 'Jane the Virgin!'"
12,"RT @GossipCop: #GoldenGlobes BEST ACTRESS, TV SERIES COMEDY OR MUSICAL Goes To... http://t.co/f9BAH1THQt"
13,"RT @geeksofdoom: Best Actress, Television Series – Comedy Or Musical: WINNER: Gina Rodriguez !!! #GoldenGlobes"
14,"Best Actress in a TV series, comedy or musical goes to.... Gina Rodriguez #GoldenGlobes"
15,"Gina Rodriguez wins the Golden Globes award for best actress, TV series comedy/musical"
16,"Gina Rodriguez in Jane The Virgin won her first Golden Globe for Best Actress in a TV Series, Musical or Comedy"
17,"Best actress in a TV series, musical or comedy goes to Gina Rodriguez for Jane the Virgin. Her first win at the #GoldenGlobes"
18,"RT @screencrushnews: WINNER: Gina Rodriguez, JANE THE VIRGIN -- Best Actress, TV Series (Musical or Comedy) #GoldenGlobes"
19,"#Winner Best Actress in a TV Series, Musical or Comedy: Gina Rodriguez, ""Jane the Virgin"" #GoldenGlobes"
20,"RT @yahooPOP: Best actress in a TV series, musical or comedy goes to Gina Rodriguez, ""Jane the Virgin"" #GoldenGlobes"
21,"Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
22,"RT @latimesent: Best Actress in a TV series, comedy or musical goes to.... Gina Rodriguez #GoldenGlobes"
23,"Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes via @HuffingtonPost"
24,WINNER - @goldenglobes: Best TV Series Actress - Comedy or Musical - Gina Rodriguez  - Jane The Virgin (@CWJaneTheVirgin)
25,"And the 2015 #GoldenGlobes award for Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez"
26,"Best actress in a TV series, musical or comedy goes to newbie Gina Rodriguez, star of @CW_network's ""Jane the Virgin"" #GoldenGlobes"
27,"RT @NYTMovies: Gina Rodriguez wins the Golden Globes award for best actress, TV series comedy/musical"
28,"RT @NYTMovies: Gina Rodriguez wins the Golden Globes award for best actress, TV series comedy/musical"
29,"Best actress in tv series, comedy or musical - #GinaRodriguez #JaneTheVirgin??  Never even heard of that show before today!  #GoldenGlobes"
30,"#BestActressComedyMusicalTVSERIES And the Golden Globes goes to...

Gina Rodriguez - Jane The Virgin 

#GoldenGlobes2015"
31,BEST ACRESS IN A TV SERIES COMEDY/MUSICAL goes to Gina Rodriguez for #JaneTheVirgin #GoldenGlobes
32,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
33,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
34,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
35,"Best actress in a TV series, musical or comedy goes to Gina Rodriguez for ""Jane the Virgin"" #GoldenGlobes"
36,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
37,"Best Actress--TV Series, Musical or Comedy. ... Aaaand the #goldenglobe goes to #JanetheVirgin's #GinaRodriguez !"
38,Gina Rodriguez for #JaneTheVirgin wins! #GoldenGlobes2015 #Bestactressinatvseriesmusicalorcomedy
39,#GoldenGlobes Best Actress in a TV Series - Musical or Comedy goes to Gina Rodriguez #JaneTheVirgin
40,"RT @TerransTake: Gina Rodriguez in Jane The Virgin won her first Golden Globe for Best Actress in a TV Series, Musical or Comedy"
41,"Congrats to @HereIsGina! #GoldenGlobe Winner for Best Actress in a TV Series, Musical or Comedy! #JaneTheVirgin http://t.co/1nbiNovayO"
42,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
43,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
44,"RT @NYTMovies: Gina Rodriguez wins the Golden Globes award for best actress, TV series comedy/musical"
45,"CONGRATS!!! RT @latimesent: Best Actress in a TV series, comedy or musical goes to.... Gina Rodriguez #GoldenGlobes"
46,"RT @TYFofficial: Best Actress in a TV Series, Musical or Comedy goes to... GINA RODRIGUEZ! JANE THE VIRGIN! OH MY GOD #GoldenGlobes"
47,"RT @NYTMovies: Gina Rodriguez wins the Golden Globes award for best actress, TV series comedy/musical"
48,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
49,"RT @HuffingtonPost: Best Actress in a TV Series, Musical or Comedy goes to Gina Rodriguez in Jane The Virgin #GoldenGlobes"
