,tweets
54,Best TV Series Comedy or Musical goes to... #GoldenGlobes
55,Girls wins for Best TV Series-Comedy or Musical at the #Golden Globes.
56,Best TV Series - Comedy or Musical Winner is... #GIRLS!! #GoldenGlobes #fem2
57,"Best TV series - comedy or a musical winner is ""Girls."" #GoldenGlobes"
58,Best TV Series - Comedy or Musical Winner is... #GIRLS!! #GoldenGlobes #fem2
59,Girls wins Best TV Series: Comedy or Musical at the #GoldenGlobes.
60,"Best Television Series, Comedy or Musical goes to ""Girls."" #GoldenGlobes"
61,Best TV Series Musical or Comedy goest to Girls HBO! #goldenglobes Wooow what a day!
62,#Girls wins best TV series - comedy or musical http://t.co/EfJjinuG #GoldenGlobes
63,"RT @CNNshowbiz: Best TV series - comedy or a musical winner is ""Girls."" #GoldenGlobes"
64,"RT @CNNshowbiz: Best TV series - comedy or a musical winner is ""Girls."" #GoldenGlobes"
65,RT @washingtonpost: #Girls wins best TV series - comedy or musical http://t.co/EfJjinuG #GoldenGlobes
66,"#GoldenGlobes HBO's Girls wins for Best TV Series, Comedy or Musical.  2nd award for the show. @KNX1070"
67,"Winner TV Series Comedy or Musical: Girls. Modern Family is finished, sorry. #GoldenGlobes #joachimgg"
68,RT @washingtonpost: #Girls wins best TV series - comedy or musical http://t.co/EfJjinuG #GoldenGlobes
69,HAZZAH!!!!! “@washingtonpost: #Girls wins best TV series - comedy or musical http://t.co/mGOqC46O #GoldenGlobes”
70,"Whoa!
My favorite, MODERN FAMILY lost to GIRLS
GIRLS won Golden Globes to Best Television Series – Musical or Comedy"
71,Girls wins Best TV series  -Comedy or Musical at the #GoldenGlobes
72,"Wooo hooo! ""Girls"" wins Best TV Series Comedy or Musical #GoldenGlobes"
73,RT @washingtonpost: #Girls wins best TV series - comedy or musical http://t.co/EfJjinuG #GoldenGlobes
74,RT @washingtonpost: #Girls wins best TV series - comedy or musical http://t.co/EfJjinuG #GoldenGlobes
75,"RT @CNNshowbiz: Best TV series - comedy or a musical winner is ""Girls."" #GoldenGlobes"
76,"Winner, Best Television Series - Musical or Comedy: ""Girls"" .  #HBO #goldenglobes"
77,"RT @ABC: #GIRLS wins best TV series, musical or comedy, at the #GoldenGlobes http://t.co/GgjUDP03 http://t.co/XI1bEAK6"
78,"RT @CNNshowbiz: Best TV series - comedy or a musical winner is ""Girls."" #GoldenGlobes"
79,"#Girls wins best TV series, musical or comedy, at the #GoldenGlobes  @lenadunham @girlsHBO"
80,"RT @CNNshowbiz: Best TV series - comedy or a musical winner is ""Girls."" #GoldenGlobes"
81,"Mom is looking at me all weird again. It's cause #GIRLS just won Best TV Series - Comedy or Musical! And yes, I'm going NuTS! #GoldenGlobes"
82,#TeamMarnie. RT @EW #GoldenGlobes: #Girls wins best Best Television Comedy/Musical Series! @girlsHBO
83,"RT @ABC: #GIRLS wins best TV series, musical or comedy, at the #GoldenGlobes http://t.co/GgjUDP03 http://t.co/XI1bEAK6"
84,RT @EW: #GoldenGlobes: #Girls wins best Best Television Comedy/Musical Series! @girlsHBO
85,"Wow?! Not Modern Family?!! ""#GoldenGlobes: #Girls wins best Best Television Comedy/Musical Series!"""
86,RT @EW: #GoldenGlobes: #Girls wins best Best Television Comedy/Musical Series! @girlsHBO
87,"RT @CNNshowbiz: Best TV series - comedy or a musical winner is ""Girls."" #GoldenGlobes"
88,#Girls wins best Best Television Comedy/Musical Series! #GoldenGlobes
89,"RT @CNNshowbiz: Best TV series - comedy or a musical winner is ""Girls."" #GoldenGlobes"
90,"RT @CNNshowbiz: Best TV series - comedy or a musical winner is ""Girls."" #GoldenGlobes"
91,"RT @HuffingtonPost: ""Girls"" wins best comedy or musical TV series at the #GoldenGlobes http://t.co/m8FbkTls"
92,RT @EW: #GoldenGlobes: #Girls wins best Best Television Comedy/Musical Series! @girlsHBO
93,"I should watch it than. #onDemand “@HuffingtonPost: ""Girls"" wins best comedy or musical TV series at the #GoldenGlobes http://t.co/n0RArAng”"
94,"#earned #deserved RT @HuffingtonPost: ""Girls"" wins best comedy or musical TV series at the #GoldenGlobes http://t.co/Yij6GBea"
95,"RT @CNNshowbiz: Best TV series - comedy or a musical winner is ""Girls."" #GoldenGlobes"
96,"RT @HuffingtonPost: ""Girls"" wins best comedy or musical TV series at the #GoldenGlobes http://t.co/m8FbkTls"
98,"RT @HuffingtonPost: ""Girls"" wins best comedy or musical TV series at the #GoldenGlobes http://t.co/m8FbkTls"
100,"RT @HuffingtonPost: ""Girls"" wins best comedy or musical TV series at the #GoldenGlobes http://t.co/m8FbkTls"
101,"""@CNNshowbiz: Best TV series - comedy or a musical winner is ""Girls."" #GoldenGlobes""// @GirlsHBO"
102,RT @EW: #GoldenGlobes: #Girls wins best Best Television Comedy/Musical Series! @girlsHBO
103,"RT @CNNshowbiz: Best TV series - comedy or a musical winner is ""Girls."" #GoldenGlobes"
104,"RT @HuffingtonPost: ""Girls"" wins best comedy or musical TV series at the #GoldenGlobes http://t.co/m8FbkTls"
105,"RT @CNNshowbiz: Best TV series - comedy or a musical winner is ""Girls."" #GoldenGlobes"
106,"RT @HuffingtonPost: ""Girls"" wins best comedy or musical TV series at the #GoldenGlobes http://t.co/m8FbkTls"
107,"RT @Andy_Hawk: Never heard of it. @CNNshowbiz: Best TV series - comedy or a musical winner is ""Girls."" #GoldenGlobes"
109,"RT @CNNshowbiz: Best TV series - comedy or a musical winner is ""Girls."" #GoldenGlobes"
111,"RT @CNNshowbiz: Best TV series - comedy or a musical winner is ""Girls."" #GoldenGlobes"
112,RT @GlobalGrind: #GoldenGlobes Best Television Series for Comedy or Musical goes to @GirlsHBO! http://t.co/FJ1fznRO
113,"RT @CNNshowbiz: Best TV series - comedy or a musical winner is ""Girls."" #GoldenGlobes"
114,"RT @CNNshowbiz: Best TV series - comedy or a musical winner is ""Girls."" #GoldenGlobes"
