,tweets
0,Game Change wins Best TV Mini Series/Drama #GoldenGlobes
1,RT @AshaTomlinson: Game Change wins Best TV Mini Series/Drama #GoldenGlobes
19,The best TV series (DRAMA) goes to #HOMELAND!!!! #GoldenGlobes
21,#GoldenGlobes Best TV Series- Drama goes to Homeland!
23,"Homeland wins Best TV Series, Drama. #GoldenGlobes"
24,#goldenglobes #tvseriesdrama goes to Homeland
25,#Homeland wins again! Best TV Series Drama! #GoldenGlobes
26,And the #GoldenGlobe for Best TV Series-Drama goes to.... #Homeland! #GoldenGlobes
27,And the winner of best tv Series Drama is... Homeland #GoldenGlobes
28,"The @goldenglobes Award for ""Best TV Series - Drama"" goes to ""Homeland""! #GoldenGlobes"
29,Best TV series Drama goes to Homeland! Excellent! #GoldenGlobes
30,"BEST TV SERIES DRAMA GOLDEN GLOBE WINNER: ""HOMELAND"" #GoldenGlobes"
31,"The winner of Best TV Series, Drama is “Homeland.” #GoldenGlobes"
32,Golden Globes 2013: (No thanks to the teleprompter) HOMELAND!!!!!!!! Wins For Best TV Series (Drama)
33,TV Series Drama winner: HOMELAND -- beating out DOWNTON ABBEY for its second straight win! #goldenglobes
34,"RT @nbc: Homeland wins Best Television Series, Drama! #GoldenGlobes"
35,#Homeland is the seventh show to defend TV drama series. #goldenglobes
36,my fav show RT @PageSix: Another win for Homeland Best tv series - drama #goldenglobes
37,"RT @televisionary: And TV Series, Drama goes to… #Homeland! DID THEY WATCH THE BACK HALF OF S2?!?  #GoldenGlobes"
39,Homeland wins again for best TV series - Drama #GoldenGlobes
40,"RT @nbc: Homeland wins Best Television Series, Drama! #GoldenGlobes"
42,YEESSSSSSS! n @SHO_Homeland WINS AGAIN !!!!!!!!!!!!! #BESTTVSERIESDRAMA #GoldenGlobes
43,"RT @nbc: Homeland wins Best Television Series, Drama! #GoldenGlobes"
44,"RT @televisionary: And TV Series, Drama goes to… #Homeland! DID THEY WATCH THE BACK HALF OF S2?!?  #GoldenGlobes"
46,"Television series, drama goes to #Homeland http://t.co/CFCDce6e #GoldenGlobes"
47,RT @washingtonpost: #Homeland wins best TV series drama http://t.co/xnCHBHld #GoldenGlobes
48,More congratulations as #Homeland wins Best TV Drama Series!!!! #goldenglobes
50,GREAT SHOW! RT @TheRoot247: Homeland wins best TV drama series at #GoldenGlobes
51,"""@HuffPostCeleb: Best Drama TV Series goes to #Homeland #GoldenGlobes"" Menos mal..."
52,I have to watch Homeland. The show wins TV Drama Series. #GoldenGlobes #70thGoldenGlobe #70thGoldenGlobeAwards
53,RT @TV3Xpose: Best TV Series - Drama goes to #Homeland #GoldenGlobes
54,"Homeland wins Best Television Series, Drama! #GoldenGlobes"
55,RT @washingtonpost: #Homeland wins best TV series drama http://t.co/xnCHBHld #GoldenGlobes
56,RT @EW: WINNER: Best Television Series - Drama: @SHO_Homeland #GoldenGlobes
57,RT @YahooTV: And it's #Homeland! No surprise here; it won the Globe last year for Best Drama Series as well. #GoldenGlobes
58,"RT @todayshow: ""Homeland"" wins the #GoldenGlobe for best TV series, drama. Do you agree? http://t.co/RfveCQT2 http://t.co/HDZUWTGH"
62,"RT @todayshow: ""Homeland"" wins the #GoldenGlobe for best TV series, drama. Do you agree? http://t.co/RfveCQT2 http://t.co/HDZUWTGH"
63,"RT @THR: ""Homeland"" wins the #GoldenGlobe for Best TV Series, Drama. http://t.co/bEbOJaJ5"
64,"""Homeland"" wins the #GoldenGlobe for Best TV Series, Drama. http://t.co/fmbP4Tga"
65,"RT @THR: ""Homeland"" wins the #GoldenGlobe for Best TV Series, Drama. http://t.co/bEbOJaJ5"
66,"RT @THR: ""Homeland"" wins the #GoldenGlobe for Best TV Series, Drama. http://t.co/bEbOJaJ5"
67,"No. “@todayshow: ""Homeland"" wins the #GoldenGlobe for best TV series, drama. Do you agree? http://t.co/OVJ2VkpI http://t.co/9gGfql4J”"
68,“@washingtonpost: #Homeland wins best TV series drama http://t.co/CWqewWar #GoldenGlobes” #fb
69,RT @YahooTV: And it's #Homeland! No surprise here; it won the Globe last year for Best Drama Series as well. #GoldenGlobes
73,"Winner, Best Television Series - Drama: 
Homeland #GoldenGlobes http://t.co/XVaX8xOA"
74,"RT @televisionary: And TV Series, Drama goes to… #Homeland! DID THEY WATCH THE BACK HALF OF S2?!?  #GoldenGlobes"
75,"RT @todayshow: ""Homeland"" wins the #GoldenGlobe for best TV series, drama. Do you agree? http://t.co/RfveCQT2 http://t.co/HDZUWTGH"
77,Golden Globes dropped ball. #Lewis over #Hamm? Best show on TV not nominated for best drama series #madmen. Turning channel now.
79,"RT @THR: ""Homeland"" wins the #GoldenGlobe for Best TV Series, Drama. http://t.co/bEbOJaJ5"
80,"RT @THR: ""Homeland"" wins the #GoldenGlobe for Best TV Series, Drama. http://t.co/bEbOJaJ5"
81,"Biggest Show""@CityNews: Best TV series - Drama goes to Homeland. #GoldenGlobes"""
82,RT @MTVNews: And the #Homeland #GoldenGlobes continue! The show just won for Best Television Series - Drama. http://t.co/Z36SYljF
83,RT @MTVNews: And the #Homeland #GoldenGlobes continue! The show just won for Best Television Series - Drama. http://t.co/Z36SYljF
84,"Well deserved Homeland wins tonight for Best Television Series, Drama #GoldenGlobes....woo hoo!!!!"
85,"""@joyceeng61: #Homeland is the seventh show to defend TV drama series. #goldenglobes"""
86,#FuckYeah RT @washingtonpost #Homeland wins best TV series drama http://t.co/B116BlKP #GoldenGlobes
88,"RT @todayshow: ""Homeland"" wins the #GoldenGlobe for best TV series, drama. Do you agree? http://t.co/RfveCQT2 http://t.co/HDZUWTGH"
89,RT @AOL: 'Homeland' wins the Best TV Series drama #GoldenGlobes! RT if you think it is well deserved
91,RT @YahooTV: And it's #Homeland! No surprise here; it won the Globe last year for Best Drama Series as well. #GoldenGlobes
92,"RT @THR: ""Homeland"" wins the #GoldenGlobe for Best TV Series, Drama. http://t.co/bEbOJaJ5"
93,"RT @THR: ""Homeland"" wins the #GoldenGlobe for Best TV Series, Drama. http://t.co/bEbOJaJ5"
94,"Yes!! RT @todayshow: ""Homeland"" wins the #GoldenGlobe for best TV series, drama. Do you agree? http://t.co/1VmTxrQr http://t.co/i0XtLyqX”"
95,"Winners list: Best TV Series, Drama: Homeland #GoldenGlobes #Belarich"
96,RT @TVGuideMagazine: Best TV drama series goes to #Homeland! @SHO_Homeland @HowardMGordon @SHO_Network #goldenglobes
97,"RT @todayshow: ""Homeland"" wins the #GoldenGlobe for best TV series, drama. Do you agree? http://t.co/RfveCQT2 http://t.co/HDZUWTGH"
99,"RT @todayshow: ""Homeland"" wins the #GoldenGlobe for best TV series, drama. Do you agree? http://t.co/RfveCQT2 http://t.co/HDZUWTGH"
100,"YESSSS! “@todayshow: ""Homeland"" wins the #GoldenGlobe for best TV series, drama. Do you agree? http://t.co/xouLnqYL http://t.co/zmcdHeyt”"
102,"RT @todayshow: ""Homeland"" wins the #GoldenGlobe for best TV series, drama. Do you agree? http://t.co/RfveCQT2 http://t.co/HDZUWTGH"
103,RT @AOL: 'Homeland' wins the Best TV Series drama #GoldenGlobes! RT if you think it is well deserved
105,"#Homeland wins Best TV Series Drama #GoldenGlobes. My choice too. Damn, the wondrously named #DiegoKlattenhoff looks tasty."
106,"RT @todayshow: ""Homeland"" wins the #GoldenGlobe for best TV series, drama. Do you agree? http://t.co/RfveCQT2 http://t.co/HDZUWTGH"
107,RT @washingtonpost: #Homeland wins best TV series drama http://t.co/xnCHBHld #GoldenGlobes
110,"RT @THR: ""Homeland"" wins the #GoldenGlobe for Best TV Series, Drama. http://t.co/bEbOJaJ5"
111,RT @AOL: 'Homeland' wins the Best TV Series drama #GoldenGlobes! RT if you think it is well deserved
112,RT @WSJspeakeasy: 'Homeland' Wins Best TV Series Drama. #GoldenGlobes
113,"""@CityNews: Best TV series - Drama goes to Homeland. #GoldenGlobes"" @_jwood17 Even more backing for your recommendation. We will watch it."
