,tweets
0,Coming up next...Robert Downey Jr. presents the Cecil B. DeMille Award to the MILFtastic (and I mean it) Jodie Foster #goldenglobes
1,"Robert Downey Jr. presenting life achievement award, the Cecil B. Demile Award, to the great JODIE FOSTER #GoldenGlobes"
2,RT @MayeIsla: Jajajajajaja Robert Downey Jr. presenting Jodie Foster the Cecil B. De Mille Award! &lt;3 Epic :) #GoldenGlobes
3,RDJ presenting Cecil B. DeMille award to Jodie Foster: awesomeness overload. #goldenglobes
4,RT @AFIeditor: Jodie Foster presented with a hamster by Mel Gibson - and Cecil B DeMille Lifetime achievement award. #goldenglobes
5,Cecil B. DeMille Award presented to Jodie Foster ➙ http://t.co/PwG3kx5A  #GoldenGlobes
6,"""Be the hero of your own life story!"" Cecil B. Demille award presented to Jodie Foster. #GoldenGlobes"
7,RT @TODAY_ent: Robert Downey Jr. presents the Cecil B. DeMille lifetime achievement award to Jodie Foster at the #GoldenGlobes http://t.co/LE6UVSFK
8,RT @TODAY_ent: Robert Downey Jr. presents the Cecil B. DeMille lifetime achievement award to Jodie Foster at the #GoldenGlobes http://t.co/LE6UVSFK
9,RT @TODAY_ent: Robert Downey Jr. presents the Cecil B. DeMille lifetime achievement award to Jodie Foster at the #GoldenGlobes http://t.co/LE6UVSFK
10,Coming up next...Robert Downey Jr. presents the Cecil B. DeMille Award to the MILFtastic (and I mean it) Jodie Foster #goldenglobes
11,"Robert Downey Jr. presenting life achievement award, the Cecil B. Demile Award, to the great JODIE FOSTER #GoldenGlobes"
12,RT @MayeIsla: Jajajajajaja Robert Downey Jr. presenting Jodie Foster the Cecil B. De Mille Award! &lt;3 Epic :) #GoldenGlobes
13,RDJ presenting Cecil B. DeMille award to Jodie Foster: awesomeness overload. #goldenglobes
14,RT @AFIeditor: Jodie Foster presented with a hamster by Mel Gibson - and Cecil B DeMille Lifetime achievement award. #goldenglobes
15,Cecil B. DeMille Award presented to Jodie Foster ➙ http://t.co/PwG3kx5A  #GoldenGlobes
16,"""Be the hero of your own life story!"" Cecil B. Demille award presented to Jodie Foster. #GoldenGlobes"
17,RT @TODAY_ent: Robert Downey Jr. presents the Cecil B. DeMille lifetime achievement award to Jodie Foster at the #GoldenGlobes http://t.co/LE6UVSFK
18,RT @TODAY_ent: Robert Downey Jr. presents the Cecil B. DeMille lifetime achievement award to Jodie Foster at the #GoldenGlobes http://t.co/LE6UVSFK
19,RT @TODAY_ent: Robert Downey Jr. presents the Cecil B. DeMille lifetime achievement award to Jodie Foster at the #GoldenGlobes http://t.co/LE6UVSFK
