,tweets
0,"Congrats! Yale alumna Jodie Foster '85 receives Cecil B. DeMille Award, highest honor of #GoldenGlobes http://t.co/cxUEA9n7"
1,Jodie Foster receives the @GoldenGlobes' Cecil B. DeMille Award #GoldenGlobes
2,"RT @Yale: Congrats! Yale alumna Jodie Foster '85 receives Cecil B. DeMille Award, highest honor of #GoldenGlobes http://t.co/cxUEA9n7"
3,"RT @Yale: Congrats! Yale alumna Jodie Foster '85 receives Cecil B. DeMille Award, highest honor of #GoldenGlobes http://t.co/cxUEA9n7"
4,I like how Robert Downey Jr's turning the Cecil B DeMille award into a roast... #goldenglobes
5,Cecil B. DeMille Award (Lifetime Achievement) goes to Jodie Foster. What's your favorite Jodie Foster movie?  #goldenglobes
6,"RT @Yale: Congrats! Yale alumna Jodie Foster '85 receives Cecil B. DeMille Award, highest honor of #GoldenGlobes http://t.co/cxUEA9n7"
7,"RT @Yale: Congrats! Yale alumna Jodie Foster '85 receives Cecil B. DeMille Award, highest honor of #GoldenGlobes http://t.co/cxUEA9n7"
8,"RT @Yale: Congrats! Yale alumna Jodie Foster '85 receives Cecil B. DeMille Award, highest honor of #GoldenGlobes http://t.co/cxUEA9n7"
9,"RT @NBCLA: Jodie Foster wins Cecil B. Demille lifetime achievement award at the #GoldenGlobes. RT to say, ""congrats!"" http://t.co/pSI3BuaA"
10,"RT @NBCLA: Jodie Foster wins Cecil B. Demille lifetime achievement award at the #GoldenGlobes. RT to say, ""congrats!"" http://t.co/pSI3BuaA"
11,"""Tonight I feel like a prom queen!"" - Cecil B. DeMille Award Winner Jodie Foster #GoldenGlobes"
12,Jodie Foster receives Cecil B. DeMille Award. Reminder of her awesomeness.  #GoldenGlobes
13,"RT @USATODAY: Cecil B. DeMille award winner Jodi Foster celebrates 47 years in the film industry. ""I feel like a prom queen"" #GoldenGlobes"
14,"RT @USATODAY: Cecil B. DeMille award winner Jodi Foster celebrates 47 years in the film industry. ""I feel like a prom queen"" #GoldenGlobes"
15,Jodie Foster wins Cecil B. Demille lifetime achievement award at the #GoldenGlobes.
16,"RT @USATODAY: Cecil B. DeMille award winner Jodi Foster celebrates 47 years in the film industry. ""I feel like a prom queen"" #GoldenGlobes"
17,"It's JodiE guys, just google it. RT @USATODAY: Cecil B. DeMille award winner Jodi Foster celebrates 47 years in film #GoldenGlobes"
18,"RT @USATODAY: Cecil B. DeMille award winner Jodi Foster celebrates 47 years in the film industry. ""I feel like a prom queen"" #GoldenGlobes"
20,RT @ANCALERTS: #GoldenGlobes Jodie Foster receives Cecil B. de Mille Award for lifetime achievement
21,RT @mikerotman: Now I know why everyone wants to win the Cecil B DeMille award- you get to talk as long as you want.  Jodie Foster  #GoldenGlobes
22,"RT @yortalnahtanoj: Jodie Foster's receiving the Cecil B. DeMille Award, doesn't change the fact that her buddy Mel Gibson is a douchebag. #GoldenGlobes"
24,And the Cecil B Demented award goes to... #goldenglobes
25,"RT @Yale: Congrats! Yale alumna Jodie Foster '85 receives Cecil B. DeMille Award, highest honor of #GoldenGlobes http://t.co/cxUEA9n7"
26,RT @Fandango: Cecil B. DeMille Award (Lifetime Achievement) goes to Jodie Foster. What's your favorite Jodie Foster movie?  #goldenglobes
27,yay! I love Jodie!!! RT @ANCALERTS: #GoldenGlobes Jodie Foster receives Cecil B. de Mille Award for lifetime achievement
28,"RT @NBCLA: Jodie Foster wins Cecil B. Demille lifetime achievement award at the #GoldenGlobes. RT to say, ""congrats!"" http://t.co/pSI3BuaA"
29,"""@USATODAY: Cecil B. DeMille award winner Jodi Foster celebrates 47 years in the film industry. ""I feel like a prom queen"" #GoldenGlobes"""
30,I wonder if Kevin Spacey will indirectly come out when he gets his Cecil b demille award. #GoldenGlobes
31,Can't wait for next year when Chris Tucker wins the Cecil B. DeMille award. #GoldenGlobes
32,"85? Old “@Yale: Congrats! Yale alumna Jodie Foster '85 receives Cecil B. DeMille Award, highest honor of #GoldenGlobes http://t.co/Vortfp8y”"
33,"Jodie Foster said it wasn't a ""coming out"" speech, but after receiving the Cecil B. DeMille Award for lifetime a... http://t.co/K6P3fULI"
34,"RT @USATODAY: Cecil B. DeMille award winner Jodi Foster celebrates 47 years in the film industry. ""I feel like a prom queen"" #GoldenGlobes"
35,Jodie Foster's Stirring Golden Globes Speech: 'I Already Did My Coming Out a Thousand Years Ago': The Cecil B. DeMille Award winner t...
36,Jodie Foster's Stirring Golden Globes Speech: 'I Already Did My Coming Out a Thousand Years Ago': The Cecil B. DeMille Award winner t...
37,RT @TheRealCurve: Jodie Foster wins the Cecil B. DeMille award for lifetime achievement at the Golden Globes. Here's the video of... http://t.co/MFQRWlI8
38,RT @ANCALERTS: #GoldenGlobes Jodie Foster receives Cecil B. de Mille Award for lifetime achievement
