,tweets
0,#GoldenGlobes Best Animated Feature Film goes to: #Brave
1,And The Winner for BEST Animated Feature Films at the #GoldenGlobes is.... Brave.... *sigh*
2,Best Animated Feature Film goes to Brave #GoldenGlobes
3,Best Animated Feature Film award goes to... @DisneyPixar's Brave! #goldenglobes
4,Best animated feature film winner: Brave #GoldenGlobes
5,Best animated feature film... And the golden globe goes tooo..... Braveeee!! WohooO!! #GoldenGlobes
6,"Best Animated Feature Film goes to Brave!  One of the few I actually saw, though all of them look spectacular nowadays.  #GoldenGlobes"
7,"""BRAVE"" wins Best Animated Feature Film #GoldenGlobes"
8,"""Brave"" wins for Best Animated Feature Film. It was okay...#GoldenGlobes"
9,#GoldenGlobes Best Animated Feature Film goes to Brave!
10,19th Award: Best Animated Feature Film goes to BRAVE. Booooo! WRECK-IT RALPH wrecked BRAVE. #GoldenGlobes
11,Best Animated Feature Film goes to Brave  #GoldenGlobes  Congrats!
12,RT @TVGuide: Brave wins best animated feature film #GoldenGlobes
13,I love the animated feature film category bc it's the only category w movies from the whole year #GoldenGlobes
14,RT @StarryMag: Best Animated Feature Film goes to #Brave! #GoldenGlobes #GoldenGlobes2013
15,"“@OnTheRedCarpet: ""Brave"" wins Best Animated Feature Film at the #GoldenGlobes:  http://t.co/JLXUjm2w”"
16,RT @EW: #GoldenGlobes goes to Brave (@PixarBrave) for Best Animated Feature Film
17,RT @EW: #GoldenGlobes goes to Brave (@PixarBrave) for Best Animated Feature Film
18,RT @EW: #GoldenGlobes goes to Brave (@PixarBrave) for Best Animated Feature Film
19,Brave wins Best Animated Feature Film!! Love it. #GoldenGlobes
20,RT @CELEBUZZ: ... And the best Animated Feature Film goes to @PixarBrave! Congrats guys! #GoldenGlobes
21,RT @EW: #GoldenGlobes goes to Brave (@PixarBrave) for Best Animated Feature Film
22,"RT @gmanews: ""Brave"" wins Best Animated Feature Film | via @goldenglobes"
23,RT @EW: #GoldenGlobes goes to Brave (@PixarBrave) for Best Animated Feature Film
24,Te odio @paulaindriago  RT @EW: #GoldenGlobes goes to Brave (@PixarBrave) for Best Animated Feature Film
25,"RT @gmanews: ""Brave"" wins Best Animated Feature Film | via @goldenglobes"
26,RT @NBCNewsEnt: .@DisneyPixar's #Brave wins the best animated feature film award http://t.co/OR46tLo8 #GoldenGlobes
27,Agree? RT @TODAY_ent: .@DisneyPixar's #Brave wins the best animated feature film award http://t.co/y2DjLkAP #GoldenGlobes
28,Woah.... The archery lady wins ! RT @goldenglobes: Best Animated Feature Film - Brave (@PixarBrave) - #GoldenGlobes
29,RT @MarryMeOwen: Congrats to #Brave cast crew and writers for winning best animated feature film! #goldenglobes! @brenda_chapman @TheRealKMcKidd @KMcKOnline
30,RT @EW: #GoldenGlobes goes to Brave (@PixarBrave) for Best Animated Feature Film
31,So happy #Brave won Best Animated Feature Film!! Such an incredible movie! #GoldenGlobes
32,RT @FilmTrailersNet: Brave wins Best Animated Feature Film!!! We kinda wished it was Wreck-It-Ralph... #GoldenGlobes
33,"My sister's favorite animated film and Disney Princess. RT @gmanews: ""Brave"" wins Best Animated Feature Film | via @goldenglobes"
34,"RT @OnTheRedCarpet: ""Brave"" wins Best Animated Feature Film at the #GoldenGlobes:  http://t.co/sGlIprkL"
35,RT @MarryMeOwen: Congrats to #Brave cast crew and writers for winning best animated feature film! #goldenglobes! @brenda_chapman @TheRealKMcKidd @KMcKOnline
36,RT @todayshow: Agree? RT @TODAY_ent: .@DisneyPixar's #Brave wins the best animated feature film award http://t.co/y2DjLkAP #GoldenGlobes
37,“@TVGuide: Brave wins best animated feature film #GoldenGlobes” ---&gt; kok brave...?
38,RT @RallisP: Brave wins best animated feature film. Wreck-It Ralph was a better movie. #GoldenGlobes
39,RT @EW: #GoldenGlobes goes to Brave (@PixarBrave) for Best Animated Feature Film
40,RT @TODAY_ent: .@DisneyPixar's #Brave wins the best animated feature film award http://t.co/R0gJ5ZTy #GoldenGlobes
41,RT @RallisP: Brave wins best animated feature film. Wreck-It Ralph was a better movie. #GoldenGlobes
42,"RT @gmanews: ""Brave"" wins Best Animated Feature Film | via @goldenglobes"
43,RT @RallisP: Brave wins best animated feature film. Wreck-It Ralph was a better movie. #GoldenGlobes
44,RT @Shiba4NY: Sacha Baron Cohen presents for best animated feature film?? BTW: Brave won! #GoldenGlobes
45,Best animated feature film:) goes to   Brave.#Goldenglobes
46,"“@gmanews: ""Brave"" wins Best Animated Feature Film | via @goldenglobes” -i love this movie. congrats."
47,"Yay!! They deserved it :) RT @gmanews: ""Brave"" wins Best Animated Feature Film | via @goldenglobes"
48,RT @todayshow: Agree? RT @TODAY_ent: .@DisneyPixar's #Brave wins the best animated feature film award http://t.co/y2DjLkAP #GoldenGlobes
49,RT @RallisP: Brave wins best animated feature film. Wreck-It Ralph was a better movie. #GoldenGlobes
