,tweets
0,"Yep, AMOUR wins Best Foreign Language Film #GoldenGlobes"
1,Best foreign language film goes to Amour! #GoldenGlobes
2,"RT @OnTheRedCarpet: ""Amour"" wins Best Foreign Language Film at the #GoldenGlobes:  http://t.co/sGlIprkL"
3,Best Foreign Language Film goes to Amour (Austria). #GoldenGlobes
4,RT @Variety: WINNER: “Amour” wins best foreign language film #goldenglobes
5,RT @Variety: WINNER: “Amour” wins best foreign language film #goldenglobes
6,Best Foreign Language Film goes to 'Amour' http://t.co/qV1NU79p #GoldenGlobes
7,#GoldenGlobes Best Foreign Language Film goes to Amour!
8,#GoldenGlobes Best Foreign Language Film goes to Amour!
9,RT @Variety: WINNER: “Amour” wins best foreign language film #goldenglobes
10,RT @MTVNews: Schwarzenegger looks pretty pumped that 'Amour' from Austria won Best Foreign Language Film. http://t.co/Z36SYljF #GoldenGlobes
11,RT @Variety: WINNER: “Amour” wins best foreign language film #goldenglobes
12,RT @Variety: WINNER: “Amour” wins best foreign language film #goldenglobes
13,RT @AP: 'Amour' wins Golden Globe for best foreign language film for Austria: http://t.co/u6dTs3Y6 #GoldenGlobes -RJJ
14,RT @AP: 'Amour' wins Golden Globe for best foreign language film for Austria: http://t.co/u6dTs3Y6 #GoldenGlobes -RJJ
15,RT @AP: 'Amour' wins Golden Globe for best foreign language film for Austria: http://t.co/u6dTs3Y6 #GoldenGlobes -RJJ
16,"RT @ABCNewsEnt: Best foreign language film goes to ""Amour"" at the #GoldenGlobes http://t.co/VCUv6LqO"
17,"RT @THR: Austria's ""Amour"" wins the #GoldenGlobe for Best Foreign Language Film. http://t.co/bEbOJaJ5"
18,RT @AP: 'Amour' wins Golden Globe for best foreign language film for Austria: http://t.co/u6dTs3Y6 #GoldenGlobes -RJJ
19,RT @AP: 'Amour' wins Golden Globe for best foreign language film for Austria: http://t.co/u6dTs3Y6 #GoldenGlobes -RJJ
20,"Golden Globes 2013: 'Amour' wins best foreign language film: ""Amour"" won the Golden Globe for best foreign langu... http://t.co/jvi0cXpF"
21,"Golden Globes 2013: 'Amour' wins best foreign language film: ""Amour"" won the Golden Globe for best foreign langu... http://t.co/ZGhOvj3V"
22,"Golden Globes 2013: 'Amour' wins best foreign language film: ""Amour"" won the Golden Globe for best foreign langu... http://t.co/KAejgwbp"
23,Golden Globes 2013: 'Amour' wins best foreign language film http://t.co/utNHYYUb
24,Golden Globes 2013: 'Amour' wins best foreign language film http://t.co/cwEVmBpL #hollywood
25,Golden Globes 2013: 'Amour' wins best foreign language film http://t.co/ojO32oOa
26,Golden Globes 2013: 'Amour' wins best foreign language film http://t.co/dAxtyxEB
27,Golden Globes 2013: 'Amour' wins best foreign language film http://t.co/Enpaus6L
28,"RT @Zap2it: The award goes to ""Amour,"" which also just had the feat of double #Oscar noms - Best Foreign Language Film &amp; Best Picture. #GoldenGlobes"
