,tweets
0,"HBO's ""Game Change"" wins Best Mini-Series Or Motion Picture Made for Television at the #GoldenGlobes"
1,RT @Barta_NTDaily: 9th award: Best Actor in a Mini-Series or Motion Picture Made for Television goes to KEVINNNN COSTNER!! My hero. #GoldenGlobes
2,"HBO's ""Game Change"" wins Best Mini-Series Or Motion Picture Made for Television at the #GoldenGlobes"
3,RT @nbc: .@_JulianneMoore wins Best Actress in a Miniseries or Motion Picture Made for Television for Game Change! #GoldenGlobes
4,RT @nbc: .@_JulianneMoore wins Best Actress in a Miniseries or Motion Picture Made for Television for Game Change! #GoldenGlobes
5,RT @nbc: .@_JulianneMoore wins Best Actress in a Miniseries or Motion Picture Made for Television for Game Change! #GoldenGlobes
6,RT @nbc: .@_JulianneMoore wins Best Actress in a Miniseries or Motion Picture Made for Television for Game Change! #GoldenGlobes
7,And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
8,RT @Barta_NTDaily: 9th award: Best Actor in a Mini-Series or Motion Picture Made for Television goes to KEVINNNN COSTNER!! My hero. #GoldenGlobes
9,RT @nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
10,Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television #GoldenGlobes http://t.co/k4IFnLc4
11,RT @nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes
12,"""@nbc: And Kevin Costner wins Best Actor in a Miniseries or Motion Picture Made for Television for Hatfields &amp; McCoys! #GoldenGlobes"""
13,"Winner, Best Supporting Actress in a Series, Mini-Series or Motion Picture Made for TV is Maggie Smith for ""Downton Abbey"" #GoldenGlobes"
14,"HBO's ""Game Change"" wins Best Mini-Series Or Motion Picture Made for Television at the #GoldenGlobes"
15,RT @Barta_NTDaily: 9th award: Best Actor in a Mini-Series or Motion Picture Made for Television goes to KEVINNNN COSTNER!! My hero. #GoldenGlobes
16,"HBO's ""Game Change"" wins Best Mini-Series Or Motion Picture Made for Television at the #GoldenGlobes"
17,RT @Barta_NTDaily: 9th award: Best Actor in a Mini-Series or Motion Picture Made for Television goes to KEVINNNN COSTNER!! My hero. #GoldenGlobes
18,RT @nbc: Christoph Waltz wins the award for Best Supporting Actor in a Motion Picture for his role in Django Unchained! #GoldenGlobes
19,RT @nbc: Christoph Waltz wins the award for Best Supporting Actor in a Motion Picture for his role in Django Unchained! #GoldenGlobes
