,tweets
0,#LifeOfPie wins Best Original Score - Motion Picture #GoldenGlobes
1,"#GoldenGlobes   Life of Pi (Mychael Danna) wins for Best original score, motion picture.  @KNX1070"
2,"RT @KNXDavid: #GoldenGlobes   Life of Pi (Mychael Danna) wins for Best original score, motion picture.  @KNX1070"
3,YES LIFE OF PI WON BEST ORIGINAL SCORE- MOTION PICTURE! I'M SO HAPPY! #GoldenGlobes
4,"Winner, Best Original Score - Motion Picture: Mychael Danna http://t.co/BZiJkNUk #GoldenGlobes"
5,"RT @ABCNewsEnt: Golden Globe for original score, motion picture, goes to Mychael Danna ""Life of Pi"" http://t.co/VCUv6LqO #GoldenGlobes"
6,RT @OUPMusic: Best original score in a motion picture goes to...Mychael Danna for Life of Pi #goldenglobes
7,"WINNER #goldenglobes Best Original Score - Motion Picture - -  Mychael Danna, ""Life Of Pi""."
8,"RT @MyStarTwo: ""Skyfall"" wins best original song in a motion picture; ""Life Of Pi"" (Michael Danna) wins best original score  #GoldenGlobes"
9,"“@CNNshowbiz: Best original score - motion picture is awarded to Mychael Danna for the ""Life of Pi"" score #GoldenGlobes”
Never saw it!!"
10,"Best Original Score - Motion Picture
Winner: Life of #Pi (2012) - Mychael Danna
#GoldenGlobes"
11,"RT @ABCNewsEnt: Golden Globe for original score, motion picture, goes to Mychael Danna ""Life of Pi"" http://t.co/VCUv6LqO #GoldenGlobes"
12,"RT @IMDb : Winner, Best Original Score - Motion Picture: Mychael Danna for Life of Pi http://t.co/giJurv99 #GoldenGlobes"
