,tweets
0,"The ever so cool DON CHEADLE won #GoldenGlobes for Best Performance by an Actor in a Television Series – Musical or Comedy
for HOUSE OF LIES"
1,"#GoldenGlobes Best Performance by an Actor in a Television Series - Musical or Comedy
: WINNER Don Cheadle for ""House of Lies"""
2,"The ever so cool DON CHEADLE won #GoldenGlobes for Best Performance by an Actor in a Television Series – Musical or Comedy
for HOUSE OF LIES"
3,"#GoldenGlobes Best Performance by an Actor in a Television Series - Musical or Comedy
: WINNER Don Cheadle for ""House of Lies"""
4,"The ever so cool DON CHEADLE won #GoldenGlobes for Best Performance by an Actor in a Television Series – Musical or Comedy
for HOUSE OF LIES"
5,"#GoldenGlobes Best Performance by an Actor in a Television Series - Musical or Comedy
: WINNER Don Cheadle for ""House of Lies"""
6,"The ever so cool DON CHEADLE won #GoldenGlobes for Best Performance by an Actor in a Television Series – Musical or Comedy
for HOUSE OF LIES"
7,"#GoldenGlobes Best Performance by an Actor in a Television Series - Musical or Comedy
: WINNER Don Cheadle for ""House of Lies"""
8,"Best Performance by an Actor in a Motion Picture, Comedy or Musical goes to Hugh Jackman for ""Les Miserables."" #GoldenGlobes"
9,"Hugh Jackman has just won Best Performance by an Actor in a Motion Picture - Musical or Comedy for ""Les Misérables"" #GoldenGlobes"
10,"Hugh Jackman wins Best Actor in Musical or Comedy...but it should have been Jack Black for Bernie, an incredible performance #GoldenGlobes"
11,Hugh Jackman Best Actor in Comedy/Musical - These separate categories at the #goldenglobes allow performances to not go unnoticed #LesMis
12,"The ever so cool DON CHEADLE won #GoldenGlobes for Best Performance by an Actor in a Television Series – Musical or Comedy
for HOUSE OF LIES"
13,"#GoldenGlobes Best Performance by an Actor in a Television Series - Musical or Comedy
: WINNER Don Cheadle for ""House of Lies"""
14,"RT @nbc: .@IamDonCheadle wins Best Actor in a Television Series, Comedy or Musical for his role on House of Lies. Congrats! #GoldenGlobes"
15,"The ever so cool DON CHEADLE won #GoldenGlobes for Best Performance by an Actor in a Television Series – Musical or Comedy
for HOUSE OF LIES"
16,"RT @nbc: .@IamDonCheadle wins Best Actor in a Television Series, Comedy or Musical for his role on House of Lies. Congrats! #GoldenGlobes"
17,"YES!!“@nbc: @IamDonCheadle wins Best Actor in a Television Series, Comedy or Musical for his role on House of Lies. Congrats! #GoldenGlobes”"
18,Best Actor in a Television Series in a Comedy or Musical goes to Don Cheadle for House of Lies. Jim Parsons was robbed #GoldenGlobes
19,"#GoldenGlobes Best Performance by an Actor in a Television Series - Musical or Comedy
: WINNER Don Cheadle for ""House of Lies"""
20,"RT @USATODAYlife: Don Cheadle wins Best Actor in a Television Series, Comedy or Musical for his role on House of Lies.  #GoldenGlobes"
21,"RT @StephanieElam: Yay! RT @nbc: @IamDonCheadle wins Best Actor in a Television Series, Comedy or Musical 4 his role on House of Lies. Congrats! #GoldenGlobes"
