,tweets
0,"Winner,Best Performance by an Actress in a Supporting Role in a Motion Picture: Anne Hathaway for Les Misérables! Lovee her.^^
#GoldenGlobes"
1,"Winner,Best Performance by an Actress in a Supporting Role in a Motion Picture: Anne Hathaway for Les Misérables! Lovee her.^^
#GoldenGlobes"
2,"Winner,Best Performance by an Actress in a Supporting Role in a Motion Picture: Anne Hathaway for Les Misérables! Lovee her.^^
#GoldenGlobes"
3,RT @MTVNews: We predicted it! Anne Hathaway won Best Performance by an Actress in a Supporting Role! http://t.co/Z36SYljF #GoldenGlobes #LesMis
4,RT @MTVNews: We predicted it! Anne Hathaway won Best Performance by an Actress in a Supporting Role! http://t.co/Z36SYljF #GoldenGlobes #LesMis
5,RT @MTVNews: We predicted it! Anne Hathaway won Best Performance by an Actress in a Supporting Role! http://t.co/Z36SYljF #GoldenGlobes #LesMis
6,RT @MTVNews: We predicted it! Anne Hathaway won Best Performance by an Actress in a Supporting Role! http://t.co/Z36SYljF #GoldenGlobes #LesMis
7,RT @MTVNews: We predicted it! Anne Hathaway won Best Performance by an Actress in a Supporting Role! http://t.co/Z36SYljF #GoldenGlobes #LesMis
8,RT @MTVNews: We predicted it! Anne Hathaway won Best Performance by an Actress in a Supporting Role! http://t.co/Z36SYljF #GoldenGlobes #LesMis
9,"Winner,Best Performance by an Actress in a Supporting Role in a Motion Picture: Anne Hathaway for Les Misérables! Lovee her.^^
#GoldenGlobes"
10,"Anne Hathaway wins Best Supporting Actress in a Motion Picture for ""Les Miserables"". A stellar performance! #goldenglobes"
11,"Winner,Best Performance by an Actress in a Supporting Role in a Motion Picture: Anne Hathaway for Les Misérables! Lovee her.^^
#GoldenGlobes"
12,Best Supporting Actress in a Motion Picture went to Anne Hathaway for her role in Les Miserables #GoldenGlobes
13,RT @680News: Best Supporting Actress in a Motion Picture went to Anne Hathaway for her role in Les Miserables #GoldenGlobes
14,"Winner,Best Performance by an Actress in a Supporting Role in a Motion Picture: Anne Hathaway for Les Misérables! Lovee her.^^
#GoldenGlobes"
15,"RT @OnTheRedCarpet: Anne Hathaway of ""Les Miserables"" wins Best Actress In A Supporting Role in a Motion Picture the #GoldenGlobes:  http://t.co/bmfhUTtV"
16,"- Anne Hathaway of ""Les Miserables"" wins Best Actress In A Supporting Role in a Motion Picture the #GoldenGlobes: http://t.co/EOHb6A2J"
17,"RT @OnTheRedCarpet: Anne Hathaway of ""Les Miserables"" wins Best Actress In A Supporting Role in a Motion Picture the #GoldenGlobes:  http://t.co/bmfhUTtV"
18,"RT @OnTheRedCarpet: Anne Hathaway of ""Les Miserables"" wins Best Actress In A Supporting Role in a Motion Picture the #GoldenGlobes:  http://t.co/bmfhUTtV"
19,"“@OnTheRedCarpet: Anne Hathaway of ""Les Miserables"" wins Best Actress In A Supporting Role in a Motion Picture the #GoldenGlobes”"
20,RT @680News: Best Supporting Actress in a Motion Picture went to Anne Hathaway for her role in Les Miserables #GoldenGlobes
