,tweets
0,"The Golden Globe Best Performance by an Actress in a Comedy or Musical goes to Jennifer Lawrence for ""Silver Linings Playbook"" #GoldenGlobes"
1,SILVER LININGS PLAYBOOK star JENNIFER LAWRENCE won #GoldenGlobes  for Best Performance by an Actress in a Motion Picture – Musical or Comedy
2,Best Performance by an Actress in a Motion Picture - Musical or Comedy -&gt;Winner: Jennifer Lawrence for Silver Linings Playbook #goldenglobes
3,Lena Dunham wins best performance by an actress in a TV musical or comedy for #Girls http://t.co/VCUv6LqO #GoldenGlobes
4,"“@OnTheRedCarpet: Lena Dunham of ""Girls"" wins Best Performance by an Actress in a TV Series - Musical or Comedy at the #GoldenGlobes”"
5,"RT @YahooMovies: .@lenadunham wins Best Performance By An Actress in TV Comedy Or Musical, Fey &amp; Poehler console themselves w/ @JLo &amp; Clooney. #GoldenGlobes"
6,"RT @YahooMovies: .@lenadunham wins Best Performance By An Actress in TV Comedy Or Musical, Fey &amp; Poehler console themselves w/ @JLo &amp; Clooney. #GoldenGlobes"
7,RT @ABCNewsEnt: Lena Dunham wins best performance by an actress in a TV musical or comedy for #Girls http://t.co/VCUv6LqO #GoldenGlobes
8,RT @ABCNewsEnt: Lena Dunham wins best performance by an actress in a TV musical or comedy for #Girls http://t.co/VCUv6LqO #GoldenGlobes
9,"The ever so cool DON CHEADLE won #GoldenGlobes for Best Performance by an Actor in a Television Series – Musical or Comedy
for HOUSE OF LIES"
10,"#GoldenGlobes Best Performance by an Actor in a Television Series - Musical or Comedy
: WINNER Don Cheadle for ""House of Lies"""
11,"Claire Danes of ""Homeland"" wins Best Performance by an Actress In A Television Series - Drama at the #GoldenGlobes:  http://t.co/sGlIprkL"
12,"The Golden Globe Best Performance by an Actress in a Comedy or Musical goes to Jennifer Lawrence for ""Silver Linings Playbook"" #GoldenGlobes"
13,RT @BootsandHearts: Best Actress performance for Comedy Movie Jennifer Lawrence - Silver Lining Playbook...foreshadow for Oscar?  @goldenglobes @BootsandHearts
14,SILVER LININGS PLAYBOOK star JENNIFER LAWRENCE won #GoldenGlobes  for Best Performance by an Actress in a Motion Picture – Musical or Comedy
15,Best Performance by an Actress in a Motion Picture - Musical or Comedy -&gt;Winner: Jennifer Lawrence for Silver Linings Playbook #goldenglobes
16,Lena Dunham wins best performance by an actress in a TV musical or comedy for #Girls http://t.co/VCUv6LqO #GoldenGlobes
17,"“@OnTheRedCarpet: Lena Dunham of ""Girls"" wins Best Performance by an Actress in a TV Series - Musical or Comedy at the #GoldenGlobes”"
18,"RT @YahooMovies: .@lenadunham wins Best Performance By An Actress in TV Comedy Or Musical, Fey &amp; Poehler console themselves w/ @JLo &amp; Clooney. #GoldenGlobes"
19,"RT @YahooMovies: .@lenadunham wins Best Performance By An Actress in TV Comedy Or Musical, Fey &amp; Poehler console themselves w/ @JLo &amp; Clooney. #GoldenGlobes"
20,RT @ABCNewsEnt: Lena Dunham wins best performance by an actress in a TV musical or comedy for #Girls http://t.co/VCUv6LqO #GoldenGlobes
21,RT @ABCNewsEnt: Lena Dunham wins best performance by an actress in a TV musical or comedy for #Girls http://t.co/VCUv6LqO #GoldenGlobes
22,"The Golden Globe Best Performance by an Actress in a Comedy or Musical goes to Jennifer Lawrence for ""Silver Linings Playbook"" #GoldenGlobes"
23,SILVER LININGS PLAYBOOK star JENNIFER LAWRENCE won #GoldenGlobes  for Best Performance by an Actress in a Motion Picture – Musical or Comedy
24,Best Performance by an Actress in a Motion Picture - Musical or Comedy -&gt;Winner: Jennifer Lawrence for Silver Linings Playbook #goldenglobes
25,Lena Dunham wins best performance by an actress in a TV musical or comedy for #Girls http://t.co/VCUv6LqO #GoldenGlobes
26,"“@OnTheRedCarpet: Lena Dunham of ""Girls"" wins Best Performance by an Actress in a TV Series - Musical or Comedy at the #GoldenGlobes”"
