,tweets
0,"Claire Danes of ""Homeland"" wins Best Performance by an Actress In A Television Series - Drama at the #GoldenGlobes:  http://t.co/sGlIprkL"
1,"Claire Danes of ""Homeland"" wins Best Performance by an Actress In A Television Series - Drama at the #GoldenGlobes:  http://t.co/sGlIprkL"
2,"Claire Danes of ""Homeland"" wins Best Performance by an Actress In A Television Series - Drama at the #GoldenGlobes:  http://t.co/sGlIprkL"
3,"RT @MSNtv: Best Performance by an Actress in a TV Series, Drama goes to Claire Danes for ""Homeland."" #GoldenGlobes"
4,"Best Performance by an Actress in a Motion Picture, Drama goes to Jessica Chastain for ""Zero Dark Thirty."" #GoldenGlobes"
5,RT @MTVNews: Best Performance by an Actress in a Motion Picture - Drama goes to Jessica Chastain who is in tears! http://t.co/Z36SYljF #GoldenGlobes
6,"RT @QuentonRichards: Jessica Chastain wins Best Actress in a Drama, hands down. Her performance in Zero Dark Thirty was flawless. #GoldenGlobes"
7,"Claire Danes of ""Homeland"" wins Best Performance by an Actress In A Television Series - Drama at the #GoldenGlobes:  http://t.co/sGlIprkL"
8,"Claire Danes of ""Homeland"" wins Best Performance by an Actress In A Television Series - Drama at the #GoldenGlobes:  http://t.co/sGlIprkL"
9,"Two years in a row w/ Damien Lewis ""@goldenglobes: Best Actress in a Television Series - Drama - Claire Danes - Homeland - #GoldenGlobes"""
10,"Tough category. RT @USATODAYlife: Claire Danes wins  for Best Actress in a Television Series, Drama, for her role on Homeland #GoldenGlobes"
11,RT @gmanews: Claire Danes wins Best Actress in a Television Series (Drama) for Homeland | via @goldenglobes
12,Claire Danes wins best actress in a drama television series #GoldenGlobes
13,RT @GlobalGrind: #GoldenGlobes Best Actress in a Television Series Drama goes to Claire Danes! for Homeland http://t.co/FJ1fznRO
14,RT @moviesndtv: #GoldenGlobes 2013:  Claire Danes wins Best Actress in a Television Series-Drama- for Homeland
