,tweets
0,Robert Pattinson alert! Presenting Best Screenplay Motion Picture with Amanda Seyfried right now #GoldenGlobes
1,Best screenplay - motion picture. The winner is... Quentin Tarantino for Django Unchained #GoldenGlobes
2,"The @goldenglobes Award for ""Best Screenplay - Motion Picture"" goes to "" Quentin Tarantino - Django Unchained""! YESSS!!! #GoldenGlobes"
3,RT @hulu: Best Screenplay in a Motion Picture goes to Quentin Tarantino for Django Unchained. #GoldenGlobes #yes.
4,"Quentin Tarantino of ""Django Unchained"" wins Best Screenplay - Motion Picture at the #GoldenGlobes:  http://t.co/sGlIprkL"
5,Best Motion Picture Screenplay goes to Quentin Tarantino for Django Unchained #GoldenGlobes
6,And the #GoldenGlobe for Best Motion Picture Screenplay goes to... Quentin Tarantino for #DjangoUnchained!!! YES! #GoldenGlobes
7,Quentin Tarantino wins best motion picture screenplay for #Django http://t.co/mopEVKCl #GoldenGlobes
8,Best Screenplay - Motion Picture goes to Quentin Tarantino for Django Unchained #GoldenGlobes @PhilstarNews http://t.co/ZKAz0A4u
9,Best Screenplay Motion Picture goes to Quentin Tarantino for Django Unchained #goldenglobes #djangounchained #tarantino
10,"Best Screenplay Motion Picture - Quentin Tarantino for ""Django Unchained"" #GoldenGlobes AMAZING!!! I just saw it tonight. Badass mo-fo!"
11,"#Winner: Quentin Tarantino, Django Unchained (Screenplay, Motion Picture) #goldenglobes"
12,RT @OKMagazine: Robert Pattinson alert! Presenting Best Screenplay Motion Picture with Amanda Seyfried right now #GoldenGlobes
13,"Quentin Tarantino, #DjangoUnchained, wins Best Screenplay, Motion Picture #GoldenGlobes"
14,"RT @CineplexMovies: And the winner for Best Screenplay, motion picture goes to Quentin Tarantino for #DjangoUnchained and he's even surprised. #GoldenGlobes ^AM"
15,"RT @OnTheRedCarpet: Quentin Tarantino of ""Django Unchained"" wins Best Screenplay - Motion Picture at the #GoldenGlobes:  http://t.co/sGlIprkL"
16,"RT @nbcsandiego: Motion Picture Screenplay goes to ""Django Unchained"" http://t.co/K8Yi0EYh #GoldenGlobes"
17,RT @BootsandHearts: Best Screenplay - Motion Picture goes to Quentin Tarantino for Django Unchained @goldenglobes @BootsandHearts
18,RT @washingtonpost: Quentin Tarantino wins best motion picture screenplay for #Django http://t.co/mopEVKCl #GoldenGlobes
19,#GoldenGlobes Best Screenplay for a Motion Picture goes to Quentin Taratino for Django Unchained. Awesome!
20,RT @washingtonpost: Quentin Tarantino wins best motion picture screenplay for #Django http://t.co/mopEVKCl #GoldenGlobes
21,RT @hulu: Best Screenplay in a Motion Picture goes to Quentin Tarantino for Django Unchained. #GoldenGlobes #yes.
22,RT @washingtonpost: Quentin Tarantino wins best motion picture screenplay for #Django http://t.co/mopEVKCl #GoldenGlobes
23,Quentin Tarantino won best screenplay/motion picture for Django Unchained. #GoldenGlobes #FuckYeah
24,RT @washingtonpost: Quentin Tarantino wins best motion picture screenplay for #Django http://t.co/mopEVKCl #GoldenGlobes
25,"RT @OnTheRedCarpet: Quentin Tarantino of ""Django Unchained"" wins Best Screenplay - Motion Picture at the #GoldenGlobes:  http://t.co/sGlIprkL"
26,RT @washingtonpost: Quentin Tarantino wins best motion picture screenplay for #Django http://t.co/mopEVKCl #GoldenGlobes
27,"RT @OnTheRedCarpet: Quentin Tarantino of ""Django Unchained"" wins Best Screenplay - Motion Picture at the #GoldenGlobes:  http://t.co/sGlIprkL"
28,“@washingtonpost: Quentin Tarantino wins best motion picture screenplay for #Django http://t.co/LOfGvbac #GoldenGlobes”
29,RT @washingtonpost: Quentin Tarantino wins best motion picture screenplay for #Django http://t.co/mopEVKCl #GoldenGlobes
30,RT @washingtonpost: Quentin Tarantino wins best motion picture screenplay for #Django http://t.co/mopEVKCl #GoldenGlobes
31,"RT @OnTheRedCarpet: Quentin Tarantino of ""Django Unchained"" wins Best Screenplay - Motion Picture at the #GoldenGlobes:  http://t.co/sGlIprkL"
32,RT @washingtonpost: Quentin Tarantino wins best motion picture screenplay for #Django http://t.co/mopEVKCl #GoldenGlobes
33,RT @washingtonpost: Quentin Tarantino wins best motion picture screenplay for #Django http://t.co/mopEVKCl #GoldenGlobes
34,RT @washingtonpost: Quentin Tarantino wins best motion picture screenplay for #Django http://t.co/mopEVKCl #GoldenGlobes
35,"RT @MenoxMusic: Best Screenplay Motion Picture - Quentin Tarantino for ""Django Unchained"" #GoldenGlobes AMAZING!!! I just saw it tonight. Badass mo-fo!"
36,"""@CineplexMovies: winner for Best Screenplay, motion picture goes to Quentin Tarantino for #DjangoUnchained. Gotta see this. #goldenglobes"
37,"RT @OnTheRedCarpet: Quentin Tarantino of ""Django Unchained"" wins Best Screenplay - Motion Picture at the #GoldenGlobes:  http://t.co/sGlIprkL"
38,"RT @nbcsandiego: Motion Picture Screenplay goes to ""Django Unchained"" http://t.co/K8Yi0EYh #GoldenGlobes"
39,"RT @OnTheRedCarpet: Quentin Tarantino of ""Django Unchained"" wins Best Screenplay - Motion Picture at the #GoldenGlobes:  http://t.co/sGlIprkL"
40,That all?? RT @washingtonpost: Quentin Tarantino wins best motion picture screenplay for #Django http://t.co/qa7QagDC #GoldenGlobes
41,RT @washingtonpost: Quentin Tarantino wins best motion picture screenplay for #Django http://t.co/Fw8TUp64 #GoldenGlobes”
42,RT @OKMagazine: Robert Pattinson alert! Presenting Best Screenplay Motion Picture with Amanda Seyfried right now #GoldenGlobes
