,tweets
0,Great show  RT @goldenglobes: Best Television Series Actor - Drama - Damian Lewis (@Lewis_Damian) - Homeland (@SHO_Homeland) - #GoldenGlobes
1,"RT @nbc: Homeland wins Best Television Series, Drama! #GoldenGlobes"
2,"RT @nbc: Homeland wins Best Television Series, Drama! #GoldenGlobes"
3,"RT @nbc: Homeland wins Best Television Series, Drama! #GoldenGlobes"
4,"Television series, drama goes to #Homeland http://t.co/CFCDce6e #GoldenGlobes"
5,"Homeland wins Best Television Series, Drama! #GoldenGlobes"
6,RT @EW: WINNER: Best Television Series - Drama: @SHO_Homeland #GoldenGlobes
7,"Winner, Best Television Series - Drama: 
Homeland #GoldenGlobes http://t.co/XVaX8xOA"
8,RT @MTVNews: And the #Homeland #GoldenGlobes continue! The show just won for Best Television Series - Drama. http://t.co/Z36SYljF
9,RT @MTVNews: And the #Homeland #GoldenGlobes continue! The show just won for Best Television Series - Drama. http://t.co/Z36SYljF
10,"Well deserved Homeland wins tonight for Best Television Series, Drama #GoldenGlobes....woo hoo!!!!"
11,"WINNER #goldenglobes Best Television Series, Drama -- ""Homeland""."
12,"Best Television Series - Drama
Winner: ""Homeland"" (2011)
#GoldenGlobes"
13,"Claire Danes of ""Homeland"" wins Best Performance by an Actress In A Television Series - Drama at the #GoldenGlobes:  http://t.co/sGlIprkL"
14,"Two years in a row w/ Damien Lewis ""@goldenglobes: Best Actress in a Television Series - Drama - Claire Danes - Homeland - #GoldenGlobes"""
15,"Tough category. RT @USATODAYlife: Claire Danes wins  for Best Actress in a Television Series, Drama, for her role on Homeland #GoldenGlobes"
16,RT @gmanews: Claire Danes wins Best Actress in a Television Series (Drama) for Homeland | via @goldenglobes
17,Claire Danes wins best actress in a drama television series #GoldenGlobes
18,RT @GlobalGrind: #GoldenGlobes Best Actress in a Television Series Drama goes to Claire Danes! for Homeland http://t.co/FJ1fznRO
19,"""@nbc: Homeland wins Best Television Series, Drama! #GoldenGlobes""YES!!!"
20,RT @moviesndtv: #GoldenGlobes 2013:  Claire Danes wins Best Actress in a Television Series-Drama- for Homeland
